"Position","Acc_surge_max","Acc_surge_85","Acc_surge_median","Acc_surge_mean","Acc_surge_min","Driver_ID"
-195,-0.01,-0.0415,-0.05,-0.05,-0.06,"Driver01"
-185,0.05,-0.0185,-0.04,-0.0545,-0.26,"Driver01"
-175,0.13,0.0589999999999999,-0.02,-0.002,-0.18,"Driver01"
-165,-0.04,-0.04,-0.05,-0.0457142857142857,-0.05,"Driver01"
-155,0.08,-0.02,-0.04,-0.0342857142857143,-0.18,"Driver01"
-145,0.1,0.04,-0.04,-0.0147619047619048,-0.08,"Driver01"
-135,0.12,0.12,0.03,0.0157142857142857,-0.23,"Driver01"
-125,0.12,0.1,0.06,-0.011304347826087,-0.57,"Driver01"
-115,0.11,0.07,-0.01,-0.0152631578947368,-0.21,"Driver01"
-105,0.1,0.09,0.02,-8.36384533060246e-19,-0.33,"Driver01"
-95,0.1,0.0685,-0.03,-0.0231818181818182,-0.35,"Driver01"
-85,0.09,-0.0325000000000001,-0.06,-0.056,-0.3,"Driver01"
-75,-0.05,-0.06,-0.06,-0.0609090909090909,-0.09,"Driver01"
-65,0.03,-0.00150000000000002,-0.06,-0.0454545454545455,-0.07,"Driver01"
-55,0.08,-0.0225000000000001,-0.07,-0.049,-0.11,"Driver01"
-45,0.03,-0.06,-0.07,-0.0876190476190476,-0.56,"Driver01"
-35,0.04,-0.01,-0.07,-0.0595238095238095,-0.28,"Driver01"
-25,-0.03,-0.04,-0.05,-0.0540909090909091,-0.08,"Driver01"
-15,0.08,0.03,0,-0.0104761904761905,-0.22,"Driver01"
-5,0.03,-0.02,-0.04,-0.0319047619047619,-0.04,"Driver01"
5,0.06,-0.0315,-0.04,-0.0536363636363636,-0.43,"Driver01"
15,-0.04,-0.04,-0.04,-0.0404761904761905,-0.05,"Driver01"
25,0.02,-0.04,-0.05,-0.0380952380952381,-0.06,"Driver01"
35,0.11,0.00849999999999998,-0.045,-0.0309090909090909,-0.24,"Driver01"
45,-0.05,-0.05,-0.05,-0.05,-0.05,"Driver01"
55,0.04,0.03,-0.045,-0.0495454545454545,-0.22,"Driver01"
65,-0.05,-0.05,-0.05,-0.0547619047619048,-0.06,"Driver01"
75,0.04,-0.00800000000000004,-0.05,-0.0369565217391304,-0.05,"Driver01"
85,0.12,-0.00700000000000003,-0.045,-0.0375,-0.26,"Driver01"
95,0.06,-0.04,-0.05,-0.0463636363636364,-0.17,"Driver01"
105,0.11,-0.01,-0.05,-0.0428571428571429,-0.24,"Driver01"
115,-0.04,-0.05,-0.05,-0.0536363636363636,-0.14,"Driver01"
125,-0.05,-0.05,-0.05,-0.05,-0.05,"Driver01"
135,0.05,0.04,0.01,-0.00666666666666667,-0.14,"Driver01"
145,0.07,0.00849999999999998,-0.04,-0.0295454545454545,-0.16,"Driver01"
155,-0.05,-0.05,-0.05,-0.05,-0.05,"Driver01"
165,-0.05,-0.05,-0.05,-0.05,-0.05,"Driver01"
175,-0.03,-0.05,-0.05,-0.0504761904761905,-0.08,"Driver01"
