"Position","Acc_sway_max","Acc_sway_85","Acc_sway_median","Acc_sway_mean","Acc_sway_min","Driver_ID"
-195,-0.1,-0.1015,-0.18,-0.182727272727273,-0.3,"Driver01"
-185,0.31,-0.126,-0.19,-0.1375,-0.3,"Driver01"
-175,0.26,-0.251,-0.29,-0.2485,-0.33,"Driver01"
-165,-0.16,-0.16,-0.17,-0.188095238095238,-0.26,"Driver01"
-155,0.18,-0.15,-0.16,-0.162857142857143,-0.32,"Driver01"
-145,0.19,-0.17,-0.24,-0.203333333333333,-0.3,"Driver01"
-135,0.24,-0.18,-0.33,-0.264285714285714,-0.41,"Driver01"
-125,0.27,-0.182,-0.38,-0.328695652173913,-0.56,"Driver01"
-115,0.21,0.0199999999999997,-0.3,-0.240526315789474,-0.52,"Driver01"
-105,0.21,-0.28,-0.37,-0.350952380952381,-0.51,"Driver01"
-95,0.2,-0.1845,-0.415,-0.328181818181818,-0.55,"Driver01"
-85,0.23,-0.0885,-0.125,-0.121,-0.31,"Driver01"
-75,-0.06,-0.06,-0.07,-0.0681818181818182,-0.09,"Driver01"
-65,-0.09,-0.1,-0.11,-0.14,-0.28,"Driver01"
-55,0.14,-0.1885,-0.225,-0.2125,-0.29,"Driver01"
-45,0.24,-0.15,-0.16,-0.142380952380952,-0.23,"Driver01"
-35,0.26,-0.18,-0.23,-0.193809523809524,-0.31,"Driver01"
-25,-0.13,-0.15,-0.165,-0.170909090909091,-0.22,"Driver01"
-15,0.09,-0.09,-0.23,-0.196666666666667,-0.33,"Driver01"
-5,-0.07,-0.15,-0.17,-0.183333333333333,-0.26,"Driver01"
5,0.12,-0.15,-0.17,-0.148181818181818,-0.2,"Driver01"
15,-0.18,-0.19,-0.23,-0.233333333333333,-0.29,"Driver01"
25,-0.29,-0.3,-0.32,-0.329047619047619,-0.45,"Driver01"
35,0.12,-0.3415,-0.4,-0.360909090909091,-0.49,"Driver01"
45,-0.33,-0.34,-0.37,-0.364761904761905,-0.4,"Driver01"
55,0.08,0.00549999999999951,-0.41,-0.359090909090909,-0.62,"Driver01"
65,-0.2,-0.2,-0.24,-0.265714285714286,-0.41,"Driver01"
75,-0.2,-0.2,-0.2,-0.218260869565217,-0.31,"Driver01"
