"Position","Brake_pedal_max","Brake_pedal_85","Brake_pedal_median","Brake_pedal_mean","Brake_pedal_min","Driver_ID"
-195,0,0,0,0,0,"Driver01"
-185,0,0,0,0,0,"Driver01"
-175,0,0,0,0,0,"Driver01"
-165,0,0,0,0,0,"Driver01"
-155,0,0,0,0,0,"Driver01"
-145,0,0,0,0,0,"Driver01"
-135,0,0,0,0,0,"Driver01"
-125,0,0,0,0,0,"Driver01"
-115,0,0,0,0,0,"Driver01"
-105,0,0,0,0,0,"Driver01"
-95,0,0,0,0,0,"Driver01"
-85,0,0,0,0,0,"Driver01"
-75,0,0,0,0,0,"Driver01"
-65,0,0,0,0,0,"Driver01"
-55,0,0,0,0,0,"Driver01"
-45,0,0,0,0,0,"Driver01"
-35,0,0,0,0,0,"Driver01"
-25,0,0,0,0,0,"Driver01"
-15,0,0,0,0,0,"Driver01"
-5,0,0,0,0,0,"Driver01"
5,0,0,0,0,0,"Driver01"
15,0,0,0,0,0,"Driver01"
25,0,0,0,0,0,"Driver01"
35,0,0,0,0,0,"Driver01"
45,0,0,0,0,0,"Driver01"
55,0,0,0,0,0,"Driver01"
65,0,0,0,0,0,"Driver01"
75,0,0,0,0,0,"Driver01"
85,0,0,0,0,0,"Driver01"
95,0,0,0,0,0,"Driver01"
105,0,0,0,0,0,"Driver01"
115,0,0,0,0,0,"Driver01"
125,0,0,0,0,0,"Driver01"
135,0,0,0,0,0,"Driver01"
145,0,0,0,0,0,"Driver01"
155,0,0,0,0,0,"Driver01"
165,0,0,0,0,0,"Driver01"
175,0,0,0,0,0,"Driver01"
185,0,0,0,0,0,"Driver01"
195,0,0,0,0,0,"Driver01"
-195,0,0,0,0,0,"Driver02"
-185,0,0,0,0,0,"Driver02"
-175,0,0,0,0,0,"Driver02"
-165,0,0,0,0,0,"Driver02"
-155,0,0,0,0,0,"Driver02"
-145,0,0,0,0,0,"Driver02"
-135,0,0,0,0,0,"Driver02"
-125,0,0,0,0,0,"Driver02"
-115,0,0,0,0,0,"Driver02"
-105,0,0,0,0,0,"Driver02"
-95,0,0,0,0,0,"Driver02"
-85,0,0,0,0,0,"Driver02"
-75,0,0,0,0,0,"Driver02"
-65,0,0,0,0,0,"Driver02"
-55,0,0,0,0,0,"Driver02"
-45,0,0,0,0,0,"Driver02"
-35,0,0,0,0,0,"Driver02"
-25,0,0,0,0,0,"Driver02"
-15,0,0,0,0,0,"Driver02"
-5,0,0,0,0,0,"Driver02"
5,0,0,0,0,0,"Driver02"
15,0,0,0,0,0,"Driver02"
25,0,0,0,0,0,"Driver02"
35,0,0,0,0,0,"Driver02"
45,0,0,0,0,0,"Driver02"
55,0,0,0,0,0,"Driver02"
65,0,0,0,0,0,"Driver02"
75,0,0,0,0,0,"Driver02"
85,0,0,0,0,0,"Driver02"
95,0,0,0,0,0,"Driver02"
105,0,0,0,0,0,"Driver02"
115,0,0,0,0,0,"Driver02"
125,0,0,0,0,0,"Driver02"
135,0,0,0,0,0,"Driver02"
145,0,0,0,0,0,"Driver02"
155,0,0,0,0,0,"Driver02"
165,0,0,0,0,0,"Driver02"
175,0,0,0,0,0,"Driver02"
185,0,0,0,0,0,"Driver02"
