"position.disgap","Type","AccPedal"
-195,"Max",0.271
-185,"Max",0.259
-175,"Max",0.259
-165,"Max",0.259
-155,"Max",0.165
-145,"Max",0.059
-135,"Max",0.165
-125,"Max",0.871
-115,"Max",0.871
-105,"Max",0.894
-95,"Max",0.882
-85,"Max",0.882
-75,"Max",0.894
-65,"Max",0.894
-55,"Max",0.894
-45,"Max",0.882
-35,"Max",0.882
-25,"Max",0.882
-15,"Max",0.882
-5,"Max",0.882
5,"Max",0.882
15,"Max",0.882
25,"Max",0.882
35,"Max",0.882
45,"Max",0.882
55,"Max",0.882
65,"Max",0.882
75,"Max",0.882
85,"Max",0.882
95,"Max",0.882
105,"Max",0.882
115,"Max",0.882
125,"Max",0.882
135,"Max",0.882
145,"Max",0.882
155,"Max",0.882
165,"Max",0.882
175,"Max",0.882
185,"Max",0.882
195,"Max",0.882
-195,"P85",0.094
-185,"P85",0.07375
-175,"P85",0.06475
-165,"P85",0.07375
-155,"P85",0.0675
-145,"P85",0.05
-135,"P85",0.156
-125,"P85",0.412
-115,"P85",0.72925
-105,"P85",0.86775
-95,"P85",0.85575
-85,"P85",0.84675
-75,"P85",0.84975
-65,"P85",0.84975
-55,"P85",0.84975
-45,"P85",0.84675
-35,"P85",0.84675
-25,"P85",0.84675
-15,"P85",0.84675
-5,"P85",0.84675
5,"P85",0.85575
15,"P85",0.85575
25,"P85",0.85575
35,"P85",0.85575
45,"P85",0.85575
55,"P85",0.85575
65,"P85",0.85575
75,"P85",0.85575
85,"P85",0.85575
95,"P85",0.85575
105,"P85",0.85575
115,"P85",0.85575
125,"P85",0.85575
135,"P85",0.85575
145,"P85",0.85575
155,"P85",0.85575
165,"P85",0.85575
175,"P85",0.85575
185,"P85",0.85575
195,"P85",0.85575
-195,"Median",0
-185,"Median",0
-175,"Median",0
-165,"Median",0
-155,"Median",0.012
-145,"Median",0.041
-135,"Median",0.0765
-125,"Median",0.1175
-115,"Median",0.2525
-105,"Median",0.282
-95,"Median",0.335
-85,"Median",0.3765
-75,"Median",0.382
-65,"Median",0.4115
-55,"Median",0.447
-45,"Median",0.4765
-35,"Median",0.5175
-25,"Median",0.518
-15,"Median",0.565
-5,"Median",0.659
5,"Median",0.6885
15,"Median",0.7
25,"Median",0.7
35,"Median",0.7
45,"Median",0.706
55,"Median",0.7115
65,"Median",0.706
75,"Median",0.706
85,"Median",0.7115
95,"Median",0.706
105,"Median",0.706
115,"Median",0.706
125,"Median",0.706
135,"Median",0.706
145,"Median",0.712
155,"Median",0.7295
165,"Median",0.7295
175,"Median",0.7295
185,"Median",0.7295
195,"Median",0.7355
-195,"Avg",0.051
-185,"Avg",0.0451666666666667
-175,"Avg",0.0431666666666667
-165,"Avg",0.0451666666666667
-155,"Avg",0.0373333333333333
-145,"Avg",0.0313333333333333
-135,"Avg",0.0903333333333333
-125,"Avg",0.239333333333333
-115,"Avg",0.358666666666667
-105,"Avg",0.401833333333333
-95,"Avg",0.4175
-85,"Avg",0.431333333333333
-75,"Avg",0.439
-65,"Avg",0.450833333333333
-55,"Avg",0.4705
-45,"Avg",0.505833333333333
-35,"Avg",0.531166666666667
-25,"Avg",0.533333333333333
-15,"Avg",0.552833333333333
-5,"Avg",0.588166666666667
5,"Avg",0.617666666666667
15,"Avg",0.631333333333333
25,"Avg",0.639166666666667
35,"Avg",0.645
45,"Avg",0.654833333333333
55,"Avg",0.6705
65,"Avg",0.680333333333333
75,"Avg",0.686166666666667
85,"Avg",0.69
95,"Avg",0.690166666666667
105,"Avg",0.692166666666667
115,"Avg",0.692166666666667
125,"Avg",0.698
135,"Avg",0.702
145,"Avg",0.702
155,"Avg",0.707833333333333
165,"Avg",0.706
175,"Avg",0.702
185,"Avg",0.702
195,"Avg",0.702
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0.012
-105,"Min",0.012
-95,"Min",0.024
-85,"Min",0.024
-75,"Min",0.035
-65,"Min",0.035
-55,"Min",0.071
-45,"Min",0.141
-35,"Min",0.153
-25,"Min",0.165
-15,"Min",0.188
-5,"Min",0.212
5,"Min",0.247
15,"Min",0.247
25,"Min",0.247
35,"Min",0.282
45,"Min",0.329
55,"Min",0.412
65,"Min",0.459
75,"Min",0.447
85,"Min",0.447
95,"Min",0.447
105,"Min",0.447
115,"Min",0.447
125,"Min",0.447
135,"Min",0.447
145,"Min",0.447
155,"Min",0.435
165,"Min",0.424
175,"Min",0.4
185,"Min",0.4
195,"Min",0.388
