"position.disgap","Type","AccPedal"
-195,"Max",0.212
-185,"Max",0.2
-175,"Max",0.2
-165,"Max",0.2
-155,"Max",0.2
-145,"Max",0.2
-135,"Max",0.2
-125,"Max",0.2
-115,"Max",0.2
-105,"Max",0.212
-95,"Max",0.224
-85,"Max",0.224
-75,"Max",0.224
-65,"Max",0.224
-55,"Max",0.224
-45,"Max",0.224
-35,"Max",0.224
-25,"Max",0.224
-15,"Max",0.224
-5,"Max",0.224
5,"Max",0.224
15,"Max",0.224
25,"Max",0.224
35,"Max",0.224
45,"Max",0.224
55,"Max",0.224
65,"Max",0.224
75,"Max",0.224
85,"Max",0.224
95,"Max",0.224
105,"Max",0.224
115,"Max",0.224
125,"Max",0.224
135,"Max",0.224
145,"Max",0.224
155,"Max",0.224
165,"Max",0.224
175,"Max",0.247
185,"Max",0.259
195,"Max",0.282
-195,"P85",0.2048
-185,"P85",0.2
-175,"P85",0.2
-165,"P85",0.2
-155,"P85",0.2
-145,"P85",0.2
-135,"P85",0.2
-125,"P85",0.2
-115,"P85",0.2
-105,"P85",0.2048
-95,"P85",0.2096
-85,"P85",0.2096
-75,"P85",0.2096
-65,"P85",0.2096
-55,"P85",0.2096
-45,"P85",0.2096
-35,"P85",0.224
-25,"P85",0.224
-15,"P85",0.224
-5,"P85",0.224
5,"P85",0.224
15,"P85",0.224
25,"P85",0.224
35,"P85",0.224
45,"P85",0.224
55,"P85",0.224
65,"P85",0.224
75,"P85",0.224
85,"P85",0.224
95,"P85",0.224
105,"P85",0.224
115,"P85",0.224
125,"P85",0.224
135,"P85",0.224
145,"P85",0.224
155,"P85",0.224
165,"P85",0.224
175,"P85",0.2332
185,"P85",0.238
195,"P85",0.2472
-195,"Median",0.2
-185,"Median",0.188
-175,"Median",0.188
-165,"Median",0.188
-155,"Median",0.188
-145,"Median",0.188
-135,"Median",0.188
-125,"Median",0.188
-115,"Median",0.188
-105,"Median",0.188
-95,"Median",0.188
-85,"Median",0.188
-75,"Median",0.188
-65,"Median",0.188
-55,"Median",0.188
-45,"Median",0.188
-35,"Median",0.188
-25,"Median",0.188
-15,"Median",0.188
-5,"Median",0.188
5,"Median",0.188
15,"Median",0.188
25,"Median",0.188
35,"Median",0.188
45,"Median",0.188
55,"Median",0.188
65,"Median",0.212
75,"Median",0.224
85,"Median",0.224
95,"Median",0.224
105,"Median",0.224
115,"Median",0.224
125,"Median",0.224
135,"Median",0.224
145,"Median",0.224
155,"Median",0.224
165,"Median",0.224
175,"Median",0.224
185,"Median",0.224
195,"Median",0.224
-195,"Avg",0.1906
-185,"Avg",0.1858
-175,"Avg",0.1858
-165,"Avg",0.188
-155,"Avg",0.188
-145,"Avg",0.188
-135,"Avg",0.188
-125,"Avg",0.188
-115,"Avg",0.188
-105,"Avg",0.1904
-95,"Avg",0.1928
-85,"Avg",0.1928
-75,"Avg",0.1928
-65,"Avg",0.1928
-55,"Avg",0.1928
-45,"Avg",0.1952
-35,"Avg",0.2
-25,"Avg",0.2
-15,"Avg",0.2
-5,"Avg",0.2
5,"Avg",0.1976
15,"Avg",0.1976
25,"Avg",0.1976
35,"Avg",0.2
45,"Avg",0.2
55,"Avg",0.2
65,"Avg",0.2048
75,"Avg",0.2096
85,"Avg",0.2096
95,"Avg",0.2096
105,"Avg",0.2096
115,"Avg",0.2096
125,"Avg",0.2096
135,"Avg",0.2096
145,"Avg",0.2096
155,"Avg",0.212
165,"Avg",0.212
175,"Avg",0.2166
185,"Avg",0.219
195,"Avg",0.2236
-195,"Min",0.165
-185,"Min",0.165
-175,"Min",0.165
-165,"Min",0.176
-155,"Min",0.176
-145,"Min",0.176
-135,"Min",0.176
-125,"Min",0.176
-115,"Min",0.176
-105,"Min",0.176
-95,"Min",0.176
-85,"Min",0.176
-75,"Min",0.176
-65,"Min",0.176
-55,"Min",0.176
-45,"Min",0.176
-35,"Min",0.176
-25,"Min",0.176
-15,"Min",0.176
-5,"Min",0.176
5,"Min",0.176
15,"Min",0.176
25,"Min",0.176
35,"Min",0.176
45,"Min",0.176
55,"Min",0.176
65,"Min",0.176
75,"Min",0.176
85,"Min",0.176
95,"Min",0.176
105,"Min",0.176
115,"Min",0.176
125,"Min",0.176
135,"Min",0.176
145,"Min",0.176
155,"Min",0.188
165,"Min",0.188
175,"Min",0.188
185,"Min",0.188
195,"Min",0.188
