"position.disgap","Type","AccPedal"
-195,"Max",0.294
-185,"Max",0.294
-175,"Max",0.294
-165,"Max",0.294
-155,"Max",0.294
-145,"Max",0.294
-135,"Max",0.294
-125,"Max",0.271
-115,"Max",0.271
-105,"Max",0.271
-95,"Max",0.271
-85,"Max",0.235
-75,"Max",0.212
-65,"Max",0.212
-55,"Max",0.212
-45,"Max",0.212
-35,"Max",0.212
-25,"Max",0.212
-15,"Max",0.212
-5,"Max",0.212
5,"Max",0.212
15,"Max",0.212
25,"Max",0.212
35,"Max",0.188
45,"Max",0.188
55,"Max",0.188
65,"Max",0.188
75,"Max",0.188
85,"Max",0.188
95,"Max",0.188
105,"Max",0.188
115,"Max",0.188
125,"Max",0.188
135,"Max",0.188
145,"Max",0.176
155,"Max",0.176
165,"Max",0.176
175,"Max",0.188
185,"Max",0.188
195,"Max",0.188
-195,"P85",0.2802
-185,"P85",0.2802
-175,"P85",0.2802
-165,"P85",0.2802
-155,"P85",0.2802
-145,"P85",0.2802
-135,"P85",0.2802
-125,"P85",0.2566
-115,"P85",0.2356
-105,"P85",0.2284
-95,"P85",0.2356
-85,"P85",0.2212
-75,"P85",0.1976
-65,"P85",0.1976
-55,"P85",0.1976
-45,"P85",0.1976
-35,"P85",0.1976
-25,"P85",0.1976
-15,"P85",0.1976
-5,"P85",0.1976
5,"P85",0.1976
15,"P85",0.1976
25,"P85",0.1976
35,"P85",0.188
45,"P85",0.1808
55,"P85",0.1808
65,"P85",0.1808
75,"P85",0.188
85,"P85",0.1742
95,"P85",0.1742
105,"P85",0.1742
115,"P85",0.1742
125,"P85",0.1742
135,"P85",0.1742
145,"P85",0.176
155,"P85",0.176
165,"P85",0.176
175,"P85",0.188
185,"P85",0.188
195,"P85",0.1808
-195,"Median",0.188
-185,"Median",0.188
-175,"Median",0.188
-165,"Median",0.188
-155,"Median",0.188
-145,"Median",0.188
-135,"Median",0.188
-125,"Median",0.188
-115,"Median",0.188
-105,"Median",0.188
-95,"Median",0.188
-85,"Median",0.188
-75,"Median",0.176
-65,"Median",0.188
-55,"Median",0.188
-45,"Median",0.188
-35,"Median",0.188
-25,"Median",0.188
-15,"Median",0.188
-5,"Median",0.176
5,"Median",0.176
15,"Median",0.176
25,"Median",0.176
35,"Median",0.176
45,"Median",0.141
55,"Median",0.141
65,"Median",0.141
75,"Median",0.141
85,"Median",0.153
95,"Median",0.153
105,"Median",0.153
115,"Median",0.153
125,"Median",0.153
135,"Median",0.153
145,"Median",0.165
155,"Median",0.165
165,"Median",0.165
175,"Median",0.165
185,"Median",0.153
195,"Median",0.153
-195,"Avg",0.1836
-185,"Avg",0.1836
-175,"Avg",0.1906
-165,"Avg",0.1906
-155,"Avg",0.1906
-145,"Avg",0.1906
-135,"Avg",0.1906
-125,"Avg",0.1812
-115,"Avg",0.1742
-105,"Avg",0.1718
-95,"Avg",0.1742
-85,"Avg",0.167
-75,"Avg",0.1574
-65,"Avg",0.1576
-55,"Avg",0.1576
-45,"Avg",0.1648
-35,"Avg",0.1692
-25,"Avg",0.1692
-15,"Avg",0.1692
-5,"Avg",0.148
5,"Avg",0.1504
15,"Avg",0.1552
25,"Avg",0.1576
35,"Avg",0.1528
45,"Avg",0.1434
55,"Avg",0.1434
65,"Avg",0.1434
75,"Avg",0.1458
85,"Avg",0.1436
95,"Avg",0.1436
105,"Avg",0.1436
115,"Avg",0.1436
125,"Avg",0.1436
135,"Avg",0.1436
145,"Avg",0.1622
155,"Avg",0.1622
165,"Avg",0.1598
175,"Avg",0.1646
185,"Avg",0.1622
195,"Avg",0.1598
-195,"Min",0
-185,"Min",0
-175,"Min",0.035
-165,"Min",0.035
-155,"Min",0.035
-145,"Min",0.035
-135,"Min",0.035
-125,"Min",0.035
-115,"Min",0.035
-105,"Min",0.035
-95,"Min",0.035
-85,"Min",0.035
-75,"Min",0.035
-65,"Min",0.035
-55,"Min",0.035
-45,"Min",0.071
-35,"Min",0.082
-25,"Min",0.082
-15,"Min",0.082
-5,"Min",0.082
5,"Min",0.082
15,"Min",0.082
25,"Min",0.094
35,"Min",0.094
45,"Min",0.094
55,"Min",0.094
65,"Min",0.094
75,"Min",0.094
85,"Min",0.094
95,"Min",0.094
105,"Min",0.094
115,"Min",0.094
125,"Min",0.094
135,"Min",0.094
145,"Min",0.141
155,"Min",0.141
165,"Min",0.129
175,"Min",0.129
185,"Min",0.129
195,"Min",0.129
