"position.disgap","Type","AccPedal"
-195,"Max",0.6
-185,"Max",0.6
-175,"Max",0.6
-165,"Max",0.6
-155,"Max",0.612
-145,"Max",0.612
-135,"Max",0.612
-125,"Max",0.612
-115,"Max",0.612
-105,"Max",0.612
-95,"Max",0.612
-85,"Max",0.659
-75,"Max",0.729
-65,"Max",0.729
-55,"Max",0.706
-45,"Max",0.671
-35,"Max",0.671
-25,"Max",0.659
-15,"Max",0.624
-5,"Max",0.612
5,"Max",0.612
15,"Max",0.612
25,"Max",0.612
35,"Max",0.612
45,"Max",0.612
55,"Max",0.612
65,"Max",0.612
75,"Max",0.612
85,"Max",0.612
95,"Max",0.612
105,"Max",0.612
115,"Max",0.612
125,"Max",0.612
135,"Max",0.612
145,"Max",0.612
155,"Max",0.612
165,"Max",0.612
175,"Max",0.612
185,"Max",0.612
195,"Max",0.612
-195,"P85",0.5856
-185,"P85",0.5856
-175,"P85",0.5856
-165,"P85",0.5856
-155,"P85",0.6048
-145,"P85",0.6048
-135,"P85",0.6048
-125,"P85",0.6048
-115,"P85",0.6048
-105,"P85",0.6048
-95,"P85",0.6048
-85,"P85",0.6308
-75,"P85",0.6588
-65,"P85",0.6588
-55,"P85",0.6496
-45,"P85",0.6356
-35,"P85",0.6356
-25,"P85",0.6308
-15,"P85",0.6168
-5,"P85",0.6048
5,"P85",0.6048
15,"P85",0.6048
25,"P85",0.6048
35,"P85",0.6048
45,"P85",0.6048
55,"P85",0.5976
65,"P85",0.5976
75,"P85",0.5976
85,"P85",0.6048
95,"P85",0.6048
105,"P85",0.6048
115,"P85",0.6048
125,"P85",0.6048
135,"P85",0.6048
145,"P85",0.6048
155,"P85",0.6048
165,"P85",0.6048
175,"P85",0.5904
185,"P85",0.5904
195,"P85",0.5904
-195,"Median",0.565
-185,"Median",0.565
-175,"Median",0.565
-165,"Median",0.565
-155,"Median",0.565
-145,"Median",0.565
-135,"Median",0.565
-125,"Median",0.565
-115,"Median",0.565
-105,"Median",0.565
-95,"Median",0.553
-85,"Median",0.6
-75,"Median",0.6
-65,"Median",0.6
-55,"Median",0.6
-45,"Median",0.6
-35,"Median",0.6
-25,"Median",0.6
-15,"Median",0.6
-5,"Median",0.588
5,"Median",0.588
15,"Median",0.588
25,"Median",0.588
35,"Median",0.588
45,"Median",0.588
55,"Median",0.541
65,"Median",0.541
75,"Median",0.541
85,"Median",0.541
95,"Median",0.541
105,"Median",0.541
115,"Median",0.541
125,"Median",0.541
135,"Median",0.541
145,"Median",0.541
155,"Median",0.541
165,"Median",0.541
175,"Median",0.541
185,"Median",0.506
195,"Median",0.506
-195,"Avg",0.5506
-185,"Avg",0.5506
-175,"Avg",0.5458
-165,"Avg",0.5458
-155,"Avg",0.553
-145,"Avg",0.553
-135,"Avg",0.553
-125,"Avg",0.5506
-115,"Avg",0.5484
-105,"Avg",0.5484
-95,"Avg",0.546
-85,"Avg",0.5672
-75,"Avg",0.5812
-65,"Avg",0.5812
-55,"Avg",0.5766
-45,"Avg",0.5696
-35,"Avg",0.5696
-25,"Avg",0.5672
-15,"Avg",0.5602
-5,"Avg",0.553
5,"Avg",0.553
15,"Avg",0.553
25,"Avg",0.553
35,"Avg",0.553
45,"Avg",0.553
55,"Avg",0.5388
65,"Avg",0.534
75,"Avg",0.5364
85,"Avg",0.5388
95,"Avg",0.5388
105,"Avg",0.5388
115,"Avg",0.5388
125,"Avg",0.5388
135,"Avg",0.5388
145,"Avg",0.5388
155,"Avg",0.5388
165,"Avg",0.5388
175,"Avg",0.534
185,"Avg",0.5222
195,"Avg",0.5246
-195,"Min",0.459
-185,"Min",0.459
-175,"Min",0.447
-165,"Min",0.447
-155,"Min",0.447
-145,"Min",0.447
-135,"Min",0.447
-125,"Min",0.435
-115,"Min",0.424
-105,"Min",0.424
-95,"Min",0.424
-85,"Min",0.424
-75,"Min",0.424
-65,"Min",0.424
-55,"Min",0.424
-45,"Min",0.424
-35,"Min",0.424
-25,"Min",0.424
-15,"Min",0.424
-5,"Min",0.424
5,"Min",0.424
15,"Min",0.424
25,"Min",0.424
35,"Min",0.424
45,"Min",0.424
55,"Min",0.435
65,"Min",0.435
75,"Min",0.435
85,"Min",0.435
95,"Min",0.435
105,"Min",0.435
115,"Min",0.435
125,"Min",0.435
135,"Min",0.435
145,"Min",0.435
155,"Min",0.435
165,"Min",0.435
175,"Min",0.435
185,"Min",0.435
195,"Min",0.435
