"position.disgap","Type","AccPedalRate"
-195,"Max",0.400000000000174
-185,"Max",0.342857142857176
-175,"Max",0
-165,"Max",0.553846153846173
-155,"Max",1.19999999999995
-145,"Max",0.766666666666638
-135,"Max",4.71428571428617
-125,"Max",7.03333333333307
-115,"Max",5.49999999999979
-105,"Max",4.0571428571416
-95,"Max",0.657142857142654
-85,"Max",0.399999999999985
-75,"Max",0.60000000000012
-65,"Max",0.79999999999997
-55,"Max",0.68571428571435
-45,"Max",0.685714285714352
-35,"Max",0.685714285714353
-25,"Max",0.399999999999985
-15,"Max",0.800000000000348
-5,"Max",0.685714285714353
5,"Max",1.15000000000023
15,"Max",1.19999999999939
25,"Max",0.399999999999985
35,"Max",0.366666666666651
45,"Max",0.685714285714353
55,"Max",0.399999999999985
65,"Max",0.399999999999985
75,"Max",0.399999999999985
85,"Max",0.399999999999985
95,"Max",0.366666666666653
105,"Max",0.399999999999981
115,"Max",0
125,"Max",0.399999999999985
135,"Max",0.399999999999985
145,"Max",0.342857142857037
155,"Max",0.399999999999985
165,"Max",0.399999999999985
175,"Max",0
185,"Max",0.399999999999985
195,"Max",0.342857142857177
-195,"P85",0.400000000000032
-185,"P85",0.0857142857142941
-175,"P85",0
-165,"P85",0.438461538461532
-155,"P85",0.750000000000078
-145,"P85",0.448809523809542
-135,"P85",1.69285714285731
-125,"P85",2.25119047619046
-115,"P85",1.86785714285714
-105,"P85",1.31428571428539
-95,"P85",0.524285714285582
-85,"P85",0.399999999999984
-75,"P85",0.407142857142912
-65,"P85",0.499999999999981
-55,"P85",0.471428571428576
-45,"P85",0.583928571428671
-35,"P85",0.471428571428577
-25,"P85",0.357142857142879
-15,"P85",0.800000000000065
-5,"P85",0.471428571428576
5,"P85",0.737500000000145
15,"P85",0.599999999999833
25,"P85",0.0999999999999963
35,"P85",0.0916666666666628
45,"P85",0.321428571428583
55,"P85",0.335714285714305
65,"P85",0.357142857142774
75,"P85",0.0999999999999963
85,"P85",0.374999999999986
95,"P85",0.348809523809546
105,"P85",0.0999999999999954
115,"P85",0
125,"P85",0.0999999999999963
135,"P85",0.357142857142879
145,"P85",0.26571428571427
155,"P85",0.357142857142879
165,"P85",0.0999999999999963
175,"P85",0
185,"P85",0.0999999999999963
195,"P85",0.0857142857142941
-195,"Median",0
-185,"Median",0
-175,"Median",0
-165,"Median",0
-155,"Median",0.171428571428588
-145,"Median",0.171428571428588
-135,"Median",0.471428571428648
-125,"Median",0.483333333333173
-115,"Median",0.440000000000074
-105,"Median",0.119999999999973
-95,"Median",0.37142857142858
-85,"Median",0.133333333333328
-75,"Median",0.248809523809472
-65,"Median",0
-55,"Median",0.383333333333319
-45,"Median",0.0999999999999961
-35,"Median",0.199999999999993
-25,"Median",0.109090909090896
-15,"Median",0.183333333333326
-5,"Median",0.171428571428588
5,"Median",0.41142857142867
15,"Median",0.171428571428588
25,"Median",0
35,"Median",0
45,"Median",0
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0.157142857142873
165,"Median",0
175,"Median",0
185,"Median",0
195,"Median",0
-195,"Avg",0.13333333333336
-185,"Avg",0.0571428571428627
-175,"Avg",0
-165,"Avg",0.15897435897436
-155,"Avg",0.357142857142875
-145,"Avg",0.242063492063498
-135,"Avg",1.11428571428583
-125,"Avg",1.44285714285706
-115,"Avg",1.28634920634919
-105,"Avg",0.782857142856922
-95,"Avg",0.313333333333284
-85,"Avg",0.177777777777771
-75,"Avg",0.240079365079373
-65,"Avg",0.199999999999993
-55,"Avg",0.308730158730162
-45,"Avg",0.239285714285742
-35,"Avg",0.247619047619054
-25,"Avg",0.160173160173159
-15,"Avg",0.327777777777828
-5,"Avg",0.238095238095252
5,"Avg",0.428809523809615
15,"Avg",0.323809523809424
25,"Avg",0.0666666666666642
35,"Avg",0.0611111111111085
45,"Avg",0.147619047619058
55,"Avg",0.119047619047622
65,"Avg",0.123809523809504
75,"Avg",0.0666666666666642
85,"Avg",0.127777777777773
95,"Avg",0.118253968253972
105,"Avg",0.0666666666666636
115,"Avg",0
125,"Avg",0.0666666666666642
135,"Avg",0.123809523809527
145,"Avg",0.0971428571428419
155,"Avg",0.176190476190485
165,"Avg",0.0666666666666642
175,"Avg",0
185,"Avg",0.0666666666666642
195,"Avg",0.0571428571428628
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0.314285714285618
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
