"position.disgap","Type","AccPedalRate"
-195,"Max",4.69999999999982
-185,"Max",9.39999999999965
-175,"Max",1.96666666666682
-165,"Max",0.79999999999997
-155,"Max",1.0000000000001
-145,"Max",1.99999999999979
-135,"Max",5.02857142857192
-125,"Max",0.920000000000053
-115,"Max",1.65714285714268
-105,"Max",1.44000000000008
-95,"Max",0
-85,"Max",0.766666666666638
-75,"Max",0.999999999999996
-65,"Max",4.69999999999982
-55,"Max",6.26666666666791
-45,"Max",0
-35,"Max",0
-25,"Max",0
-15,"Max",0
-5,"Max",1.68571428571411
5,"Max",0.369230769230782
15,"Max",3.6857142857139
25,"Max",0.40000000000008
35,"Max",1.342857142857
45,"Max",2.33333333333324
55,"Max",1.34285714285727
65,"Max",1.56666666666698
75,"Max",0.800000000000159
85,"Max",1.342857142857
95,"Max",0.40000000000008
105,"Max",1.19999999999995
115,"Max",2.34285714285737
125,"Max",0
135,"Max",0.685714285714213
145,"Max",0.342857142857107
155,"Max",1.1666666666669
165,"Max",1.02857142857153
175,"Max",0.657142857142921
185,"Max",0.79999999999997
195,"Max",0.685714285714353
-195,"P85",1.74999999999993
-185,"P85",4.11250000000005
-175,"P85",1.09166666666668
-165,"P85",0.649999999999923
-155,"P85",0.850000000000002
-145,"P85",1.39999999999991
-135,"P85",1.53214285714297
-125,"P85",0.230000000000013
-115,"P85",0.714285714285659
-105,"P85",0.660000000000045
-95,"P85",0
-85,"P85",0.191666666666659
-75,"P85",0.249999999999999
-65,"P85",1.17499999999996
-55,"P85",1.56666666666698
-45,"P85",0
-35,"P85",0
-25,"P85",0
-15,"P85",0
-5,"P85",0.421428571428527
5,"P85",0.0923076923076956
15,"P85",1.12767857142848
25,"P85",0.400000000000009
35,"P85",0.462637362637317
45,"P85",0.8833333333333
55,"P85",0.610714285714373
65,"P85",0.627380952381006
75,"P85",0.500000000000029
85,"P85",0.61071428571424
95,"P85",0.375000000000009
105,"P85",0.792857142857179
115,"P85",1.85000000000018
125,"P85",0
135,"P85",0.171428571428553
145,"P85",0.0857142857142766
155,"P85",0.947916666666739
165,"P85",0.514285714285712
175,"P85",0.464285714285719
185,"P85",0.499999999999981
195,"P85",0.471428571428577
-195,"Median",0.371428571428587
-185,"Median",1.11190476190492
-175,"Median",0.400000000000033
-165,"Median",0.371428571428563
-155,"Median",0.0923076923076956
-145,"Median",0.150000000000003
-135,"Median",0.171428571428588
-125,"Median",0
-115,"Median",0.183333333333348
-105,"Median",0
-95,"Median",0
-85,"Median",0
-75,"Median",0
-65,"Median",0
-55,"Median",0
-45,"Median",0
-35,"Median",0
-25,"Median",0
-15,"Median",0
-5,"Median",0
5,"Median",0
15,"Median",0
25,"Median",0
35,"Median",0
45,"Median",0.152777777777772
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0.342857142857177
95,"Median",0.171428571428588
105,"Median",0.199999999999993
115,"Median",0.157142857142872
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0.199999999999992
165,"Median",0.15714285714284
175,"Median",0.199999999999992
185,"Median",0.171428571428553
195,"Median",0.171428571428553
-195,"Avg",1.09206349206346
-185,"Avg",2.38611111111114
-175,"Avg",0.655555555555585
-165,"Avg",0.357142857142834
-155,"Avg",0.330769230769243
-145,"Avg",0.583333333333292
-135,"Avg",0.956349206349291
-125,"Avg",0.153333333333342
-115,"Avg",0.403968253968227
-105,"Avg",0.306666666666686
-95,"Avg",0
-85,"Avg",0.127777777777773
-75,"Avg",0.166666666666666
-65,"Avg",0.783333333333304
-55,"Avg",1.04444444444465
-45,"Avg",0
-35,"Avg",0
-25,"Avg",0
-15,"Avg",0
-5,"Avg",0.280952380952351
5,"Avg",0.0615384615384637
15,"Avg",0.660119047618984
25,"Avg",0.133333333333344
35,"Avg",0.252014652014626
45,"Avg",0.506481481481462
55,"Avg",0.284920634920669
65,"Avg",0.31349206349211
75,"Avg",0.200000000000024
85,"Avg",0.399206349206335
95,"Avg",0.184920634920651
105,"Avg",0.376190476190477
115,"Avg",0.723809523809594
125,"Avg",0
135,"Avg",0.114285714285702
145,"Avg",0.0571428571428511
155,"Avg",0.406944444444484
165,"Avg",0.280952380952386
175,"Avg",0.242857142857149
185,"Avg",0.257142857142844
195,"Avg",0.238095238095241
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
