"position.disgap","Type","AccPedalRate"
-195,"Max",2.40000000000218
-185,"Max",0.549999999997374
-175,"Max",0.600000000000546
-165,"Max",0
-155,"Max",0.733333333334001
-145,"Max",0.800000000000728
-135,"Max",0.4399999999984
-125,"Max",0
-115,"Max",0
-105,"Max",0
-95,"Max",0
-85,"Max",0.599999999997136
-75,"Max",0
-65,"Max",0.800000000000728
-55,"Max",0.800000000000728
-45,"Max",0
-35,"Max",0.600000000000546
-25,"Max",0.29999999999942
-15,"Max",0
-5,"Max",0.733333333334001
5,"Max",0
15,"Max",0
25,"Max",0
35,"Max",0.600000000000546
45,"Max",0
55,"Max",0
65,"Max",0.600000000000546
75,"Max",0
85,"Max",0
95,"Max",0
105,"Max",0
115,"Max",0.733333333334001
125,"Max",0.480000000000437
135,"Max",0.400000000000362
145,"Max",0
155,"Max",0
165,"Max",0
175,"Max",0
185,"Max",0.600000000000546
195,"Max",0.342857142857455
-195,"P85",0.960000000000875
-185,"P85",0.21999999999895
-175,"P85",0.240000000000219
-165,"P85",0
-155,"P85",0.293333333333601
-145,"P85",0.320000000000292
-135,"P85",0.17599999999936
-125,"P85",0
-115,"P85",0
-105,"P85",0
-95,"P85",0
-85,"P85",0.239999999998854
-75,"P85",0
-65,"P85",0.320000000000292
-55,"P85",0.320000000000292
-45,"P85",0
-35,"P85",0.240000000000219
-25,"P85",0.119999999999768
-15,"P85",0
-5,"P85",0.293333333333601
5,"P85",0
15,"P85",0
25,"P85",0
35,"P85",0.240000000000219
45,"P85",0
55,"P85",0
65,"P85",0.240000000000219
75,"P85",0
85,"P85",0
95,"P85",0
105,"P85",0
115,"P85",0.293333333333601
125,"P85",0.192000000000175
135,"P85",0.306666666666575
145,"P85",0
155,"P85",0
165,"P85",0
175,"P85",0
185,"P85",0.459999999999585
195,"P85",0.137142857142982
-195,"Median",0
-185,"Median",0
-175,"Median",0
-165,"Median",0
-155,"Median",0
-145,"Median",0
-135,"Median",0
-125,"Median",0
-115,"Median",0
-105,"Median",0
-95,"Median",0
-85,"Median",0
-75,"Median",0
-65,"Median",0
-55,"Median",0
-45,"Median",0
-35,"Median",0
-25,"Median",0
-15,"Median",0
-5,"Median",0
5,"Median",0
15,"Median",0
25,"Median",0
35,"Median",0
45,"Median",0
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0
165,"Median",0
175,"Median",0
185,"Median",0
195,"Median",0
-195,"Avg",0.480000000000437
-185,"Avg",0.109999999999475
-175,"Avg",0.120000000000109
-165,"Avg",0
-155,"Avg",0.1466666666668
-145,"Avg",0.160000000000146
-135,"Avg",0.0879999999996799
-125,"Avg",0
-115,"Avg",0
-105,"Avg",0
-95,"Avg",0
-85,"Avg",0.119999999999427
-75,"Avg",0
-65,"Avg",0.160000000000146
-55,"Avg",0.160000000000146
-45,"Avg",0
-35,"Avg",0.120000000000109
-25,"Avg",0.0599999999998841
-15,"Avg",0
-5,"Avg",0.1466666666668
5,"Avg",0
15,"Avg",0
25,"Avg",0
35,"Avg",0.120000000000109
45,"Avg",0
55,"Avg",0
65,"Avg",0.120000000000109
75,"Avg",0
85,"Avg",0
95,"Avg",0
105,"Avg",0
115,"Avg",0.1466666666668
125,"Avg",0.0960000000000874
135,"Avg",0.128888888888882
145,"Avg",0
155,"Avg",0
165,"Avg",0
175,"Avg",0
185,"Avg",0.193333333333231
195,"Avg",0.068571428571491
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
