"position.disgap","Type","AccPedalRate"
-195,"Max",0
-185,"Max",0
-175,"Max",1.20000000000024
-165,"Max",0
-155,"Max",0
-145,"Max",0
-135,"Max",0.79999999999997
-125,"Max",2.33333333333324
-115,"Max",0.79999999999997
-105,"Max",0.79999999999997
-95,"Max",0.960000000000328
-85,"Max",0.79999999999997
-75,"Max",0.79999999999997
-65,"Max",0.79999999999997
-55,"Max",0
-45,"Max",1.59999999999994
-35,"Max",0.733333333333306
-25,"Max",0
-15,"Max",3.93333333333318
-5,"Max",1.59999999999994
5,"Max",0.79999999999997
15,"Max",0.79999999999997
25,"Max",2.39999999999536
35,"Max",0.79999999999997
45,"Max",0.399999999999984
55,"Max",0.799999999999969
65,"Max",0
75,"Max",2.40000000000218
85,"Max",0.79999999999997
95,"Max",0.79999999999997
105,"Max",0
115,"Max",0
125,"Max",0.79999999999997
135,"Max",0.60000000000012
145,"Max",1.7499999999991
155,"Max",0.799999999999969
165,"Max",0
175,"Max",0.79999999999997
185,"Max",0.60000000000012
195,"Max",0
-195,"P85",0
-185,"P85",0
-175,"P85",0.480000000000096
-165,"P85",0
-155,"P85",0
-145,"P85",0
-135,"P85",0.319999999999988
-125,"P85",0.933333333333298
-115,"P85",0.319999999999988
-105,"P85",0.319999999999988
-95,"P85",0.864000000000112
-85,"P85",0.584000000000078
-75,"P85",0.649999999999819
-65,"P85",0.68000000000006
-55,"P85",0
-45,"P85",0.639999999999976
-35,"P85",0.733333333333305
-25,"P85",0
-15,"P85",2.05333333333326
-5,"P85",0.639999999999976
5,"P85",0.319999999999988
15,"P85",0.319999999999988
25,"P85",1.43999999999813
35,"P85",0.319999999999988
45,"P85",0.159999999999994
55,"P85",0.319999999999988
65,"P85",0
75,"P85",1.14000000000091
85,"P85",0.608000000000087
95,"P85",0.319999999999988
105,"P85",0
115,"P85",0
125,"P85",0.319999999999988
135,"P85",0.240000000000048
145,"P85",1.13999999999963
155,"P85",0.319999999999988
165,"P85",0
175,"P85",0.79999999999997
185,"P85",0.480000000000039
195,"P85",0
-195,"Median",0
-185,"Median",0
-175,"Median",0
-165,"Median",0
-155,"Median",0
-145,"Median",0
-135,"Median",0
-125,"Median",0
-115,"Median",0
-105,"Median",0
-95,"Median",0
-85,"Median",0
-75,"Median",0
-65,"Median",0
-55,"Median",0
-45,"Median",0
-35,"Median",0
-25,"Median",0
-15,"Median",0
-5,"Median",0
5,"Median",0
15,"Median",0
25,"Median",0
35,"Median",0
45,"Median",0
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0
165,"Median",0
175,"Median",0
185,"Median",0
195,"Median",0
-195,"Avg",0
-185,"Avg",0
-175,"Avg",0.240000000000048
-165,"Avg",0
-155,"Avg",0
-145,"Avg",0
-135,"Avg",0.159999999999994
-125,"Avg",0.466666666666649
-115,"Avg",0.159999999999994
-105,"Avg",0.159999999999994
-95,"Avg",0.352000000000059
-85,"Avg",0.248000000000024
-75,"Avg",0.269999999999938
-65,"Avg",0.280000000000018
-55,"Avg",0
-45,"Avg",0.319999999999988
-35,"Avg",0.293333333333322
-25,"Avg",0
-15,"Avg",0.946666666666631
-5,"Avg",0.319999999999988
5,"Avg",0.159999999999994
15,"Avg",0.159999999999994
25,"Avg",0.639999999999067
35,"Avg",0.159999999999994
45,"Avg",0.0799999999999969
55,"Avg",0.159999999999994
65,"Avg",0
75,"Avg",0.540000000000449
85,"Avg",0.256000000000027
95,"Avg",0.159999999999994
105,"Avg",0
115,"Avg",0
125,"Avg",0.159999999999994
135,"Avg",0.120000000000024
145,"Avg",0.496666666666482
155,"Avg",0.159999999999994
165,"Avg",0
175,"Avg",0.319999999999988
185,"Avg",0.200000000000021
195,"Avg",0
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
