"position.disgap","Type","AccPedalRate"
-195,"Max",0
-185,"Max",0.800000000000728
-175,"Max",0
-165,"Max",0
-155,"Max",0.800000000000728
-145,"Max",0
-135,"Max",0.600000000000546
-125,"Max",0.733333333334001
-115,"Max",0
-105,"Max",0.799999999997697
-95,"Max",0.600000000000546
-85,"Max",2.34999999999546
-75,"Max",0.999999999999283
-65,"Max",0.599999999998841
-55,"Max",0.800000000000728
-45,"Max",0
-35,"Max",0.342857142857455
-25,"Max",0.600000000000546
-15,"Max",0.800000000000728
-5,"Max",0
5,"Max",0
15,"Max",0
25,"Max",0
35,"Max",0
45,"Max",2.40000000000218
55,"Max",0.800000000000728
65,"Max",0
75,"Max",0.600000000000546
85,"Max",0.599999999998841
95,"Max",0
105,"Max",0
115,"Max",0
125,"Max",0
135,"Max",0
145,"Max",0
155,"Max",1.20000000000109
165,"Max",0.480000000000437
175,"Max",0.766666666665912
185,"Max",0
195,"Max",0.480000000000437
-195,"P85",0
-185,"P85",0.608000000000554
-175,"P85",0
-165,"P85",0
-155,"P85",0.320000000000292
-145,"P85",0
-135,"P85",0.240000000000219
-125,"P85",0.293333333333601
-115,"P85",0
-105,"P85",0.319999999999079
-95,"P85",0.240000000000219
-85,"P85",0.939999999998185
-75,"P85",0.399999999999714
-65,"P85",0.239999999999537
-55,"P85",0.320000000000292
-45,"P85",0
-35,"P85",0.137142857142982
-25,"P85",0.240000000000219
-15,"P85",0.320000000000292
-5,"P85",0
5,"P85",0
15,"P85",0
25,"P85",0
35,"P85",0
45,"P85",0.960000000000875
55,"P85",0.584000000000532
65,"P85",0
75,"P85",0.240000000000219
85,"P85",0.239999999999537
95,"P85",0
105,"P85",0
115,"P85",0
125,"P85",0
135,"P85",0
145,"P85",0
155,"P85",0.480000000000437
165,"P85",0.192000000000175
175,"P85",0.636666666665727
185,"P85",0
195,"P85",0.192000000000175
-195,"Median",0
-185,"Median",0
-175,"Median",0
-165,"Median",0
-155,"Median",0
-145,"Median",0
-135,"Median",0
-125,"Median",0
-115,"Median",0
-105,"Median",0
-95,"Median",0
-85,"Median",0
-75,"Median",0
-65,"Median",0
-55,"Median",0
-45,"Median",0
-35,"Median",0
-25,"Median",0
-15,"Median",0
-5,"Median",0
5,"Median",0
15,"Median",0
25,"Median",0
35,"Median",0
45,"Median",0
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0
165,"Median",0
175,"Median",0
185,"Median",0
195,"Median",0
-195,"Avg",0
-185,"Avg",0.256000000000233
-175,"Avg",0
-165,"Avg",0
-155,"Avg",0.160000000000146
-145,"Avg",0
-135,"Avg",0.120000000000109
-125,"Avg",0.1466666666668
-115,"Avg",0
-105,"Avg",0.159999999999539
-95,"Avg",0.120000000000109
-85,"Avg",0.469999999999092
-75,"Avg",0.199999999999857
-65,"Avg",0.119999999999768
-55,"Avg",0.160000000000146
-45,"Avg",0
-35,"Avg",0.068571428571491
-25,"Avg",0.120000000000109
-15,"Avg",0.160000000000146
-5,"Avg",0
5,"Avg",0
15,"Avg",0
25,"Avg",0
35,"Avg",0
45,"Avg",0.480000000000437
55,"Avg",0.248000000000226
65,"Avg",0
75,"Avg",0.120000000000109
85,"Avg",0.119999999999768
95,"Avg",0
105,"Avg",0
115,"Avg",0
125,"Avg",0
135,"Avg",0
145,"Avg",0
155,"Avg",0.240000000000218
165,"Avg",0.0960000000000874
175,"Avg",0.26333333333297
185,"Avg",0
195,"Avg",0.0960000000000874
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
