"position.disgap","Type","AvgLateralSpeed"
-195,"Max",0.297096152185059
-185,"Max",0.353312748326389
-175,"Max",0.294142032281403
-165,"Max",0.324162570014415
-155,"Max",0.20961541480748
-145,"Max",0.0979450691862139
-135,"Max",0.174307355793878
-125,"Max",0.0709708220757097
-115,"Max",0.079021294378398
-105,"Max",0.196443895759944
-95,"Max",0.443493941540569
-85,"Max",0.733175509365583
-75,"Max",0.774491733903565
-65,"Max",0.740771413997312
-55,"Max",0.63827188662266
-45,"Max",0.464077766011086
-35,"Max",0.385762639166116
-25,"Max",0.595925562355686
-15,"Max",0.768780413218609
-5,"Max",0.888812381243038
5,"Max",1.20395740294414
15,"Max",1.64343040435126
25,"Max",1.41135269972961
35,"Max",1.46009408565647
45,"Max",1.45980883546165
55,"Max",1.35488913222239
65,"Max",0.932435571249868
75,"Max",0.797407908877053
85,"Max",0.751992530888627
95,"Max",0.747842089512347
105,"Max",0.843887411554079
115,"Max",1.02415748552883
125,"Max",1.28415399163098
135,"Max",1.51510438349193
145,"Max",1.74109966758894
155,"Max",1.74505942253997
165,"Max",1.42801369284574
175,"Max",0.890921351584522
185,"Max",0.796828789052709
195,"Max",0.637449898306968
-195,"P85",0.200707125093758
-185,"P85",0.119780994247822
-175,"P85",0.133819428045002
-165,"P85",0.169478043340669
-155,"P85",0.198646672938618
-145,"P85",0.0972202873780647
-135,"P85",0.0642854114916644
-125,"P85",0.0683985095245063
-115,"P85",0.0516468123300096
-105,"P85",0.151419960461927
-95,"P85",0.277670418757858
-85,"P85",0.323891903502821
-75,"P85",0.305780842893015
-65,"P85",0.26468428548208
-55,"P85",0.258641549460872
-45,"P85",0.219080414900479
-35,"P85",0.336519186245431
-25,"P85",0.422291486076492
-15,"P85",0.452874967502808
-5,"P85",0.484046919123078
5,"P85",0.964925167842993
15,"P85",1.39463359363716
25,"P85",1.3932874958843
35,"P85",1.30274640254228
45,"P85",1.35439565342264
55,"P85",1.26396576102294
65,"P85",0.872075694855241
75,"P85",0.765359222647736
85,"P85",0.628049947972185
95,"P85",0.723684896380191
105,"P85",0.766474945605786
115,"P85",0.775866756105017
125,"P85",0.807823671145604
135,"P85",0.946767813243249
145,"P85",1.05910330878613
155,"P85",1.08729619995527
165,"P85",0.979422006191519
175,"P85",0.85021204545772
185,"P85",0.395870612388479
195,"P85",0.301434513507137
-195,"Median",0.0577893692602014
-185,"Median",0.0333524990190894
-175,"Median",0.0661681650548306
-165,"Median",0.09792620561549
-155,"Median",0.0030235867501037
-145,"Median",0.00631579773771072
-135,"Median",0.026439954235398
-125,"Median",-0.0125904871321278
-115,"Median",-0.0238019566827862
-105,"Median",0.00829168690422784
-95,"Median",0.0229975346066848
-85,"Median",0.175935354432722
-75,"Median",0.132891923164897
-65,"Median",0.0954466845025571
-55,"Median",0.0569908085496901
-45,"Median",-0.0269453587056473
-35,"Median",-0.107426332715365
-25,"Median",-0.122730558333827
-15,"Median",0.00779566561329606
-5,"Median",0.113784527915994
5,"Median",0.499195499763852
15,"Median",0.821463143852302
25,"Median",1.26421611886011
35,"Median",1.14529623925871
45,"Median",1.08671559901805
55,"Median",0.964951380038196
65,"Median",0.56746612666308
75,"Median",0.426597084601219
85,"Median",0.382672614096011
95,"Median",0.394765383624405
105,"Median",0.350959183137834
115,"Median",0.390312589865815
125,"Median",0.396192325393788
135,"Median",0.525254015823865
145,"Median",0.56270227394862
155,"Median",0.563326830391624
165,"Median",0.571392356643697
175,"Median",0.431717185177865
185,"Median",0.240274039827924
195,"Median",0.143031816792667
-195,"Avg",0.0833164126262653
-185,"Avg",0.0568040585653958
-175,"Avg",0.0558287158748482
-165,"Avg",0.106967891792254
-155,"Avg",0.0312284465533344
-145,"Avg",-0.00546277927373418
-135,"Avg",0.0404002432062606
-125,"Avg",0.00751741276577655
-115,"Avg",-0.016494963822119
-105,"Avg",0.0359038003555891
-95,"Avg",0.0981841425564734
-85,"Avg",0.18616448290865
-75,"Avg",0.158548818006833
-65,"Avg",0.145956818518328
-55,"Avg",0.117980498512927
-45,"Avg",0.0336717235549328
-35,"Avg",0.0240285350657949
-25,"Avg",0.0740121645732031
-15,"Avg",0.177013419009934
-5,"Avg",0.254664200693054
5,"Avg",0.606983749411861
15,"Avg",0.795310358048059
25,"Avg",1.05896747927801
35,"Avg",0.977542913670971
45,"Avg",1.11072813743697
55,"Avg",1.00759268088833
65,"Avg",0.610725977539845
75,"Avg",0.483120351092714
85,"Avg",0.415347299847713
95,"Avg",0.3996443139711
105,"Avg",0.389340041548125
115,"Avg",0.412627369657005
125,"Avg",0.430723798485197
135,"Avg",0.493913658702012
145,"Avg",0.548978354149287
155,"Avg",0.595035649567
165,"Avg",0.596301804043851
175,"Avg",0.444923361742492
185,"Avg",0.251407885520305
195,"Avg",0.148137566852926
-195,"Min",-0.0477791601615328
-185,"Min",-0.141755459203431
-175,"Min",-0.0966081903445467
-165,"Min",-0.0018358762217021
-155,"Min",-0.150410101001495
-145,"Min",-0.152137871142939
-135,"Min",-0.0273728031683477
-125,"Min",-0.040987086226229
-115,"Min",-0.0930476302566663
-105,"Min",-0.114729382457201
-95,"Min",-0.0707575119052795
-85,"Min",-0.108399946820119
-75,"Min",-0.143209882806811
-65,"Min",-0.134681717229687
-55,"Min",-0.185480410292344
-45,"Min",-0.256811504768326
-35,"Min",-0.232258527456383
-25,"Min",-0.142090721925705
-15,"Min",-0.0397047725257643
-5,"Min",0.0311438856870363
5,"Min",0.223547829506616
15,"Min",0.0287445218662921
25,"Min",-0.190194040151355
35,"Min",-0.0680892062970656
45,"Min",0.7767522781108
55,"Min",0.628774700425766
65,"Min",0.362232929328915
75,"Min",0.200285691128043
85,"Min",0.135301212638671
95,"Min",-0.0614564129514008
105,"Min",-0.109640533205159
115,"Min",-0.161620652417487
125,"Min",-0.204287662110853
135,"Min",-0.241822021784941
145,"Min",-0.364809760691183
155,"Min",-0.352362595942779
165,"Min",-0.138238654427016
175,"Min",-0.187551285078044
185,"Min",-0.247508569185566
195,"Min",-0.16806920848373
