"position.disgap","Type","AvgLateralSpeed"
-195,"Max",0.520427035743545
-185,"Max",0.574103134912957
-175,"Max",0.519163080371172
-165,"Max",0.424722358010848
-155,"Max",0.318748665049566
-145,"Max",0.0959921412848661
-135,"Max",0.0575182719709701
-125,"Max",0.240725053755129
-115,"Max",0.190636853562409
-105,"Max",0.146158269727789
-95,"Max",0.0792229382163471
-85,"Max",0.0316975837394072
-75,"Max",-0.0177154827982059
-65,"Max",0.237573696510878
-55,"Max",0.276752396050229
-45,"Max",0.214076567176321
-35,"Max",0.171431669319961
-25,"Max",0.124491036240657
-15,"Max",0.339283779260053
-5,"Max",0.421447743513761
5,"Max",0.65230036093939
15,"Max",0.610790635448559
25,"Max",0.524892922931295
35,"Max",0.487739803054625
45,"Max",0.38277680418807
55,"Max",0.257585973372852
65,"Max",0.343623838542527
75,"Max",0.286862561998799
85,"Max",0.227988204906522
95,"Max",0.173010526903426
105,"Max",0.266470415993636
115,"Max",0.314112819188042
125,"Max",0.261863590661149
135,"Max",0.445132979949001
145,"Max",0.434294590376234
155,"Max",0.0973542571507506
165,"Max",0.046657631411458
175,"Max",-0.00533132194664834
185,"Max",-0.0594468385733335
195,"Max",0.237262955331505
-195,"P85",0.420055541920183
-185,"P85",0.41062175886085
-175,"P85",0.354722828168871
-165,"P85",0.290802057477312
-155,"P85",0.217293555675518
-145,"P85",0.0924386178768928
-135,"P85",0.0480733434466728
-125,"P85",0.12924431898238
-115,"P85",0.186740566681802
-105,"P85",0.141665324362683
-95,"P85",0.07350188890367
-85,"P85",0.0272953919944858
-75,"P85",-0.0236334955685907
-65,"P85",0.0548533283280546
-55,"P85",0.23070940058528
-45,"P85",0.205836054544176
-35,"P85",0.169433337435659
-25,"P85",0.12078924103765
-15,"P85",0.191588202063407
-5,"P85",0.351012079241537
5,"P85",0.42222095553697
15,"P85",0.457806453050811
25,"P85",0.307147913279572
35,"P85",0.263998961278179
45,"P85",0.190085149584507
55,"P85",0.150965923542406
65,"P85",0.337805527811048
75,"P85",0.282778790877155
85,"P85",0.225235041493582
95,"P85",0.169495836082353
105,"P85",0.180970983967176
115,"P85",0.166200897322514
125,"P85",0.260771445930057
135,"P85",0.2969060826948
145,"P85",0.262031662630433
155,"P85",0.0951226020379283
165,"P85",0.0435382295230482
175,"P85",-0.0106427770282196
185,"P85",-0.0596172700635052
195,"P85",0.0257516815626755
-195,"Median",0.330587326816531
-185,"Median",0.294159601810875
-175,"Median",0.240988249464205
-165,"Median",0.196608970373477
-155,"Median",0.143891138075093
-145,"Median",0.0866371537626555
-135,"Median",0.0366342891102567
-125,"Median",-0.0137818960329496
-115,"Median",-0.0647492549910694
-105,"Median",-0.125298183363972
-95,"Median",-0.0856387841509553
-85,"Median",0.0180262703657691
-75,"Median",-0.0280957794172432
-65,"Median",-0.0742925642392197
-55,"Median",-0.118389675148786
-45,"Median",-0.126565814954755
-35,"Median",0.159950249662425
-25,"Median",0.115289995391104
-15,"Median",0.0787452061797931
-5,"Median",0.0462012933471779
5,"Median",0.0135568006670281
15,"Median",0.076665734351811
25,"Median",0.160565440213474
35,"Median",0.11450443638259
45,"Median",0.0589585929170442
55,"Median",0.00326187657826951
65,"Median",-0.0483590438611381
75,"Median",-0.097984543405224
85,"Median",-0.0401351762376718
95,"Median",0.158315058237765
105,"Median",0.108064805107875
115,"Median",0.0673901560948158
125,"Median",0.183470657317179
135,"Median",0.154932474515341
145,"Median",0.145559714720134
155,"Median",0.0889503051592766
165,"Median",0.0405294880294253
175,"Median",-0.0164142952283268
185,"Median",-0.0632688842931305
195,"Median",-0.117764340310681
-195,"Avg",0.285604649327715
-185,"Avg",0.248823240710732
-175,"Avg",0.216138693605018
-165,"Avg",0.165388361144266
-155,"Avg",0.145409943341095
-145,"Avg",0.0256725303013383
-135,"Avg",-0.036744264545214
-125,"Avg",-0.0251890281487825
-115,"Avg",-0.0412706741950353
-105,"Avg",-0.0985248123740757
-95,"Avg",-0.131987552320317
-85,"Avg",-0.151715226732359
-75,"Avg",-0.113093727152596
-65,"Avg",-0.0628137800330328
-55,"Avg",0.0229521438605898
-45,"Avg",-0.0177369734906253
-35,"Avg",0.0566838096162866
-25,"Avg",0.0382481949196844
-15,"Avg",0.0697582082828501
-5,"Avg",0.164356376595288
5,"Avg",0.185483728885837
15,"Avg",0.195971410958195
25,"Avg",0.156567435993206
35,"Avg",0.142807804963463
45,"Avg",0.120878693813218
55,"Avg",0.0675119828311733
65,"Avg",0.102801283415861
75,"Avg",0.0535243219490214
85,"Avg",0.0144330264595267
95,"Avg",0.0326554314755692
105,"Avg",0.0285777370805636
115,"Avg",0.0621695903405654
125,"Avg",0.140805854609534
135,"Avg",0.159715109588906
145,"Avg",0.0987188525933806
155,"Avg",-0.00948780985095668
165,"Avg",-0.0607135619003379
175,"Avg",-0.0667859732680604
185,"Avg",-0.114386696523085
195,"Avg",-0.0525267598958695
-195,"Min",-0.036386019371514
-185,"Min",-0.0866807859663286
-175,"Min",-0.152687199914817
-165,"Min",-0.191950929000403
-155,"Min",0.0488267258184027
-145,"Min",-0.213476196811778
-135,"Min",-0.350541747365419
-125,"Min",-0.392519290878542
-115,"Min",-0.443612225391826
-105,"Min",-0.495355971069531
-95,"Min",-0.3748072198715
-85,"Min",-0.610515093294864
-75,"Min",-0.322048328446313
-65,"Min",-0.317490756734996
-55,"Min",-0.125163660527074
-45,"Min",-0.18883388810566
-35,"Min",-0.231820453114188
-25,"Min",-0.282000210573475
-15,"Min",-0.240940516907758
-5,"Min",0.0081149326842339
5,"Min",-0.0207053118138756
15,"Min",-0.0399727172357512
25,"Min",-0.0998631842459705
35,"Min",-0.112235070995516
45,"Min",0.0465682825394023
55,"Min",-0.00523727508078134
65,"Min",-0.0578524191783548
75,"Min",-0.102594740760937
85,"Min",-0.183789703708678
95,"Min",-0.46353028340625
105,"Min",-0.463154347283559
115,"Min",-0.193223237206043
125,"Min",-0.00341023564594567
135,"Min",-0.0573711916111651
145,"Min",-0.118369623192691
155,"Min",-0.168266513398861
165,"Min",-0.225193058817542
175,"Min",-0.279463177679821
185,"Min",-0.324603346971818
195,"Min",-0.143270245304475
