"position.disgap","Type","AvgLateralSpeed"
-195,"Max",0.303523673312638
-185,"Max",0.303687348028138
-175,"Max",0.297067208699653
-165,"Max",0.302684131770288
-155,"Max",0.126396414777437
-145,"Max",0.202463045951932
-135,"Max",0.280973889783471
-125,"Max",0.279018248261636
-115,"Max",0.295109780024547
-105,"Max",0.295345426388649
-95,"Max",0.290662401544527
-85,"Max",0.279085241242208
-75,"Max",0.27509280995313
-65,"Max",0.280816590529466
-55,"Max",0.275726081049356
-45,"Max",0.274562080761889
-35,"Max",0.280004427347704
-25,"Max",0.27689422239041
-15,"Max",0.276199766353154
-5,"Max",0.273280126575802
5,"Max",0.543985590682082
15,"Max",0.542346194859818
25,"Max",0.522522299790019
35,"Max",0.548814662546428
45,"Max",0.272711936625339
55,"Max",0.203345402327488
65,"Max",0.196398100461882
75,"Max",0.208598023233794
85,"Max",0.193236252634462
95,"Max",0.191540174719027
105,"Max",0.194387322323539
115,"Max",0.186387852977487
125,"Max",0.189060363158492
135,"Max",0.184880072148958
145,"Max",0.187996088098227
155,"Max",0.1855661483602
165,"Max",0.173749211933333
175,"Max",0.177809453717971
185,"Max",0.176935419302901
195,"Max",0.180224771973532
-195,"P85",0.209573508380535
-185,"P85",0.190595997091441
-175,"P85",0.14372792809778
-165,"P85",0.205281386969202
-155,"P85",0.111420471803908
-145,"P85",0.108229999681788
-135,"P85",0.200888272054652
-125,"P85",0.242446210500979
-115,"P85",0.288368020995581
-105,"P85",0.28860563897604
-95,"P85",0.284518764675931
-85,"P85",0.276119795204956
-75,"P85",0.273567812448509
-65,"P85",0.278718236370425
-55,"P85",0.273562891362678
-45,"P85",0.270655994394475
-35,"P85",0.279253426269551
-25,"P85",0.275027977952215
-15,"P85",0.244987595736253
-5,"P85",0.126801196288886
5,"P85",0.335242870018186
15,"P85",0.387683455195424
25,"P85",0.510566145470534
35,"P85",0.366688643168128
45,"P85",0.23028447875615
55,"P85",0.191986565866955
65,"P85",0.189304856922255
75,"P85",0.202490982106217
85,"P85",0.188181916638001
95,"P85",0.189852753917667
105,"P85",0.19030588981008
115,"P85",0.184953480421539
125,"P85",0.187453793901488
135,"P85",0.183419823407208
145,"P85",0.187726870360897
155,"P85",0.182136086429733
165,"P85",0.170921930134237
175,"P85",0.173153342968773
185,"P85",0.175849682799935
195,"P85",0.176535652667053
-195,"Median",-0.0797140334179002
-185,"Median",-0.0421589004865165
-175,"Median",-0.0810815642540742
-165,"Median",-0.0832321309150471
-155,"Median",-0.0930311214375929
-145,"Median",-0.0513777596653147
-135,"Median",-0.0815851448114318
-125,"Median",-0.0840319841944566
-115,"Median",0.0534860053738929
-105,"Median",0.158267545872144
-95,"Median",0.166903718389107
-85,"Median",0.177623098159433
-75,"Median",-0.0910641896363891
-65,"Median",-0.083957455991046
-55,"Median",-0.0922688308751662
-45,"Median",-0.092853715657946
-35,"Median",-0.0856218662386111
-25,"Median",-0.0882725707057391
-15,"Median",-0.0924221102388077
-5,"Median",-0.0884807409492988
5,"Median",0.195405133943941
15,"Median",0.184666438562438
25,"Median",0.121371161191273
35,"Median",0.193486456298162
45,"Median",0.184639629679231
55,"Median",0.0937605283960257
65,"Median",0.180233422590827
