"position.disgap","Type","AvgLongitudinalSpeed"
-195,"Max",86.141547425296
-185,"Max",86.0648282711215
-175,"Max",85.9825771029041
-165,"Max",85.9029957013875
-155,"Max",85.8101251985837
-145,"Max",85.7313538248201
-135,"Max",85.6527242795477
-125,"Max",85.5737113665235
-115,"Max",85.4989764393081
-105,"Max",85.4093680159502
-95,"Max",85.3266998727827
-85,"Max",85.2570251062447
-75,"Max",85.1732024046008
-65,"Max",85.101732032264
-55,"Max",85.0251755772417
-45,"Max",84.950035789684
-35,"Max",84.8717661911782
-25,"Max",84.8016307084625
-15,"Max",84.7417885545811
-5,"Max",84.6533217379777
5,"Max",84.5476761267557
15,"Max",84.4315029624822
25,"Max",84.3078432443626
35,"Max",84.1990435771079
45,"Max",84.1067072933518
55,"Max",84.0120353425546
65,"Max",83.906453996706
75,"Max",83.8361945722708
85,"Max",83.7924158865124
95,"Max",83.7460096909949
105,"Max",83.6860333267974
115,"Max",83.6320710475022
125,"Max",83.5751796010023
135,"Max",83.511730561901
145,"Max",83.4425833551881
155,"Max",83.374849848829
165,"Max",83.3023650989498
175,"Max",83.2309403441008
185,"Max",83.1769950670052
195,"Max",83.1364376240826
-195,"P85",83.4530139018466
-185,"P85",83.3770384351498
-175,"P85",83.2989819360492
-165,"P85",83.2240568479208
-155,"P85",83.1402753731308
-145,"P85",83.0655547129613
-135,"P85",82.9907753010141
-125,"P85",82.9151191242114
-115,"P85",82.8431398070479
-105,"P85",82.7609442779244
-95,"P85",82.6855470848683
-85,"P85",82.6154354108196
-75,"P85",82.5380246525561
-65,"P85",82.4678369779669
-55,"P85",82.4012622733704
-45,"P85",82.331450869716
-35,"P85",82.2612876608142
-25,"P85",82.1965128640665
-15,"P85",82.1338692951328
-5,"P85",82.0580322482599
5,"P85",81.9671817541312
15,"P85",81.9009897400936
25,"P85",81.86452992637
35,"P85",81.8338694669479
45,"P85",81.8031996723935
55,"P85",81.7713043456365
65,"P85",81.7244456539785
75,"P85",81.6935325910534
85,"P85",81.6772592993899
95,"P85",81.6490193128277
105,"P85",81.6150580409833
115,"P85",81.5798901974559
125,"P85",81.5445788299031
135,"P85",81.5056309840146
145,"P85",81.4535555315178
155,"P85",81.4061986949838
165,"P85",81.3533348104163
175,"P85",81.2975445547411
185,"P85",81.2445003237177
195,"P85",81.199553889766
-195,"Median",80.3170163014328
-185,"Median",80.2174718766826
-175,"Median",80.1318438634412
-165,"Median",80.0361215834943
-155,"Median",79.9648894990623
-145,"Median",79.9677642840849
-135,"Median",79.9754161975515
-125,"Median",79.9868000770815
-115,"Median",79.9944907684592
-105,"Median",79.9967639876318
-95,"Median",80.004293383536
-85,"Median",80.0082299365226
-75,"Median",80.0090831214495
-65,"Median",80.0169145315531
-55,"Median",80.0254407263418
-45,"Median",80.031542680929
-35,"Median",80.0387757984669
-25,"Median",80.0763951435951
-15,"Median",80.1154389398808
-5,"Median",80.1541176109475
5,"Median",80.1849891296589
15,"Median",80.1777417863703
25,"Median",80.0924000930069
35,"Median",80.0098264046985
45,"Median",79.924170125917
55,"Median",79.8319190500772
65,"Median",79.7598918060203
75,"Median",79.7563495182115
85,"Median",79.7573560673097
95,"Median",79.7505589446267
105,"Median",79.7408536748627
115,"Median",79.7281028729127
125,"Median",79.7114167367211
135,"Median",79.6859658119908
145,"Median",79.6588438965724
155,"Median",79.6265267479637
165,"Median",79.5957756442967
175,"Median",79.561167249454
185,"Median",79.5106611900267
195,"Median",79.4624752391078
-195,"Avg",81.4048929059189
-185,"Avg",81.359212062446
-175,"Avg",81.3146046052756
-165,"Avg",81.2717688697477
-155,"Avg",81.2278062980697
-145,"Avg",81.1899432441835
-135,"Avg",81.1539194938518
-125,"Avg",81.1158199940888
-115,"Avg",81.0797801380416
-105,"Avg",81.0384795943951
-95,"Avg",81.0020728691421
-85,"Avg",80.9739251419669
-75,"Avg",80.9422987483614
-65,"Avg",80.9147651916351
-55,"Avg",80.8873862661413
-45,"Avg",80.8621965453539
-35,"Avg",80.8389737807668
-25,"Avg",80.8278378105776
-15,"Avg",80.8167025086746
-5,"Avg",80.7965226226779
5,"Avg",80.7672429549758
15,"Avg",80.7362806199416
25,"Avg",80.69841034975
35,"Avg",80.6611911537047
45,"Avg",80.6224779003471
55,"Avg",80.5800027331818
65,"Avg",80.5290618221246
75,"Avg",80.4843950473768
85,"Avg",80.4519874660773
95,"Avg",80.413663448264
105,"Avg",80.3644445968814
