"position.disgap","Type","AvgLongitudinalSpeed"
-195,"Max",102.408079774826
-185,"Max",101.892560901751
-175,"Max",101.37378262646
-165,"Max",100.862556036008
-155,"Max",100.334194603638
-145,"Max",99.8163797188937
-135,"Max",99.3189901484061
-125,"Max",98.82061070079
-115,"Max",98.293337866168
-105,"Max",97.7827537131792
-95,"Max",97.2686882617986
-85,"Max",96.7713493193022
-75,"Max",96.257777006606
-65,"Max",96.2458878733222
-55,"Max",96.3737054828263
-45,"Max",96.4968125728226
-35,"Max",96.6121454513812
-25,"Max",96.7146536963158
-15,"Max",96.8704138147824
-5,"Max",96.951403095081
5,"Max",97.0423404099007
15,"Max",97.1657705330907
25,"Max",97.2550567712026
35,"Max",97.1704183729379
45,"Max",96.7944022548561
55,"Max",96.3879942652657
65,"Max",96.0125695597972
75,"Max",95.6683511392344
85,"Max",95.2824736058771
95,"Max",94.9065246408495
105,"Max",94.5430811768911
115,"Max",94.1716073142231
125,"Max",93.7904140979046
135,"Max",93.4345932505125
145,"Max",93.1002037861288
155,"Max",92.6943443172923
165,"Max",92.2994933920527
175,"Max",91.9131260340879
185,"Max",91.5103930360099
195,"Max",91.139366399632
-195,"P85",96.5778321633229
-185,"P85",96.5822922194997
-175,"P85",96.6370468044416
-165,"P85",96.5932753038741
-155,"P85",96.5216117807547
-145,"P85",96.4329776409085
-135,"P85",96.3571115657743
-125,"P85",96.3074377857586
-115,"P85",96.276003023765
-105,"P85",96.2328836469823
-95,"P85",96.2003894834328
-85,"P85",96.1747623494556
-75,"P85",96.1398966003625
-65,"P85",95.8589299175415
-55,"P85",95.5164779863542
-45,"P85",95.1649418005538
-35,"P85",94.8074333775796
-25,"P85",94.4635666881194
-15,"P85",94.1134040151947
-5,"P85",93.7590214145745
5,"P85",93.7913572500417
15,"P85",93.9622217849763
25,"P85",93.7588032408835
35,"P85",93.4499472920258
45,"P85",93.0717091797099
55,"P85",92.6691273546502
65,"P85",92.2798336738407
75,"P85",91.9054817620865
85,"P85",91.4862241101147
95,"P85",91.1392380353637
105,"P85",90.7676334036209
115,"P85",90.4273264650422
125,"P85",89.9494300419158
135,"P85",89.6212280841555
145,"P85",89.2574433925786
155,"P85",88.8400605711773
165,"P85",88.4627763378276
175,"P85",88.0854581586645
185,"P85",87.7591130243239
