"position.disgap","Type","AvgLongitudinalSpeed"
-195,"Max",92.7786856250998
-185,"Max",92.7284999122332
-175,"Max",92.6716503276966
-165,"Max",92.6153946026622
-155,"Max",92.4599818912858
-145,"Max",92.0448917766786
-135,"Max",91.5316938230455
-125,"Max",91.010082212849
-115,"Max",90.5118703602278
-105,"Max",89.9896947622248
-95,"Max",89.4748242453554
-85,"Max",88.9101528975112
-75,"Max",88.3635283710198
-65,"Max",87.911408982332
-55,"Max",87.3496406636693
-45,"Max",86.8312541240053
-35,"Max",86.3402603877668
-25,"Max",85.8336061666813
-15,"Max",85.2279202625267
-5,"Max",84.5876075613751
5,"Max",84.1140317014817
15,"Max",83.6665868957183
25,"Max",84.4779739379824
35,"Max",85.2448360480381
45,"Max",85.2128056080722
55,"Max",85.1018849831307
65,"Max",84.9165532242498
75,"Max",84.7154261477673
85,"Max",84.5314181888086
95,"Max",84.3041564924278
105,"Max",84.0519266916406
115,"Max",83.7145447085393
125,"Max",83.2398004689251
135,"Max",82.6910533797793
145,"Max",82.2497998042427
155,"Max",81.7189233251903
165,"Max",81.214410684188
175,"Max",80.7479531708258
185,"Max",80.1978453398759
195,"Max",79.6740050977503
-195,"P85",83.6111529692181
-185,"P85",83.2904077796395
-175,"P85",83.3683517860646
-165,"P85",83.4623907119298
-155,"P85",83.4780989632782
-145,"P85",83.2349500155214
-135,"P85",82.7838297388142
-125,"P85",82.421099777953
-115,"P85",82.0218600291668
-105,"P85",81.4880744125224
-95,"P85",80.6121757516405
-85,"P85",79.621424116235
-75,"P85",78.4679817915982
-65,"P85",77.6041651635571
-55,"P85",78.0246521608312
-45,"P85",78.9330016884405
-35,"P85",79.8268202018632
-25,"P85",80.6582282150881
-15,"P85",81.4434603641806
-5,"P85",82.1461617026749
5,"P85",82.8669078907235
15,"P85",83.550949913629
25,"P85",83.5301282738934
35,"P85",83.3329322084366
45,"P85",82.9383740845415
55,"P85",82.5679889066502
65,"P85",82.2053347980348
75,"P85",81.8024466060073
85,"P85",81.4014210611579
95,"P85",81.0064832026112
105,"P85",80.6032201699614
115,"P85",80.1796760871357
125,"P85",79.7783689003508
135,"P85",79.315498862817
145,"P85",78.920869407656
155,"P85",78.4711986975445
165,"P85",78.0432527880884
175,"P85",77.6212285655431
185,"P85",77.1672472961429
195,"P85",76.7170682220197
-195,"Median",80.0945772439121
-185,"Median",79.968932977179
-175,"Median",79.5752966494368
