"position.disgap","Type","AvgLongitudinalSpeed"
-195,"Max",106.841724564067
-185,"Max",106.482980406076
-175,"Max",106.526047483928
-165,"Max",106.615457810248
-155,"Max",106.707670698595
-145,"Max",106.802236368435
-135,"Max",106.906088628564
-125,"Max",107.013477223794
-115,"Max",107.121937709674
-105,"Max",107.23552383318
-95,"Max",107.364342218145
-85,"Max",107.455860903179
-75,"Max",107.487353806771
-65,"Max",107.510409031469
-55,"Max",107.5431563566
-45,"Max",107.574527199241
-35,"Max",107.604193517306
-25,"Max",107.628740284351
-15,"Max",107.6585712423
-5,"Max",107.688429004883
5,"Max",107.719130766155
15,"Max",107.741920337452
25,"Max",107.763712595656
35,"Max",107.739985949144
45,"Max",107.632178649248
55,"Max",107.448201531825
65,"Max",107.263542470935
75,"Max",107.09510450175
85,"Max",106.93371677342
95,"Max",106.792321466189
105,"Max",106.651905708134
115,"Max",106.512000263261
125,"Max",106.383925373808
135,"Max",106.244760464559
145,"Max",106.12024452854
155,"Max",105.986820540951
165,"Max",105.858167765215
175,"Max",105.725937613635
185,"Max",105.600803571647
195,"Max",105.474900356047
-195,"P85",106.56151332441
-185,"P85",106.462649871491
-175,"P85",106.293828460294
-165,"P85",106.133963486855
-155,"P85",105.979000196291
-145,"P85",105.827721597171
-135,"P85",105.725393264942
-125,"P85",105.838950129892
-115,"P85",105.898943795521
-105,"P85",105.936569084549
-95,"P85",106.005989883115
-85,"P85",106.069721918107
-75,"P85",106.066182865957
-65,"P85",106.000661495515
-55,"P85",105.954101525938
-45,"P85",105.914190954522
-35,"P85",105.888112575263
-25,"P85",105.871816449638
-15,"P85",105.848597986773
-5,"P85",105.755231254181
5,"P85",105.613471370269
15,"P85",105.626380958886
25,"P85",105.633699488388
35,"P85",105.62676774147
45,"P85",105.586225141123
55,"P85",105.510993105608
65,"P85",105.435392589451
75,"P85",105.360694985426
85,"P85",105.257044268744
95,"P85",105.16107254099
105,"P85",105.056692633485
115,"P85",104.952047077118
125,"P85",104.856606113309
135,"P85",104.756196052836
145,"P85",104.658693398242
155,"P85",104.560779342252
165,"P85",104.467562584051
175,"P85",104.373158661016
185,"P85",104.26950211777
195,"P85",104.15911455219
-195,"Median",104.447127443975
-185,"Median",104.383547260858
-175,"Median",104.330705582324
-165,"Median",104.448376260266
-155,"Median",104.603820628219
-145,"Median",104.768343697664
-135,"Median",104.856126230027
-125,"Median",104.548341042905
-115,"Median",104.277479966745
-105,"Median",104.141394402631
-95,"Median",104.139205732615
-85,"Median",104.125593432712
-75,"Median",104.159081675041
-65,"Median",104.170031226071
-55,"Median",104.177745348171
-45,"Median",104.180270991292
-35,"Median",104.186770040422
-25,"Median",104.191546541853
-15,"Median",104.20079730384
-5,"Median",104.204555906049
5,"Median",104.188927216242
15,"Median",103.940848625333
25,"Median",103.745498904828
35,"Median",103.538481888707
45,"Median",103.345111019271
55,"Median",103.140005023617
65,"Median",102.949551795274
75,"Median",102.748611320505
85,"Median",102.546214227265
95,"Median",102.348937097213
105,"Median",102.141231349161
115,"Median",101.947430131096
125,"Median",101.751980063598
135,"Median",101.5588343765
145,"Median",101.374871349351
155,"Median",101.233312110566
165,"Median",101.087531939484
175,"Median",100.927327012575
185,"Median",100.767791262425
195,"Median",100.612903712911
-195,"Avg",104.481803939664
-185,"Avg",104.418661237029
-175,"Avg",104.363973825871
-165,"Avg",104.317221187369
-155,"Avg",104.276285561631
-145,"Avg",104.242079051636
-135,"Avg",104.212897155474
-125,"Avg",104.178404917412
-115,"Avg",104.13783425354
-105,"Avg",104.094097150126
-95,"Avg",104.060539700975
-85,"Avg",104.025796877633
-75,"Avg",103.974126517151
-65,"Avg",103.899859661789
-55,"Avg",103.842654292291
-45,"Avg",103.788668136153
-35,"Avg",103.741460527901
-25,"Avg",103.699683784495
-15,"Avg",103.65555139849
-5,"Avg",103.578110556639
5,"Avg",103.480256962054
15,"Avg",103.385010685533
25,"Avg",103.301829528895
35,"Avg",103.209780216623
45,"Avg",103.103506777009
55,"Avg",102.979406185401
65,"Avg",102.858033752559
75,"Avg",102.737291647317
85,"Avg",102.61177170709
95,"Avg",102.488341625634
105,"Avg",102.363780883444
115,"Avg",102.247129040198
125,"Avg",102.126621185097
135,"Avg",102.001220546904
145,"Avg",101.882189707619
155,"Avg",101.80471152627
165,"Avg",101.7417481965
175,"Avg",101.672764063896
185,"Avg",101.6045246807
195,"Avg",101.542452551304
-195,"Min",100.740048477059
-185,"Min",100.623640347575
-175,"Min",100.527620714922
-165,"Min",100.430866964595
-155,"Min",100.3468845269
-145,"Min",100.264658844267
-135,"Min",100.190507717644
-125,"Min",100.124459810291
-115,"Min",100.063856534926
-105,"Min",100.025044771582
-95,"Min",99.9862062947308
-85,"Min",99.9615254458728
-75,"Min",99.9288316126432
-65,"Min",99.9195006926129
-55,"Min",99.9606108571958
-45,"Min",100.009144007146
-35,"Min",100.05772788732
-25,"Min",100.108009859274
-15,"Min",100.148836056385
-5,"Min",100.152726096824
5,"Min",100.154903059711
15,"Min",100.152184489047
25,"Min",100.151230815768
35,"Min",100.153600914952
45,"Min",100.156962517117
55,"Min",99.9193605293833
65,"Min",99.6788843519103
75,"Min",99.4533199475695
85,"Min",99.2202738797818
95,"Min",98.9861603533261
105,"Min",98.7517998776741
115,"Min",98.5339291238872
125,"Min",98.2931483729621
135,"Min",98.0635786464646
145,"Min",97.852901253196
155,"Min",97.809342467929
165,"Min",97.8360704587208
175,"Min",97.8562992518266
185,"Min",97.8872645058764
195,"Min",97.9507223532383
