"position.disgap","Type","AvgLongitudinalSpeed"
-195,"Max",102.474824582597
-185,"Max",102.530083988154
-175,"Max",102.586210117769
-165,"Max",102.649882253015
-155,"Max",102.70792608745
-145,"Max",102.778531137014
-135,"Max",102.830155325326
-125,"Max",102.869644491324
-115,"Max",102.942538475616
-105,"Max",102.994227136874
-95,"Max",103.057447375786
-85,"Max",103.115340265533
-75,"Max",103.178391152884
-65,"Max",103.221859757482
-55,"Max",103.262453740159
-45,"Max",103.335264816302
-35,"Max",103.386438801323
-25,"Max",103.438945005484
-15,"Max",103.495354163681
-5,"Max",103.543987530878
5,"Max",103.59959491318
15,"Max",103.629530012865
25,"Max",103.672286112764
35,"Max",103.710530410008
45,"Max",103.750265302169
55,"Max",103.736394818341
65,"Max",103.690217917226
75,"Max",103.618925220263
85,"Max",103.576836237529
95,"Max",103.539976605133
105,"Max",103.50718143121
115,"Max",103.463634532936
125,"Max",103.428557492334
135,"Max",103.386200489278
145,"Max",103.348409730121
155,"Max",103.310562962103
165,"Max",103.272806440185
175,"Max",103.250279547108
185,"Max",103.225801522388
195,"Max",103.194810075214
-195,"P85",100.476590286132
-185,"P85",100.535986072534
-175,"P85",100.591956910847
-165,"P85",100.664474480719
-155,"P85",100.726407095279
-145,"P85",100.786579978205
-135,"P85",100.84453826019
-125,"P85",100.894373617833
-115,"P85",100.957504886645
-105,"P85",101.025915316059
-95,"P85",101.079168317485
-85,"P85",101.133088465049
-75,"P85",101.180515507492
-65,"P85",101.229375151098
-55,"P85",101.257581745275
-45,"P85",101.323546914012
-35,"P85",101.361478766548
-25,"P85",101.401879242425
-15,"P85",101.450164231515
-5,"P85",101.490525066987
5,"P85",101.531764382968
15,"P85",101.565339812223
25,"P85",101.601742340666
35,"P85",101.637659515703
45,"P85",101.670803136395
55,"P85",101.683194726936
65,"P85",101.671727589189
75,"P85",101.66641397946
85,"P85",101.657329575374
95,"P85",101.67055953208
105,"P85",101.66659349036
115,"P85",101.661428739362
125,"P85",101.676599779404
135,"P85",101.676895040654
145,"P85",101.67649001565
155,"P85",101.667165012574
165,"P85",101.678424284704
175,"P85",101.675863556891
185,"P85",101.655593584798
195,"P85",101.631922946298
-195,"Median",95.7468047619542
-185,"Median",95.7257367011497
-175,"Median",95.6723085701152
-165,"Median",95.6136500840641
-155,"Median",95.5587524019298
-145,"Median",95.6139464128582
-135,"Median",95.6772131921279
-125,"Median",95.7630494033877
-115,"Median",95.84059237737
-105,"Median",95.921260071672
-95,"Median",96.0086132931248
-85,"Median",96.0892063981821
-75,"Median",96.2400654325692
-65,"Median",96.4468737111816
-55,"Median",96.6582095758189
-45,"Median",96.8375499377971
-35,"Median",97.0118502997125
-25,"Median",97.1774029711779
-15,"Median",97.3117177657464
-5,"Median",97.4206935869905
5,"Median",97.5113646294995
15,"Median",97.5990453733781
25,"Median",97.6805727159651
35,"Median",97.7825236067403
45,"Median",97.8960638477815
55,"Median",97.9859977704502
65,"Median",98.072010708026
75,"Median",98.1791175898403
85,"Median",98.2711636893409
95,"Median",98.3637066387531
105,"Median",98.461429795045
115,"Median",98.5697716435155
125,"Median",98.6716956869904
135,"Median",98.7599623117371
145,"Median",98.842765607509
155,"Median",98.9451490009551
165,"Median",99.0320646748513
175,"Median",99.1226118539013
185,"Median",99.1988578678331
195,"Median",99.2844320429359
-195,"Avg",96.8235924466595
-185,"Avg",96.888968155826
-175,"Avg",96.9466848993234
-165,"Avg",97.0125561760272
-155,"Avg",97.0703537512062
-145,"Avg",97.1366308483589
-135,"Avg",97.1931081170061
-125,"Avg",97.2524884445097
-115,"Avg",97.3086110321011
-105,"Avg",97.3606752495917
-95,"Avg",97.4147830436363
-85,"Avg",97.4662403988489
-75,"Avg",97.5290504066647
-65,"Avg",97.6012190580429
-55,"Avg",97.6665386119523
-45,"Avg",97.7456156302405
-35,"Avg",97.8111706097913
-25,"Avg",97.8720814759021
-15,"Avg",97.9334553667117
-5,"Avg",97.9859692043935
5,"Avg",98.0300035731293
15,"Avg",98.0708709873493
25,"Avg",98.113737798562
35,"Avg",98.1608159686577
45,"Avg",98.2101622730428
55,"Avg",98.243510108703
65,"Avg",98.2655043857731
75,"Avg",98.2963399940968
85,"Avg",98.326950971151
95,"Avg",98.3591040107871
105,"Avg",98.3940813095217
115,"Avg",98.4244012206144
125,"Avg",98.4621598153008
135,"Avg",98.4907455452878
145,"Avg",98.5218565225738
155,"Avg",98.5491053858402
165,"Avg",98.584739293915
175,"Avg",98.6139043156834
185,"Avg",98.6420331276414
195,"Avg",98.6691927990179
-195,"Min",91.5722043183999
-185,"Min",91.7217398170421
-175,"Min",91.8681558095296
-165,"Min",92.0174201350999
-155,"Min",92.1684268364598
-145,"Min",92.3249050022278
-135,"Min",92.4930904780174
-125,"Min",92.6776109627708
-115,"Min",92.8400025025609
-105,"Min",92.9992557830838
-95,"Min",93.1665469076302
-85,"Min",93.3165323242344
-75,"Min",93.4789604172325
-65,"Min",93.6277877558457
-55,"Min",93.7860405964291
-45,"Min",93.9458002429193
-35,"Min",94.1117368434779
-25,"Min",94.2528515745317
-15,"Min",94.3559043284867
-5,"Min",94.2738188223777
5,"Min",94.1694581871061
15,"Min",94.0823236771258
25,"Min",93.9865316028819
35,"Min",93.9202757036847
45,"Min",93.8326638872809
55,"Min",93.7592974676808
65,"Min",93.6774078305485
75,"Min",93.6240676881447
85,"Min",93.5628850362779
95,"Min",93.500938188805
105,"Min",93.4576686849938
115,"Min",93.3912423737191
125,"Min",93.3419119315766
135,"Min",93.2833518858437
145,"Min",93.2274531608153
155,"Min",93.1789683687563
165,"Min",93.12251890261
175,"Min",93.0757752879529
185,"Min",93.0386447717965
195,"Min",93.000666125694
