"position.disgap","Type","BrakePedal"
-195,"Max",0
-185,"Max",0
-175,"Max",0
-165,"Max",0
-155,"Max",0
-145,"Max",0
-135,"Max",0
-125,"Max",0
-115,"Max",0.093
-105,"Max",0.267
-95,"Max",0.28
-85,"Max",0.36
-75,"Max",0.373
-65,"Max",0.36
-55,"Max",0.347
-45,"Max",0.307
-35,"Max",0.427
-25,"Max",0.453
-15,"Max",0.44
-5,"Max",0.48
5,"Max",0.48
15,"Max",0.32
25,"Max",0.44
35,"Max",0.467
45,"Max",0.453
55,"Max",0.453
65,"Max",0.387
75,"Max",0.36
85,"Max",0.093
95,"Max",0.16
105,"Max",0.253
115,"Max",0.293
125,"Max",0.307
135,"Max",0.187
145,"Max",0.24
155,"Max",0.053
165,"Max",0
175,"Max",0
185,"Max",0
195,"Max",0
-195,"P85",0
-185,"P85",0
-175,"P85",0
-165,"P85",0
-155,"P85",0
-145,"P85",0
-135,"P85",0
-125,"P85",0
-115,"P85",0.02325
-105,"P85",0.06675
-95,"P85",0.28
-85,"P85",0.32025
-75,"P85",0.343
-65,"P85",0.35025
-55,"P85",0.3065
-45,"P85",0.2665
-35,"P85",0.2965
-25,"P85",0.303
-15,"P85",0.32
-5,"P85",0.33975
5,"P85",0.35025
15,"P85",0.32
25,"P85",0.41
35,"P85",0.437
45,"P85",0.4335
55,"P85",0.363
65,"P85",0.177
75,"P85",0.09
85,"P85",0.02325
95,"P85",0.04
105,"P85",0.18325
115,"P85",0.19325
125,"P85",0.07675
135,"P85",0.04675
145,"P85",0.06
155,"P85",0.01325
165,"P85",0
175,"P85",0
185,"P85",0
195,"P85",0
-195,"Median",0
-185,"Median",0
-175,"Median",0
-165,"Median",0
-155,"Median",0
-145,"Median",0
-135,"Median",0
-125,"Median",0
-115,"Median",0
-105,"Median",0
-95,"Median",0
-85,"Median",0
-75,"Median",0
-65,"Median",0
-55,"Median",0.0065
-45,"Median",0
-35,"Median",0.0465
-25,"Median",0.0865
-15,"Median",0.1265
-5,"Median",0
5,"Median",0.1135
15,"Median",0.0935
25,"Median",0.1265
35,"Median",0.08
45,"Median",0
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0
165,"Median",0
175,"Median",0
185,"Median",0
195,"Median",0
-195,"Avg",0
-185,"Avg",0
-175,"Avg",0
-165,"Avg",0
-155,"Avg",0
-145,"Avg",0
-135,"Avg",0
-125,"Avg",0
-115,"Avg",0.0155
-105,"Avg",0.0445
-95,"Avg",0.0933333333333333
-85,"Avg",0.111166666666667
-75,"Avg",0.117666666666667
-65,"Avg",0.117833333333333
-55,"Avg",0.108833333333333
-45,"Avg",0.0933333333333333
-35,"Avg",0.128833333333333
-25,"Avg",0.1465
-15,"Avg",0.162166666666667
-5,"Avg",0.128833333333333
5,"Avg",0.169
15,"Avg",0.137833333333333
25,"Avg",0.182166666666667
35,"Avg",0.175666666666667
45,"Avg",0.146666666666667
55,"Avg",0.131
65,"Avg",0.0823333333333333
75,"Avg",0.06
85,"Avg",0.0155
95,"Avg",0.0266666666666667
105,"Avg",0.0688333333333333
115,"Avg",0.0755
125,"Avg",0.0511666666666667
135,"Avg",0.0311666666666667
145,"Avg",0.04
155,"Avg",0.00883333333333333
165,"Avg",0
175,"Avg",0
185,"Avg",0
195,"Avg",0
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
