"position.disgap","Type","BrakePedalRate"
-195,"Max",1.80000000000164
-185,"Max",2.67999999999025
-175,"Max",1.73333333333491
-165,"Max",0.700000000000637
-155,"Max",0.933333333334182
-145,"Max",1.14285714285447
-135,"Max",0.649999999999667
-125,"Max",0.699999999999642
-115,"Max",0
-105,"Max",1.35000000000123
-95,"Max",1.99999999999614
-85,"Max",0.12999999999997
-75,"Max",0
-65,"Max",0
-55,"Max",0.866666666665813
-45,"Max",3.35000000000305
-35,"Max",0.650000000000592
-25,"Max",1.91428571428746
-15,"Max",0
-5,"Max",0
5,"Max",0
15,"Max",0
25,"Max",0
35,"Max",0
45,"Max",0
55,"Max",0
65,"Max",0
75,"Max",0
85,"Max",0
95,"Max",0
105,"Max",0
115,"Max",0
125,"Max",0
135,"Max",0
145,"Max",0
155,"Max",0
165,"Max",0
175,"Max",0
185,"Max",0
195,"Max",0
-195,"P85",0.450000000000409
-185,"P85",0.669999999997563
-175,"P85",1.43333333333085
-165,"P85",0.525000000000478
-155,"P85",0.6233333333339
-145,"P85",0.610714285713605
-135,"P85",0.162499999999917
-125,"P85",0.174999999999911
-115,"P85",0
-105,"P85",0.337500000000307
-95,"P85",1.14999999999962
-85,"P85",0.0324999999999926
-75,"P85",0
-65,"P85",0
-55,"P85",0.704166666665511
-45,"P85",0.837500000000762
-35,"P85",0.162500000000148
-25,"P85",0.478571428571864
-15,"P85",0
-5,"P85",0
5,"P85",0
15,"P85",0
25,"P85",0
35,"P85",0
45,"P85",0
55,"P85",0
65,"P85",0
75,"P85",0
85,"P85",0
95,"P85",0
105,"P85",0
115,"P85",0
125,"P85",0
135,"P85",0
145,"P85",0
155,"P85",0
165,"P85",0
175,"P85",0
185,"P85",0
195,"P85",0
-195,"Median",0
-185,"Median",0
-175,"Median",0
-165,"Median",0
-155,"Median",0
-145,"Median",0
-135,"Median",0
-125,"Median",0
-115,"Median",0
-105,"Median",0
-95,"Median",0
-85,"Median",0
-75,"Median",0
-65,"Median",0
-55,"Median",0
-45,"Median",0
-35,"Median",0
-25,"Median",0
-15,"Median",0
-5,"Median",0
5,"Median",0
15,"Median",0
25,"Median",0
35,"Median",0
45,"Median",0
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0
165,"Median",0
175,"Median",0
185,"Median",0
195,"Median",0
-195,"Avg",0.300000000000273
-185,"Avg",0.446666666665042
-175,"Avg",0.511111111110734
-165,"Avg",0.194444444444621
-155,"Avg",0.242222222222442
-145,"Avg",0.262698412697964
-135,"Avg",0.108333333333278
-125,"Avg",0.116666666666607
-115,"Avg",0
-105,"Avg",0.225000000000205
-95,"Avg",0.477777777777265
-85,"Avg",0.0216666666666617
-75,"Avg",0
-65,"Avg",0
-55,"Avg",0.252777777777426
-45,"Avg",0.558333333333841
-35,"Avg",0.108333333333432
-25,"Avg",0.319047619047909
-15,"Avg",0
-5,"Avg",0
5,"Avg",0
15,"Avg",0
25,"Avg",0
35,"Avg",0
45,"Avg",0
55,"Avg",0
65,"Avg",0
75,"Avg",0
85,"Avg",0
95,"Avg",0
105,"Avg",0
115,"Avg",0
125,"Avg",0
135,"Avg",0
145,"Avg",0
155,"Avg",0
165,"Avg",0
175,"Avg",0
185,"Avg",0
195,"Avg",0
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
