"position.disgap","Type","Laneoffset"
-195,"Max",-0.440909090909091
-185,"Max",-0.470909090909091
-175,"Max",-0.462
-165,"Max",-0.322727272727273
-155,"Max",-0.233
-145,"Max",-0.145454545454545
-135,"Max",0.081
-125,"Max",0.356666666666667
-115,"Max",1.052
-105,"Max",0.974545454545455
-95,"Max",1.294
-85,"Max",1.65363636363636
-75,"Max",0.378181818181818
-65,"Max",0.443636363636364
-55,"Max",0.346428571428571
-45,"Max",0.719285714285714
-35,"Max",0.523571428571429
-25,"Max",0.988461538461539
-15,"Max",1.37090909090909
-5,"Max",-0.437777777777778
5,"Max",-0.211666666666667
15,"Max",-0.151
25,"Max",-0.175454545454545
35,"Max",-0.246666666666667
45,"Max",-0.315384615384615
55,"Max",-0.352307692307692
65,"Max",-0.376
75,"Max",-0.425
85,"Max",-0.496111111111111
95,"Max",-0.534117647058824
105,"Max",-0.562666666666667
115,"Max",-0.625882352941176
125,"Max",-0.698888888888889
135,"Max",-0.627222222222222
145,"Max",-0.474705882352941
155,"Max",-0.33
165,"Max",-0.165
175,"Max",-0.0366666666666667
185,"Max",0.0172222222222222
195,"Max",-0.00352941176470588
-195,"P85",-0.570852272727273
-185,"P85",-0.524227272727273
-175,"P85",-0.48675
-165,"P85",-0.446136363636364
-155,"P85",-0.327568181818182
-145,"P85",-0.186988636363636
-135,"P85",-0.15525
-125,"P85",0.287166666666667
-115,"P85",0.75575
-105,"P85",0.111136363636364
-95,"P85",0.343954545454545
-85,"P85",0.924772727272727
-75,"P85",0.108045454545455
-65,"P85",0.139659090909091
-55,"P85",-0.192938311688312
-45,"P85",0.266607142857143
-35,"P85",0.365438311688312
-25,"P85",0.86006993006993
-15,"P85",0.0379058441558441
-5,"P85",-0.81390873015873
5,"P85",-0.676206140350877
15,"P85",-0.545666666666667
25,"P85",-0.533337320574163
35,"P85",-0.549166666666667
45,"P85",-0.556762820512821
55,"P85",-0.57224358974359
65,"P85",-0.544441176470588
75,"P85",-0.502426470588235
85,"P85",-0.511884920634921
95,"P85",-0.556743697478992
105,"P85",-0.61525
115,"P85",-0.709387254901961
125,"P85",-0.757075163398693
135,"P85",-0.647068713450292
145,"P85",-0.474926470588235
155,"P85",-0.332727272727273
165,"P85",-0.179779411764706
175,"P85",-0.0470075757575758
185,"P85",-0.0154671717171717
195,"P85",-0.0508823529411765
-195,"Median",-0.7535
-185,"Median",-0.675643939393939
-175,"Median",-0.621363636363636
-165,"Median",-0.529363636363636
-155,"Median",-0.498636363636364
-145,"Median",-0.492545454545455
-135,"Median",-0.387727272727273
-125,"Median",-0.37775
-115,"Median",-0.3695
-105,"Median",-0.325909090909091
-95,"Median",-0.361727272727273
-85,"Median",-0.0785984848484848
-75,"Median",-0.256666666666667
-65,"Median",-0.213636363636364
-55,"Median",-0.427867132867133
-45,"Median",-0.418636363636364
-35,"Median",-0.741969696969697
-25,"Median",-0.762538461538461
-15,"Median",-0.755833333333333
-5,"Median",-0.988303167420814
5,"Median",-0.898611111111111
15,"Median",-0.815187969924812
25,"Median",-0.820897435897436
35,"Median",-0.826538461538461
45,"Median",-0.813777777777778
55,"Median",-0.767678018575851
65,"Median",-0.718235294117647
75,"Median",-0.702611111111111
85,"Median",-0.657333333333333
95,"Median",-0.672088815789474
105,"Median",-0.7490625
115,"Median",-0.795294117647059
125,"Median",-0.811527777777778
135,"Median",-0.752647058823529
145,"Median",-0.63
155,"Median",-0.531666666666667
165,"Median",-0.401501547987616
175,"Median",-0.288349673202614
185,"Median",-0.217222222222222
195,"Median",-0.172105263157895
-195,"Avg",-0.843633838383838
-185,"Avg",-0.768911616161616
-175,"Avg",-0.708106060606061
-165,"Avg",-0.657787878787879
-155,"Avg",-0.603681818181818
-145,"Avg",-0.524729797979798
-135,"Avg",-0.406560606060606
-125,"Avg",-0.244108585858586
-115,"Avg",-0.0381818181818182
-105,"Avg",-0.168080808080808
-95,"Avg",-0.0682575757575758
-85,"Avg",0.231830808080808
-75,"Avg",-0.355712121212121
-65,"Avg",-0.366973581973582
-55,"Avg",-0.354172161172161
-45,"Avg",-0.23354797979798
-35,"Avg",-0.38108152958153
-25,"Avg",-0.267398612825083
-15,"Avg",-0.417308802308802
-5,"Avg",-1.02463761184349
5,"Avg",-0.847748189919243
15,"Avg",-0.728056403635351
25,"Avg",-0.713473221588353
35,"Avg",-0.724537096890038
45,"Avg",-0.728955636955637
55,"Avg",-0.708105991946936
65,"Avg",-0.681543638508035
75,"Avg",-0.674542172424525
85,"Avg",-0.688735564757304
95,"Avg",-0.721027737849526
105,"Avg",-0.766827400404606
115,"Avg",-0.818591658885777
125,"Avg",-0.852836715972939
135,"Avg",-0.77881863005702
145,"Avg",-0.646948334889511
155,"Avg",-0.53537037037037
165,"Avg",-0.442247653447344
175,"Avg",-0.366655278272925
185,"Avg",-0.3247113997114
195,"Avg",-0.305558995528036
-195,"Min",-1.47272727272727
-185,"Min",-1.352
-175,"Min",-1.28090909090909
-165,"Min",-1.252
-155,"Min",-1.22272727272727
-145,"Min",-1.157
-135,"Min",-1.03272727272727
-125,"Min",-0.878
-115,"Min",-0.728181818181818
-105,"Min",-0.583636363636364
-95,"Min",-0.526363636363636
-85,"Min",-0.407272727272727
-75,"Min",-1.62166666666667
-65,"Min",-1.165
-55,"Min",-0.69
-45,"Min",-0.738181818181818
-35,"Min",-0.830666666666667
-25,"Min",-0.985882352941176
-15,"Min",-0.99
