"position.disgap","Type","Laneoffset"
-195,"Max",-0.491153846153846
-185,"Max",-0.277407407407407
-175,"Max",-0.2045
-165,"Max",-0.370357142857143
-155,"Max",-0.404814814814815
-145,"Max",-0.30875
-135,"Max",-0.241153846153846
-125,"Max",-0.181153846153846
-115,"Max",-0.111538461538462
-105,"Max",-0.0319230769230769
-95,"Max",0.0462962962962963
-85,"Max",0.0428
-75,"Max",-0.0181481481481481
-65,"Max",1.81
-55,"Max",-0.408148148148148
-45,"Max",-0.286551724137931
-35,"Max",-0.005
-25,"Max",0.222
-15,"Max",0.295
-5,"Max",0.08
5,"Max",1.25866666666667
15,"Max",0.779285714285714
25,"Max",0.758421052631579
35,"Max",1.0775
45,"Max",0.75
55,"Max",0.886
65,"Max",0.561333333333333
75,"Max",0.248709677419355
85,"Max",0.0172413793103448
95,"Max",0.909642857142857
105,"Max",0.242
115,"Max",-0.268888888888889
125,"Max",1.376
135,"Max",1.39875
145,"Max",1.06666666666667
155,"Max",1.5735
165,"Max",1.62636363636364
175,"Max",1.4653125
185,"Max",1.06857142857143
195,"Max",0.82
-195,"P85",-0.601906108597285
-185,"P85",-0.502587145969499
-175,"P85",-0.4383125
-165,"P85",-0.442276785714286
-155,"P85",-0.419361598440546
-145,"P85",-0.378125
-135,"P85",-0.357431318681319
-125,"P85",-0.304871794871795
-115,"P85",-0.222134615384615
-105,"P85",-0.173375506072874
-95,"P85",-0.156050925925926
-85,"P85",-0.18055
-75,"P85",-0.184537037037037
-65,"P85",0.362211538461538
-55,"P85",-0.434623243933589
-45,"P85",-0.292352216748768
-35,"P85",-0.0797115384615385
-25,"P85",0.0363552631578947
-15,"P85",0.0351785714285714
-5,"P85",-0.0896153846153846
5,"P85",0.659944444444444
15,"P85",0.733988095238095
25,"P85",0.591926691729323
35,"P85",0.550875
45,"P85",0.55125
55,"P85",0.453318181818182
65,"P85",0.342083333333333
75,"P85",0.149677419354839
85,"P85",-0.000770300333704116
95,"P85",0.0026450892857143
105,"P85",-0.359016129032258
115,"P85",-0.588204365079365
125,"P85",1.37042857142857
135,"P85",1.2274875
145,"P85",0.837916666666667
155,"P85",0.983875
165,"P85",1.21877840909091
175,"P85",1.38985753676471
185,"P85",0.916142857142857
195,"P85",0.598
