"position.disgap","Type","Laneoffset"
-195,"Max",-0.308095238095238
-185,"Max",-0.369545454545455
-175,"Max",-0.420909090909091
-165,"Max",1.30272727272727
-155,"Max",1.72521739130435
-145,"Max",1.67285714285714
-135,"Max",1.66739130434783
-125,"Max",1.69090909090909
-115,"Max",1.72181818181818
-105,"Max",1.76454545454545
-95,"Max",1.48772727272727
-85,"Max",-0.357272727272727
-75,"Max",-0.287826086956522
-65,"Max",-0.234545454545455
-55,"Max",-0.196363636363636
-45,"Max",-0.165909090909091
-35,"Max",-0.144
-25,"Max",-0.140434782608696
-15,"Max",-0.0752380952380952
-5,"Max",-0.00857142857142857
5,"Max",0.0380952380952381
15,"Max",0.0590909090909091
25,"Max",0.0533333333333333
35,"Max",0.0265
45,"Max",-0.0104545454545455
55,"Max",-0.0480952380952381
65,"Max",-0.0823809523809524
75,"Max",-0.117619047619048
85,"Max",-0.151904761904762
95,"Max",-0.186190476190476
105,"Max",-0.217142857142857
115,"Max",-0.24952380952381
125,"Max",-0.28047619047619
135,"Max",-0.309047619047619
145,"Max",-0.269090909090909
155,"Max",-0.197727272727273
165,"Max",-0.145
175,"Max",-0.123636363636364
185,"Max",-0.139047619047619
195,"Max",-0.189
-195,"P85",-0.575585921325052
-185,"P85",-0.598339920948616
-175,"P85",-0.557272727272727
-165,"P85",0.246519480519481
-155,"P85",0.404658385093169
-145,"P85",0.381415584415585
-135,"P85",0.390956521739131
-125,"P85",0.416454545454546
-115,"P85",0.436727272727273
-105,"P85",0.453818181818183
-95,"P85",0.341662337662338
-85,"P85",-0.395194805194805
-75,"P85",-0.363312252964427
-65,"P85",-0.33038961038961
-55,"P85",-0.296831168831169
-45,"P85",-0.254
-35,"P85",-0.204171428571429
-25,"P85",-0.151888198757764
-15,"P85",-0.125834368530021
-5,"P85",-0.125142857142857
5,"P85",-0.140489177489177
15,"P85",-0.166727272727273
25,"P85",-0.197121212121212
35,"P85",-0.228828571428571
45,"P85",-0.257272727272727
55,"P85",-0.284056277056277
65,"P85",-0.310861471861472
75,"P85",-0.333333333333333
85,"P85",-0.345761904761905
95,"P85",-0.348190476190476
105,"P85",-0.346493506493506
115,"P85",-0.339809523809524
125,"P85",-0.328190476190476
135,"P85",-0.313904761904762
145,"P85",-0.273350649350649
155,"P85",-0.217090909090909
165,"P85",-0.185826086956522
175,"P85",-0.181168831168831
185,"P85",-0.199904761904762
195,"P85",-0.236509090909091
-195,"Median",-0.810952380952381
-185,"Median",-0.765909090909091
-175,"Median",-0.769545454545455
-165,"Median",-0.551818181818182
-155,"Median",-0.491818181818182
-145,"Median",-0.484545454545455
-135,"Median",-0.5185
-125,"Median",-0.59304347826087
-115,"Median",-0.548636363636364
-105,"Median",-0.492173913043478
-95,"Median",-0.427142857142857
-85,"Median",-0.91952380952381
-75,"Median",-0.82952380952381
-65,"Median",-0.758695652173913
-55,"Median",-0.712727272727273
-45,"Median",-0.693809523809524
-35,"Median",-0.696
-25,"Median",-0.715652173913043
-15,"Median",-0.748571428571429
-5,"Median",-0.790454545454546
5,"Median",-0.835
15,"Median",-0.870476190476191
25,"Median",-0.820454545454545
35,"Median",-0.763809523809524
45,"Median",-0.717142857142857
55,"Median",-0.672173913043478
65,"Median",-0.632857142857143
75,"Median",-0.601304347826087
85,"Median",-0.576190476190476
95,"Median",-0.556818181818182
105,"Median",-0.542857142857143
115,"Median",-0.535714285714286
125,"Median",-0.499047619047619
135,"Median",-0.376666666666667
145,"Median",-0.337142857142857
155,"Median",-0.365714285714286
165,"Median",-0.390454545454545
175,"Median",-0.416666666666667
185,"Median",-0.441904761904762
195,"Median",-0.464285714285714
-195,"Avg",-0.950149068322981
-185,"Avg",-0.963727272727273
-175,"Avg",-0.964181818181818
-165,"Avg",-0.321523809523809
-155,"Avg",-0.218016374929418
