"position.disgap","Type","Laneoffset"
-195,"Max",0.24047619047619
-185,"Max",0.334285714285714
-175,"Max",0.428181818181818
-165,"Max",0.482380952380952
-155,"Max",0.483636363636364
-145,"Max",0.441428571428571
-135,"Max",0.362272727272727
-125,"Max",0.300952380952381
-115,"Max",0.245714285714286
-105,"Max",0.213333333333333
-95,"Max",0.220952380952381
-85,"Max",0.22
-75,"Max",0.208571428571429
-65,"Max",0.181428571428571
-55,"Max",0.148571428571429
-45,"Max",0.11952380952381
-35,"Max",0.101904761904762
-25,"Max",0.0919047619047619
-15,"Max",0.0847619047619048
-5,"Max",0.0804761904761905
5,"Max",0.0886363636363636
15,"Max",0.0895454545454545
25,"Max",0.0825
35,"Max",0.0736363636363636
45,"Max",0.152380952380952
55,"Max",0.205
65,"Max",0.212857142857143
75,"Max",0.171428571428571
85,"Max",0.0854545454545454
95,"Max",-0.0466666666666667
105,"Max",-0.06
115,"Max",-0.0528571428571429
125,"Max",-0.0372727272727273
135,"Max",-0.0286363636363636
145,"Max",-0.0236363636363636
155,"Max",-0.0252173913043478
165,"Max",-0.03
175,"Max",-0.0442857142857143
185,"Max",-0.0545454545454545
195,"Max",-0.0681818181818182
-195,"P85",0.0781904761904763
-185,"P85",0.145714285714286
-175,"P85",0.222272727272727
-165,"P85",0.287752380952381
-155,"P85",0.333168831168831
-145,"P85",0.351116883116883
-135,"P85",0.334382775119617
-125,"P85",0.268666666666667
-115,"P85",0.215285714285714
-105,"P85",0.175060606060606
-95,"P85",0.0972230576441104
-85,"P85",0.00490000000000013
-75,"P85",-0.0988571428571427
-65,"P85",-0.197714285714286
-55,"P85",-0.203971428571428
-45,"P85",-0.210190476190476
-35,"P85",-0.219809523809524
-25,"P85",-0.225601731601731
-15,"P85",-0.214666666666666
-5,"P85",-0.190095238095238
5,"P85",-0.143727272727273
15,"P85",-0.0809090909090908
25,"P85",-0.0124285714285714
35,"P85",0.0608181818181818
45,"P85",0.0938095238095238
55,"P85",0.1
65,"P85",0.0845714285714286
75,"P85",0.0522857142857144
85,"P85",0.00554545454545459
95,"P85",-0.0546666666666667
105,"P85",-0.153272727272727
115,"P85",-0.229142857142857
125,"P85",-0.187545454545454
135,"P85",-0.162597402597403
145,"P85",-0.112272727272727
155,"P85",-0.0640869565217391
165,"P85",-0.0482727272727273
175,"P85",-0.0634285714285714
185,"P85",-0.099
195,"P85",-0.144415584415584
-195,"Median",-0.385
-185,"Median",-0.259
-175,"Median",-0.111
-165,"Median",0.0119047619047619
-155,"Median",0.091
-145,"Median",0.125238095238095
-135,"Median",0.145
-125,"Median",0.168947368421053
-115,"Median",0.105454545454545
-105,"Median",-0.0438095238095238
-95,"Median",-0.195909090909091
-85,"Median",-0.329523809523809
-75,"Median",-0.434090909090909
-65,"Median",-0.456190476190476
-55,"Median",-0.495
-45,"Median",-0.47047619047619
-35,"Median",-0.451818181818182
-25,"Median",-0.450526315789474
-15,"Median",-0.482
-5,"Median",-0.539047619047619
5,"Median",-0.505
15,"Median",-0.354761904761905
25,"Median",-0.241904761904762
35,"Median",-0.188636363636364
45,"Median",-0.182
55,"Median",-0.211
65,"Median",-0.266190476190476
75,"Median",-0.345238095238095
85,"Median",-0.415238095238095
95,"Median",-0.446818181818182
105,"Median",-0.42047619047619
115,"Median",-0.355
125,"Median",-0.369090909090909
