"position.disgap","Type","Laneoffset"
-195,"Max",0.0271428571428571
-185,"Max",0.0685714285714286
-175,"Max",0.103333333333333
-165,"Max",0.131428571428571
-155,"Max",0.152380952380952
-145,"Max",0.156666666666667
-135,"Max",0.137727272727273
-125,"Max",0.1035
-115,"Max",0.0590909090909091
-105,"Max",0.006
-95,"Max",-0.0580952380952381
-85,"Max",-0.133809523809524
-75,"Max",-0.225238095238095
-65,"Max",-0.333809523809524
-55,"Max",-0.458095238095238
-45,"Max",-0.400869565217391
-35,"Max",-0.348260869565217
-25,"Max",-0.30695652173913
-15,"Max",-0.273913043478261
-5,"Max",-0.26
5,"Max",-0.221363636363636
15,"Max",-0.163913043478261
25,"Max",-0.0273913043478261
35,"Max",0.091304347826087
45,"Max",0.177391304347826
55,"Max",0.21
65,"Max",0.191304347826087
75,"Max",0.138181818181818
85,"Max",0.0708333333333333
95,"Max",0.00652173913043478
105,"Max",-0.0534782608695652
115,"Max",-0.09375
125,"Max",-0.11
135,"Max",-0.142727272727273
145,"Max",-0.192272727272727
155,"Max",-0.246363636363636
165,"Max",-0.288571428571429
175,"Max",-0.306086956521739
185,"Max",-0.324583333333333
195,"Max",-0.348260869565217
-195,"P85",-0.358688311688311
-185,"P85",-0.348321428571428
-175,"P85",-0.34031884057971
-165,"P85",-0.330928571428571
-155,"P85",-0.317047619047619
-145,"P85",-0.310969696969697
-135,"P85",-0.316409090909091
-125,"P85",-0.326165217391304
-115,"P85",-0.347613636363636
-105,"P85",-0.364121739130435
-95,"P85",-0.383238095238095
-85,"P85",-0.400741200828157
-75,"P85",-0.420345238095238
-65,"P85",-0.442251082251082
-55,"P85",-0.461064182194617
-45,"P85",-0.513204968944099
-35,"P85",-0.548347826086956
-25,"P85",-0.477873517786561
-15,"P85",-0.412065217391304
-5,"P85",-0.359
5,"P85",-0.276371541501976
15,"P85",-0.172782608695652
25,"P85",-0.122086956521739
35,"P85",-0.0889565217391303
45,"P85",-0.0677934782608694
55,"P85",-0.0725714285714284
65,"P85",-0.0879328063241105
75,"P85",-0.0715454545454544
85,"P85",-0.0665238095238095
95,"P85",-0.069391304347826
105,"P85",-0.0800276679841897
115,"P85",-0.100630434782609
