"position.disgap","Type","LateralAccRate"
-195,"Max",125.760799722123
-185,"Max",295.464867383644
-175,"Max",276.295098761098
-165,"Max",297.601788572285
-155,"Max",602.081780500593
-145,"Max",509.846936769045
-135,"Max",1049.46892180518
-125,"Max",451.873572782786
-115,"Max",1117.30308981416
-105,"Max",316.494761495816
-95,"Max",696.704518034599
-85,"Max",476.335053472118
-75,"Max",1022.71330329319
-65,"Max",2104.76408205097
-55,"Max",2473.98558851689
-45,"Max",513.215702987385
-35,"Max",2844.62343797611
-25,"Max",2063.82688319276
-15,"Max",883.529142159811
-5,"Max",1059.61467315345
5,"Max",5380.97950448946
15,"Max",882.791886977229
25,"Max",280.872952607664
35,"Max",756.217921102438
45,"Max",282.54948824679
55,"Max",291.008872433544
65,"Max",272.179497820933
75,"Max",123.393620324409
85,"Max",555.773666099953
95,"Max",165.731519855772
105,"Max",183.322737121348
115,"Max",209.777965842832
125,"Max",445.480834867451
135,"Max",214.620043450951
145,"Max",558.406416084934
155,"Max",157.540900816783
165,"Max",867.199235449501
175,"Max",288.999980072198
185,"Max",254.902496829525
195,"Max",201.501328705758
-195,"P85",100.029990088576
-185,"P85",113.403604410494
-175,"P85",205.670907249192
-165,"P85",237.129109113365
-155,"P85",315.996334145118
-145,"P85",317.020493047405
-135,"P85",437.88409397634
-125,"P85",438.382624570729
-115,"P85",920.231828531939
-105,"P85",286.592821915375
-95,"P85",455.700603260112
-85,"P85",457.820710131231
-75,"P85",852.216136091396
-65,"P85",1461.18004386375
-55,"P85",2473.53444041594
-45,"P85",393.334790097354
-35,"P85",2350.30084542018
-25,"P85",743.189867709323
-15,"P85",845.383818910215
-5,"P85",558.113672086024
5,"P85",1865.90421227351
15,"P85",636.563749621729
25,"P85",219.985453685438
35,"P85",372.656960737289
45,"P85",246.743698095564
55,"P85",178.255198655444
65,"P85",269.30649282978
75,"P85",116.023833751597
85,"P85",272.32012870748
95,"P85",107.934333749139
105,"P85",179.74077406119
115,"P85",184.689237928273
125,"P85",383.189214683838
135,"P85",169.806062154407
145,"P85",222.638944638785
155,"P85",129.442390076449
165,"P85",369.253396773154
175,"P85",166.901450767273
185,"P85",163.446027849328
195,"P85",148.644536144763
-195,"Median",43.1177607638839
-185,"Median",34.4638469659444
-175,"Median",32.3038214067378
-165,"Median",136.310828778835
-155,"Median",142.880727263954
-145,"Median",203.512508022979
-135,"Median",146.353737033741
-125,"Median",214.857701832378
-115,"Median",244.294451727549
-105,"Median",269.220228255859
-95,"Median",186.323534057953
-85,"Median",351.481279988231
-75,"Median",506.209986904442
-65,"Median",263.464504360139
-55,"Median",526.490584137871
-45,"Median",250.977753143877
-35,"Median",660.238962101718
-25,"Median",221.441382139597
-15,"Median",336.705626482069
-5,"Median",140.258003711364
5,"Median",323.422159703958
15,"Median",155.963321703976
25,"Median",169.681262424555
35,"Median",204.435050403053
45,"Median",140.126126458127
55,"Median",113.120826367205
65,"Median",163.35037722209
75,"Median",99.0782763348058
85,"Median",139.004469163678
95,"Median",78.2178068258176
105,"Median",144.331253433235
115,"Median",76.8236697886162
125,"Median",159.435500876589
135,"Median",102.844161220999
145,"Median",101.881582318253
155,"Median",103.828399482003
165,"Median",124.814379126064
175,"Median",99.0118003933922
185,"Median",125.976101574094
195,"Median",114.276581729196
-195,"Avg",61.1482615849579
-185,"Avg",79.2610566330518
-175,"Avg",96.2899928524659
-165,"Avg",156.519104734729
-155,"Avg",195.675391142217
-145,"Avg",222.484021299516
-135,"Avg",272.3660977369
-125,"Avg",230.665514148165
-115,"Avg",445.049741572027
-105,"Avg",210.095770918021
-95,"Avg",256.232396841824
-85,"Avg",341.960693651936
-75,"Avg",542.50436541616
-65,"Avg",695.613796537209
-55,"Avg",1041.7780844033
-45,"Avg",270.600717488123
-35,"Avg",1168.66282041108
-25,"Avg",514.108006283444
-15,"Avg",434.010114063151
-5,"Avg",320.467926988513
5,"Avg",1179.32788381635
15,"Avg",317.621657901287
25,"Avg",174.761816168809
35,"Avg",269.984247821197
45,"Avg",170.124473727198
55,"Avg",136.696488484196
65,"Avg",177.812509354275
75,"Avg",98.7342675725316
85,"Avg",197.709252688726
95,"Avg",85.8165247708845
105,"Avg",143.673579216574
115,"Avg",107.044865982122
125,"Avg",218.809408695343
135,"Avg",95.9681902663488
145,"Avg",165.316835020268
155,"Avg",93.9722327449218
165,"Avg",243.661869004025
175,"Avg",116.948906338176
185,"Avg",128.187618637691
195,"Avg",117.618176357937
-195,"Min",31.3183053213378
