"position.disgap","Type","LateralAccRate"
-195,"Max",334.382955323479
-185,"Max",140.446622940215
-175,"Max",207.616525707992
-165,"Max",662.354455912111
-155,"Max",1287.20235454723
-145,"Max",196.946169930268
-135,"Max",253.12979670858
-125,"Max",1603.43610471652
-115,"Max",134.219628812267
-105,"Max",311.5978184876
-95,"Max",1265.83949251567
-85,"Max",2094.19265830531
-75,"Max",316.140163433762
-65,"Max",288.594943273341
-55,"Max",323.087197342157
-45,"Max",888.699055807832
-35,"Max",190.400223833712
-25,"Max",260.784844992663
-15,"Max",260.209605911649
-5,"Max",284.236074110836
5,"Max",852.677584401543
15,"Max",1361.17547598141
25,"Max",496.76231901795
35,"Max",1914.61936886682
45,"Max",520.747705360124
55,"Max",867.115561014936
65,"Max",322.735994660276
75,"Max",170.569884738513
85,"Max",195.534679123781
95,"Max",356.677218916932
105,"Max",221.314326316102
115,"Max",320.491322097592
125,"Max",238.305927261073
135,"Max",2258.57083990039
145,"Max",207.634121145505
155,"Max",251.255244387922
165,"Max",521.723127570079
175,"Max",376.288027105157
185,"Max",354.721121433373
195,"Max",299.509038150116
-195,"P85",221.293530845795
-185,"P85",67.5955431854191
-175,"P85",166.167841857635
-165,"P85",343.138909356076
-155,"P85",490.978781403014
-145,"P85",153.960054358978
-135,"P85",246.443734554488
-125,"P85",560.798952775463
-115,"P85",131.308249041041
-105,"P85",274.22477361151
-95,"P85",501.520186420112
-85,"P85",655.610380965007
-75,"P85",194.679088139513
-65,"P85",271.674751169204
-55,"P85",286.904062719736
-45,"P85",408.575574994124
-35,"P85",175.500003645752
-25,"P85",217.01271253135
-15,"P85",227.365753787497
-5,"P85",211.934651836709
5,"P85",585.71989465459
15,"P85",1271.07234960788
25,"P85",492.072112394029
35,"P85",1000.02848180284
45,"P85",296.727817622977
55,"P85",449.233532236826
65,"P85",193.481388308213
75,"P85",79.1354661768341
85,"P85",87.8870182008206
95,"P85",334.083727309158
105,"P85",96.2018229320857
115,"P85",318.081182893354
125,"P85",221.447223005834
135,"P85",839.958866422443
