"position.disgap","Type","LateralAccRate"
-195,"Max",1435.51308166445
-185,"Max",1110.29962216289
-175,"Max",1336.20368177895
-165,"Max",1433.3914263669
-155,"Max",1664.88603351628
-145,"Max",1482.05757227756
-135,"Max",1464.44367653764
-125,"Max",1481.11983530321
-115,"Max",1329.5858688404
-105,"Max",4079.67062632894
-95,"Max",3417.75389812844
-85,"Max",1726.64581111267
-75,"Max",1482.37735140784
-65,"Max",1469.0752965052
-55,"Max",2203.86362052298
-45,"Max",1492.12248128092
-35,"Max",2223.43954015981
-25,"Max",1376.79996417945
-15,"Max",2052.05892738184
-5,"Max",260.842164593211
5,"Max",238.37812290439
15,"Max",285.9276688479
25,"Max",252.768428454147
35,"Max",105.720302120962
45,"Max",368.024932967658
55,"Max",284.893125524044
65,"Max",284.661178504924
75,"Max",331.56630332255
85,"Max",307.718833373238
95,"Max",79.61507126764
105,"Max",274.639333154992
115,"Max",241.053512245996
125,"Max",1098.78442466274
135,"Max",128.956566830369
145,"Max",238.688161576063
155,"Max",483.334027958987
165,"Max",252.75625084332
175,"Max",277.93012313871
185,"Max",238.225819833213
195,"Max",225.648527630651
-195,"P85",1351.31636688374
-185,"P85",699.111884841873
-175,"P85",1303.05949295809
-165,"P85",1363.70422118451
-155,"P85",1332.49287875253
-145,"P85",1258.6281725461
-135,"P85",1384.30297446517
-125,"P85",1334.11471592433
-115,"P85",1189.60868757622
-105,"P85",2344.07754406965
-95,"P85",2433.43741815187
-85,"P85",1468.63226434233
-75,"P85",1281.74332244042
-65,"P85",1385.377319839
-55,"P85",1582.25897097397
-45,"P85",1359.65979431714
-35,"P85",1771.32527415778
-25,"P85",1346.51050962576
-15,"P85",1527.20776401385
-5,"P85",145.702398266665
5,"P85",221.482523544196
15,"P85",280.065593256344
25,"P85",248.162840249915
35,"P85",60.9029207956312
45,"P85",317.942459607688
55,"P85",165.651105718519
65,"P85",245.917380736054
75,"P85",303.423228431974
85,"P85",293.876787213177
95,"P85",53.951064047699
105,"P85",180.439190569506
115,"P85",126.838383849253
125,"P85",597.04211349198
135,"P85",70.1537882749177
145,"P85",230.861402292131
155,"P85",247.894470025249
165,"P85",142.150381257141
175,"P85",152.619623925235
185,"P85",136.728358403949
195,"P85",204.083622824548
-195,"Median",871.600698917277
-185,"Median",371.210283207344
-175,"Median",377.299198848805
-165,"Median",1131.41559554679
-155,"Median",160.099526703635
-145,"Median",213.518969707788
-135,"Median",1110.62173303455
-125,"Median",1108.31076207859
-115,"Median",375.369073642219
-105,"Median",1111.49308663529
-95,"Median",1717.33670195778
-85,"Median",1185.17563471873
-75,"Median",262.663055712947
-65,"Median",1158.00839962992
-55,"Median",1111.77122245104
-45,"Median",1181.46606868565
-35,"Median",1322.60787717801
-25,"Median",1117.97583356531
-15,"Median",1152.21819374823
-5,"Median",36.7017004905129
5,"Median",91.7660816340381
15,"Median",55.8548311137019
25,"Median",157.459537953848
35,"Median",30.8597606692787
45,"Median",32.3517432372302
55,"Median",30.5212491616747
65,"Median",69.7338337997607
75,"Median",61.43541804571
85,"Median",276.41161497988
95,"Median",32.3195617048043
105,"Median",74.3236403635277
115,"Median",32.1889730446454
125,"Median",219.160447034148
135,"Median",30.7677685224389
145,"Median",91.1399748380327
155,"Median",82.7221399021255
165,"Median",64.2599300139888
175,"Median",48.2182243838202
185,"Median",60.4562743131191
195,"Median",161.667700821544
-195,"Avg",813.366084765075
-185,"Avg",458.867960054087
-175,"Avg",669.851908617275
-165,"Avg",1031.16690391354
-155,"Avg",632.14314712534
-145,"Avg",599.743332057572
-135,"Avg",873.603004387076
-125,"Avg",837.63297217874
-115,"Avg",652.212596446459
-105,"Avg",1374.80965294639
-95,"Avg",1648.40947668708
-85,"Avg",1107.1275912088
-75,"Avg",646.801146094368
-65,"Avg",1009.35334361347
-55,"Avg",997.767220753213
-45,"Avg",1232.00334223754
-35,"Avg",1283.75947383139
-25,"Avg",1206.01572258727
-15,"Avg",931.892195883663
-5,"Avg",85.7017004614739
5,"Avg",128.470632929623
15,"Avg",138.56967216938
25,"Avg",174.405533949116
35,"Avg",45.7826408432605
45,"Avg",146.749518509572
55,"Avg",91.1944499184171
65,"Avg",125.409481348212
75,"Avg",145.712399351991
85,"Avg",183.806264362678
95,"Avg",40.3613451290195
105,"Avg",105.026179334146
115,"Avg",75.305398825928
125,"Avg",330.692481286527
135,"Avg",48.686147875094
145,"Avg",123.592622008119
155,"Avg",143.643916334051
165,"Avg",97.5516649347089
175,"Avg",93.6564724333055
185,"Avg",85.2698219987089
195,"Avg",162.87462744091
-195,"Min",220.483009414667
-185,"Min",122.253670310435
-175,"Min",132.724941322245
-165,"Min",161.903838190273
-155,"Min",99.2067417787559
-145,"Min",94.1118384752528
-135,"Min",211.372971117237
-125,"Min",164.455914903952
-115,"Min",222.237011663864
-105,"Min",245.860542063545
-95,"Min",224.116881071973
-85,"Min",224.598208624917
-75,"Min",122.722794056019
-65,"Min",214.672358045
-55,"Min",229.893771422919
-45,"Min",1103.17524059501
-35,"Min",223.679492235431
-25,"Min",1096.91559584706
-15,"Min",31.0116264133279
-5,"Min",30.9913386809736
5,"Min",44.9315426757175
15,"Min",30.5574894986177
25,"Min",61.9185378259435
35,"Min",30.5444036840999
45,"Min",22.5913862955644
55,"Min",26.5899781461482
65,"Min",26.121629182522
75,"Min",20.5871893508319
85,"Min",22.5459173887247
95,"Min",22.6501073258768
105,"Min",26.2265197304652
115,"Min",26.2178180095309
125,"Min",30.385316330983
135,"Min",22.307005963084
145,"Min",30.9246824077024
155,"Min",30.2815789037408
165,"Min",46.0694952414375
175,"Min",30.8878449009999
185,"Min",26.5117409117435
195,"Min",109.546504883519
