"position.disgap","Type","LateralAccRate"
-195,"Max",3166.58943321117
-185,"Max",1546.68341176797
-175,"Max",2318.83902797456
-165,"Max",2316.99472055081
-155,"Max",1261.1891457503
-145,"Max",1736.21873861506
-135,"Max",2673.29348807203
-125,"Max",1157.09787949181
-115,"Max",1167.75944662938
-105,"Max",4419.18851327764
-95,"Max",3266.83075729048
-85,"Max",17932.6736309472
-75,"Max",2627.52678729533
-65,"Max",8763.40807268213
-55,"Max",2389.48317630391
-45,"Max",3585.91601216214
-35,"Max",1481.803637148
-25,"Max",3338.47836028705
-15,"Max",2260.64205154074
-5,"Max",1447.49574405688
5,"Max",2782.72963032979
15,"Max",1852.4933229226
25,"Max",3561.01415628822
35,"Max",2993.33495100977
45,"Max",2068.81397583637
55,"Max",1698.0125844833
65,"Max",2514.72499963257
75,"Max",2975.88010163418
85,"Max",2614.32995609878
95,"Max",2543.41405377288
105,"Max",2375.57953737743
115,"Max",3338.05801386278
125,"Max",3002.01631247177
135,"Max",7296.13367933365
145,"Max",2685.8747880283
155,"Max",1115.2562163895
165,"Max",2301.17672020879
175,"Max",2529.61344993498
185,"Max",2297.75816526307
195,"Max",5837.31203685482
-195,"P85",2062.34416648699
-185,"P85",1004.46294279476
-175,"P85",1597.6449083533
-165,"P85",1526.66030021329
-155,"P85",1173.40448243307
-145,"P85",1643.64292321675
-135,"P85",2116.80436043756
-125,"P85",1081.15667236261
-115,"P85",814.400015630569
-105,"P85",3155.78356140778
-95,"P85",2977.20618770703
-85,"P85",9442.00427881547
-75,"P85",2196.61023151677
-65,"P85",4415.64571097637
-55,"P85",1844.3257802619
-45,"P85",3170.76553182911
-35,"P85",1291.89255338843
-25,"P85",2030.07026229614
-15,"P85",2100.4766337433
-5,"P85",1390.23448111441
5,"P85",2349.3015695769
15,"P85",1818.40536361289
25,"P85",2351.18203404433
35,"P85",2726.11454164927
45,"P85",1852.23516361458
55,"P85",1599.82057354957
65,"P85",2118.22072027537
75,"P85",2192.08305796853
85,"P85",2037.67625054441
95,"P85",2496.61142062116
105,"P85",1857.62671919277
115,"P85",2932.74995894844
125,"P85",2816.23978724005
135,"P85",3746.06908179049
145,"P85",2085.19705105923
155,"P85",717.773161845433
165,"P85",2269.24084644287
175,"P85",1881.65947873076
185,"P85",1889.19529980417
195,"P85",3712.03075072424
-195,"Median",656.520679472186
-185,"Median",427.280906168873
-175,"Median",1088.42672476852
-165,"Median",890.84377798581
-155,"Median",772.873736734295
-145,"Median",1556.48920909719
-135,"Median",1389.20988314223
-125,"Median",741.527537043829
-115,"Median",524.9807454165
-105,"Median",1191.80171978275
-95,"Median",2140.76526723898
-85,"Median",1943.85745590196
-75,"Median",1642.82684860909
-65,"Median",739.281193478593
-55,"Median",602.410696338346
-45,"Median",1248.05624720955
-35,"Median",664.25179261381
-25,"Median",1131.57944426213
-15,"Median",1852.14959618967
-5,"Median",1314.71101856242
5,"Median",1874.56852532763
15,"Median",1492.68961024425
25,"Median",1197.5454924316
35,"Median",2300.82766935223
45,"Median",704.730156502132
55,"Median",1527.95278967304
65,"Median",1477.60418264585
75,"Median",1474.2485784255
85,"Median",1366.8976598208
95,"Median",2374.20064312086
105,"Median",1185.67030656235
115,"Median",1315.37687116787
125,"Median",1357.11473469889
135,"Median",1211.20377591579
145,"Median",603.996490487516
155,"Median",447.51743686744
165,"Median",1449.68791353964
175,"Median",1109.93154064302
185,"Median",521.425776985289
195,"Median",1433.65013181967
-195,"Avg",1256.89767764544
-185,"Avg",663.349678606516
-175,"Avg",1141.13920171195
-165,"Avg",1046.01219117683
-155,"Avg",824.253512931475
-145,"Avg",1338.73554094818
-135,"Avg",1345.4610149852
-125,"Avg",799.507326529807
-115,"Avg",656.394609520819
-105,"Avg",1891.54945237812
-95,"Avg",1991.45699935612
-85,"Avg",5091.51568427952
