"position.disgap","Type","LateralAccRate"
-195,"Max",155.161436155537
-185,"Max",1037.36259323745
-175,"Max",1114.65769220333
-165,"Max",1471.13248796717
-155,"Max",1327.65989662654
-145,"Max",7486.95198761185
-135,"Max",1426.45132194457
-125,"Max",1177.92695522486
-115,"Max",996.425667323834
-105,"Max",1335.17332905308
-95,"Max",1144.93256617522
-85,"Max",2533.50488275213
-75,"Max",1557.17672513844
-65,"Max",2.26216204753461
-55,"Max",2085.2909127006
-45,"Max",1304.15430060257
-35,"Max",1667.03944531663
-25,"Max",1111.35963021109
-15,"Max",1399.42504437305
-5,"Max",1725.91763371678
5,"Max",13669.6820343508
15,"Max",2227.55226568796
25,"Max",3897.02941302919
35,"Max",1690.33969674754
45,"Max",3073.69480292859
55,"Max",3256.27799717409
65,"Max",2477.8713677263
75,"Max",2479.57297867534
85,"Max",3196.35272223962
95,"Max",2300.53845324087
105,"Max",2597.14069135689
115,"Max",3563.39157280424
125,"Max",1070.49501920106
135,"Max",2195.39108563507
145,"Max",3295.32393609095
155,"Max",2198.21350686151
165,"Max",3301.38041024919
175,"Max",2907.24643009331
185,"Max",2698.9190716823
195,"Max",3353.76536686121
-195,"P85",62.1914276892049
-185,"P85",863.546912358625
-175,"P85",545.528729604168
-165,"P85",1224.91199834863
-155,"P85",696.750497681743
-145,"P85",6602.69751314925
-135,"P85",712.309183768807
-125,"P85",1156.96382147592
-115,"P85",402.098297332682
-105,"P85",1097.53703890917
-95,"P85",1079.32012812014
-85,"P85",1790.5619160654
-75,"P85",1421.60418800391
-65,"P85",1.33834981013002
-55,"P85",1722.32002471074
-45,"P85",1210.45129991783
-35,"P85",738.734148394461
-25,"P85",1072.62678939584
-15,"P85",1360.34678582938
-5,"P85",1530.63460444242
5,"P85",7526.87927355671
15,"P85",2192.55134472824
25,"P85",3382.2234281343
35,"P85",1510.84354307392
45,"P85",2585.11311884194
55,"P85",2907.47867591658
65,"P85",1927.94171414943
75,"P85",2441.33356873471
85,"P85",2318.26065395388
95,"P85",2200.81453559575
105,"P85",2378.14404716646
115,"P85",3396.18526373943
125,"P85",1050.45465995063
135,"P85",2121.65887165068
145,"P85",2664.77860675816
155,"P85",1673.12687611648
165,"P85",2662.36212141552
175,"P85",2484.53439612083
185,"P85",2533.37008366725
195,"P85",2378.95977367238
-195,"Median",0.189197611915595
-185,"Median",1.70801883466676
-175,"Median",148.942336516207
-165,"Median",378.909681178759
-155,"Median",235.977569468449
-145,"Median",1273.64275296515
-135,"Median",214.933225502433
-125,"Median",236.412191765033
-115,"Median",0.528998584537051
-105,"Median",729.104377387899
-95,"Median",473.538723226007
-85,"Median",753.273743252265
-75,"Median",800.523135398157
-65,"Median",0.419222675251245
-55,"Median",1311.57400672249
-45,"Median",1110.80709575439
-35,"Median",1.13554971723611
-25,"Median",703.352646088835
-15,"Median",527.941959461459
-5,"Median",541.504370790964
5,"Median",3069.26190830364
15,"Median",1045.09996577538
25,"Median",2463.70192628134
35,"Median",884.560785117911
45,"Median",1766.28936507052
55,"Median",1452.09978630754
65,"Median",1452.38788358797
75,"Median",2080.98318644491
85,"Median",1486.98424436859
95,"Median",1275.51205973032
105,"Median",1334.47066951921
115,"Median",3125.29939927306
125,"Median",426.227615520714
135,"Median",715.001932994688
145,"Median",1789.82061666684
155,"Median",1147.79274821972
165,"Median",2153.77394213075
175,"Median",1939.90023284397
185,"Median",1720.73983699782
195,"Median",1719.8862222507
-195,"Avg",31.155422165596
-185,"Avg",357.413121784092
-175,"Avg",309.574293107346
-165,"Avg",627.587548692938
-155,"Avg",448.127738503791
-145,"Avg",3256.46286867429
-135,"Avg",446.713812651936
-125,"Avg",588.125700685069
-115,"Avg",200.722722293379
-105,"Avg",601.229987695948
-95,"Avg",602.323081902811
-85,"Avg",972.657169383702
-75,"Avg",815.84261917563
-65,"Avg",0.772052560954308
-55,"Avg",1070.06502104759
-45,"Avg",807.217360243294
-35,"Avg",357.815878098588
-25,"Avg",661.106555541968
-15,"Avg",746.956772218093
-5,"Avg",817.472572998142
5,"Avg",4585.26234148583
15,"Avg",1438.23115961431
25,"Avg",2405.73201088887
35,"Avg",1070.51425310178
45,"Avg",1737.62910866668
55,"Avg",1841.71241231229
65,"Avg",1429.97558551734
75,"Avg",1606.77483884248
85,"Avg",1622.02630453147
95,"Avg",1463.3460352403
105,"Avg",1559.95602215667
115,"Avg",2524.81768482484
125,"Avg",657.836607561384
135,"Avg",1171.04331092264
145,"Avg",1692.35351860323
155,"Avg",1141.26743298987
165,"Avg",1898.15027294988
175,"Avg",1699.6918863634
185,"Avg",1839.84642151734
195,"Avg",1631.68521002378
-195,"Min",0.0881947401769551
-185,"Min",0.132762545747011
-175,"Min",0.223901453493306
-165,"Min",0.117146616437756
-155,"Min",173.222930899013
-145,"Min",253.538656811786
-135,"Min",149.682939128699
-125,"Min",154.661281096542
-115,"Min",0.37820287180037
-105,"Min",0.490257436888554
-95,"Min",122.802741876205
-85,"Min",127.332867397904
-75,"Min",155.934471472725
-65,"Min",0.192316682985155
-55,"Min",234.258510921997
-45,"Min",233.762400978973
-35,"Min",0.402291907799246
-25,"Min",204.047543925669
-15,"Min",232.923868915458
-5,"Min",203.16862347585
5,"Min",1359.97356485306
15,"Min",767.657421385955
25,"Min",1044.57192815602
35,"Min",618.954958359303
45,"Min",773.848426131515
55,"Min",552.370707968656
65,"Min",768.007457753885
75,"Min",512.303661220186
85,"Min",383.571187116989
95,"Min",490.510478332014
105,"Min",486.386949738287
115,"Min",574.763215171079
125,"Min",372.259918656793
135,"Min",406.903416857715
145,"Min",542.139207827385
155,"Min",447.848747529122
165,"Min",350.575144439396
175,"Min",414.349084472097
185,"Min",1033.867413289
195,"Min",619.935509681208
