"position.disgap","Type","LongitudinalAccRate"
-195,"Max",133.612028742981
-185,"Max",99.9996932212397
-175,"Max",79.9070529098248
-165,"Max",199.99937241459
-155,"Max",133.333291315368
-145,"Max",399.999726147672
-135,"Max",133.815186770716
-125,"Max",199.234206425494
-115,"Max",79.9999893178585
-105,"Max",99.9916364113716
-95,"Max",199.999775803556
-85,"Max",159.999952458771
-75,"Max",199.796562557291
-65,"Max",399.611711167881
-55,"Max",319.998388212368
-45,"Max",102.745754159921
-35,"Max",100.191025069915
-25,"Max",135.337691943346
-15,"Max",133.322957955355
-5,"Max",159.988417372996
5,"Max",390.401755861944
15,"Max",129.434166632544
25,"Max",140.139567711675
35,"Max",403.317515552725
45,"Max",413.680385308599
55,"Max",239.837533820417
65,"Max",404.715652109243
75,"Max",255.442039697765
85,"Max",133.231427992234
95,"Max",169.340711480312
105,"Max",136.16325575608
115,"Max",206.339658073768
125,"Max",99.9417125408583
135,"Max",385.645847216258
145,"Max",133.248938061386
155,"Max",325.542303424224
165,"Max",400.124122634384
175,"Max",133.326437768399
185,"Max",331.529811631021
195,"Max",133.20634683278
-195,"P85",66.7963926412936
-185,"P85",68.0453573098136
-175,"P85",70.1986450350598
-165,"P85",125.253084157381
-155,"P85",93.3331333464785
-145,"P85",200.273123441355
-135,"P85",108.448790196703
-125,"P85",99.9148438389338
-115,"P85",79.9960333052317
-105,"P85",84.9977175947974
-95,"P85",99.9965436695329
-85,"P85",89.9965955010106
-75,"P85",149.942544536526
-65,"P85",175.142157530511
-55,"P85",199.942956667904
-45,"P85",68.5435271345411
-35,"P85",99.98999881891
-25,"P85",93.8340718459696
-15,"P85",69.2865760100796
-5,"P85",73.4232761118553
5,"P85",197.180847848839
15,"P85",101.841672138417
25,"P85",135.005358892757
35,"P85",202.707762685
45,"P85",177.59702853105
55,"P85",133.742344778244
65,"P85",202.870591675822
75,"P85",126.481686629342
85,"P85",105.25780203547
95,"P85",120.219613905427
105,"P85",110.652968027557
115,"P85",135.289427717443
125,"P85",81.1946326066838
135,"P85",220.768550838184
145,"P85",132.004522493548
155,"P85",231.261986038985
165,"P85",174.963909924414
175,"P85",92.426625479425
185,"P85",157.803211819066
195,"P85",108.222760757723
-195,"Median",34.7002651747271
-185,"Median",42.2392929995986
-175,"Median",46.846888190147
-165,"Median",72.4257716485842
-155,"Median",62.2154044539403
-145,"Median",89.9949151856705
-135,"Median",53.2881995619081
-125,"Median",55.5549163579046
-115,"Median",72.54245270391
-105,"Median",55.6730761040161
-95,"Median",44.574700192283
-85,"Median",38.9201063050126
-75,"Median",39.104325769193
-65,"Median",55.4184472212624
-55,"Median",88.805072024465
-45,"Median",44.4444109617795
-35,"Median",23.0895142352319
-25,"Median",49.7987197624654
-15,"Median",44.4304544528262
-5,"Median",38.8624203966098
5,"Median",89.8292585423006
15,"Median",57.1777541551729
25,"Median",71.2895898125481
35,"Median",88.0432906944789
45,"Median",56.5330568781337
55,"Median",80.3326675636928
65,"Median",75.0466294487528
75,"Median",45.3779991486474
85,"Median",51.3801298967772
95,"Median",67.0914135385997
105,"Median",57.998055099904
115,"Median",73.3245633143755
125,"Median",68.5592713700634
135,"Median",96.1223626447467
145,"Median",79.6878039733812
