"position.disgap","Type","LongitudinalAccRate"
-195,"Max",71.8966205075937
-185,"Max",134.900792362116
-175,"Max",399.407566277874
-165,"Max",466.607825531283
-155,"Max",133.233614970031
-145,"Max",333.28859681761
-135,"Max",239.993852140366
-125,"Max",399.991604503941
-115,"Max",266.656382860439
-105,"Max",399.983863301276
-95,"Max",200.164463981768
-85,"Max",77.1721486418695
-75,"Max",195.301384267475
-65,"Max",399.738939963486
-55,"Max",399.477747330953
-45,"Max",403.880345581153
-35,"Max",1978.82962365182
-25,"Max",166.620043375946
-15,"Max",399.061843164405
-5,"Max",338.750575171858
5,"Max",399.868143173538
15,"Max",399.957776142816
25,"Max",363.923502952077
35,"Max",133.333302657359
45,"Max",191.096309207232
55,"Max",115.171539227599
65,"Max",144.886372376413
75,"Max",152.782146499376
85,"Max",99.9507117253137
95,"Max",399.630584455951
105,"Max",405.352787376267
115,"Max",732.061559494952
125,"Max",139.66174413439
135,"Max",199.926706370883
145,"Max",159.931759057083
155,"Max",349.374396466998
165,"Max",159.746097464433
175,"Max",412.376266852487
185,"Max",150.985564332315
195,"Max",225.899048074831
-195,"P85",60.3150512354263
-185,"P85",83.7197858360604
-175,"P85",174.840742371199
-165,"P85",317.344970243915
-155,"P85",86.9229734375599
-145,"P85",183.195595208281
-135,"P85",209.995430809131
-125,"P85",299.991969971116
-115,"P85",144.549304277746
-105,"P85",249.85265595361
-95,"P85",199.897162085879
-85,"P85",76.6050448233234
-75,"P85",90.3508511735143
-65,"P85",176.597876950262
-55,"P85",335.045113976739
-45,"P85",303.929120806865
-35,"P85",696.415729862286
-25,"P85",126.394756855287
-15,"P85",320.711403034731
-5,"P85",272.730316084241
5,"P85",189.820000756717
15,"P85",231.587519911626
25,"P85",210.967705393561
35,"P85",128.456405378874
45,"P85",107.853086954656
55,"P85",62.3002849487128
65,"P85",111.221584790973
75,"P85",141.091014193175
85,"P85",76.5085027857729
95,"P85",172.53465158315
105,"P85",204.28262393335
115,"P85",261.251070793066
125,"P85",114.446176310174
135,"P85",199.845432547238
145,"P85",99.8870464406992
155,"P85",187.095596496178
165,"P85",125.576972039278
175,"P85",208.584998577736
185,"P85",112.679819633008
195,"P85",187.908589660124
-195,"Median",50.6442489928928
-185,"Median",45.645725491387
-175,"Median",45.0289041660955
-165,"Median",101.089330974398
-155,"Median",53.618238863528
-145,"Median",116.234360606211
-135,"Median",123.301376360196
-125,"Median",83.2839591089965
-115,"Median",69.1831359055138
-105,"Median",96.9031685510112
-95,"Median",121.07371894036
-85,"Median",56.1836471860441
-75,"Median",29.130590843443
-65,"Median",56.2995423154064
-55,"Median",196.19147886904
-45,"Median",119.153230188874
-35,"Median",107.720799638579
-25,"Median",73.716754227606
-15,"Median",86.4627901674641
-5,"Median",73.4245256289675
5,"Median",60.0941665633332
15,"Median",91.3818467180517
25,"Median",110.235096338394
35,"Median",83.3095923859733
45,"Median",53.1620884811325
55,"Median",39.6419277296654
65,"Median",85.4037587678561
75,"Median",72.5574673359111
85,"Median",51.2305695238238
95,"Median",66.9141730405604
105,"Median",83.9621432773292
115,"Median",97.1641705275408
125,"Median",68.5863435847678
135,"Median",86.8585601814923
145,"Median",57.470411549132
155,"Median",57.2748804055578
165,"Median",80.9491131269938
175,"Median",84.2828050588074
185,"Median",47.527713042477
195,"Median",121.373175663583
-195,"Avg",50.0573111016097
-185,"Avg",54.8578881020753
-175,"Avg",102.616701054425
-165,"Avg",162.649984652097
-155,"Avg",58.8702370959103
-145,"Avg",131.297864180644
-135,"Avg",128.404781869702
-125,"Avg",149.554773328959
-115,"Avg",95.545127940283
-105,"Avg",145.038874784096
-95,"Avg",122.109730625432
