"position.disgap","Type","LongitudinalAccRate"
-195,"Max",218.401164297176
-185,"Max",373.484186661099
-175,"Max",216.706901420334
-165,"Max",444.945315303357
-155,"Max",93.7653167715809
-145,"Max",375.655204787195
-135,"Max",403.268654758046
-125,"Max",133.947986181044
-115,"Max",110.800532616182
-105,"Max",99.5237198112858
-95,"Max",517.047059255636
-85,"Max",272.973708489345
-75,"Max",465.505669337098
-65,"Max",746.668245319534
-55,"Max",144.066458909271
-45,"Max",459.669101581884
-35,"Max",57.6521779381545
-25,"Max",260.040077675928
-15,"Max",149.167610737906
-5,"Max",144.81808012986
5,"Max",370.64381207255
15,"Max",173.722839170109
25,"Max",260.69129042097
35,"Max",437.347138544538
45,"Max",370.324118752271
55,"Max",151.935151272787
65,"Max",492.479541214404
75,"Max",152.252350802222
85,"Max",394.744820785896
95,"Max",126.788017231749
105,"Max",454.48937135249
115,"Max",57.7855644106373
125,"Max",161.488149996255
135,"Max",159.637176649745
145,"Max",441.507749236685
155,"Max",367.258342391878
165,"Max",58.4888758679802
175,"Max",58.8044111880615
185,"Max",161.683503978348
195,"Max",393.835187974153
-195,"P85",183.486833605856
-185,"P85",237.462270406004
-175,"P85",172.702097367842
-165,"P85",403.327113059264
-155,"P85",71.7949724372297
-145,"P85",232.248420061207
-135,"P85",241.889837497612
-125,"P85",87.8527330488421
-115,"P85",93.5386811037109
-105,"P85",85.1531950173034
-95,"P85",239.701642232185
-85,"P85",152.707009333441
-75,"P85",439.094702502106
-65,"P85",335.983078020007
-55,"P85",143.851048510845
-45,"P85",407.522170118476
-35,"P85",57.651046232306
-25,"P85",173.340558099579
-15,"P85",119.031660163944
-5,"P85",87.0094658462547
5,"P85",192.812520094559
15,"P85",159.82670398809
25,"P85",148.617253988732
35,"P85",397.594023990707
45,"P85",369.986751620152
55,"P85",150.920645702759
65,"P85",463.631468988371
75,"P85",106.749932530884
85,"P85",192.207969179899
95,"P85",81.8954054677147
105,"P85",278.50640057711
115,"P85",54.575583482022
125,"P85",159.981376726257
135,"P85",157.379228240332
145,"P85",211.571373564977
155,"P85",219.898716679383
165,"P85",47.8628413987065
175,"P85",58.6629369679605
185,"P85",134.275049128365
195,"P85",254.692857733738
-195,"Median",133.637087981746
-185,"Median",136.649898148739
-175,"Median",113.643903204631
-165,"Median",234.380177581066
-155,"Median",57.1467213749199
-145,"Median",93.7746039970762
-135,"Median",94.0027028956725
-125,"Median",56.9492682614648
-115,"Median",81.8475676302188
-105,"Median",52.731218449885
-95,"Median",53.4025364031723
-85,"Median",45.9511546747134
-75,"Median",372.738526926607
-65,"Median",36.2473866734199
-55,"Median",74.639577267157
-45,"Median",176.827043127133
-35,"Median",41.4209204476361
-25,"Median",105.765080420036
-15,"Median",74.5823425417249
-5,"Median",41.2523130073142
5,"Median",53.7796041635805
15,"Median",146.382498720907
25,"Median",61.9112753993476
35,"Median",148.900295754701
45,"Median",62.8933354476638
55,"Median",77.5707020790425
65,"Median",73.9374133796881
75,"Median",41.1379654031858
85,"Median",54.2551778848753
95,"Median",51.4325153168223
105,"Median",159.331952176279
115,"Median",35.9785105756201
125,"Median",53.9732595923439
135,"Median",48.1338545969446
145,"Median",53.9739128584232
155,"Median",40.7170770034101
165,"Median",40.7197156636239
175,"Median",58.5326792484405
185,"Median",80.3773318134701
195,"Median",58.5681494575141
-195,"Avg",130.653084064003
-185,"Avg",150.134377803384
-175,"Avg",120.475845998674
-165,"Avg",246.342552080498
-155,"Avg",56.7453276907436
-145,"Avg",152.080873586014
-135,"Avg",145.861216132249
-125,"Avg",61.2457755341602
-115,"Avg",67.1937689314992
-105,"Avg",55.6377673701801
-95,"Avg",142.925857715707
-85,"Avg",88.1590238149035
-75,"Avg",305.399010776033
-65,"Avg",182.141702391551
-55,"Avg",89.2008201285876
-45,"Avg",219.419043224338
-35,"Avg",46.1100786510117
-25,"Avg",125.27281173007
-15,"Avg",86.8192432798032
-5,"Avg",63.1943324900423
5,"Avg",117.891226545779
15,"Avg",132.727853176338
25,"Avg",102.399592064793
35,"Avg",236.037310851586
45,"Avg",180.523555032067
55,"Avg",102.838042534462
65,"Avg",219.305199171846
75,"Avg",63.5399903582347
85,"Avg",114.253031082527
95,"Avg",57.8824428732299
105,"Avg",170.752667569585
115,"Avg",37.9007553802579
125,"Avg",87.9556309727258
135,"Avg",81.0338078497058
145,"Avg",120.614413594172
155,"Avg",112.429529366411
165,"Avg",39.1187521879115
175,"Avg",54.1012788699443
185,"Avg",94.3482533777845
195,"Avg",141.078478004096
-195,"Min",42.1608715009328
-185,"Min",31.2924372388064
-175,"Min",29.7189931544185
-165,"Min",41.7300170036553
-155,"Min",33.9325775766048
-145,"Min",75.1213467265418
-135,"Min",41.7226282658085
-125,"Min",15.4184253093549
-115,"Min",30.0110416730183
-105,"Min",15.7332941580505
-95,"Min",41.9805923000296
-85,"Min",23.3426152596097
-75,"Min",74.614506756739
-65,"Min",30.0556914794848
-55,"Min",41.3406576464568
-45,"Min",39.5699725161661
-35,"Min",32.5296781514398
-25,"Min",41.4623951510195
-15,"Min",49.5298680093442
-5,"Min",40.2226504695057
5,"Min",40.6958566145743
15,"Min",88.6590952256261
25,"Min",57.5349330031481
35,"Min",74.0854578795831
