"position.disgap","Type","LongitudinalAccRate"
-195,"Max",109.07147912788
-185,"Max",64.3935367664453
-175,"Max",132.47653447536
-165,"Max",75.1698739978907
-155,"Max",118.870410044005
-145,"Max",192.772342126726
-135,"Max",399.196824141954
-125,"Max",121.693829434986
-115,"Max",117.096280522027
-105,"Max",359.173629894502
-95,"Max",129.940558864252
-85,"Max",489.60932290805
-75,"Max",246.869520110579
-65,"Max",275.474926024839
-55,"Max",425.033366835386
-45,"Max",302.031836142868
-35,"Max",399.575061351373
-25,"Max",391.254387097113
-15,"Max",362.1573840112
-5,"Max",342.736139406984
5,"Max",382.960723733617
15,"Max",357.582162353378
25,"Max",402.290138690413
35,"Max",397.643884512963
45,"Max",207.244223532572
55,"Max",71.3381040706339
65,"Max",402.235641163518
75,"Max",183.874290996194
85,"Max",360.196245980939
95,"Max",177.285173312464
105,"Max",249.085109442096
115,"Max",516.60285139681
125,"Max",368.762866829815
135,"Max",171.163090677831
145,"Max",56.1209205472458
155,"Max",49.6365600351682
165,"Max",434.763981078961
175,"Max",107.75336492733
185,"Max",60.195647935623
195,"Max",211.799487558254
-195,"P85",106.082596677918
-185,"P85",62.85039827955
-175,"P85",116.404996241435
-165,"P85",67.4188912017122
-155,"P85",85.1257445355986
-145,"P85",188.762122730379
-135,"P85",194.636137640772
-125,"P85",84.9547566063619
-115,"P85",86.06027911504
-105,"P85",188.943686878796
-95,"P85",106.352927278717
-85,"P85",408.184576272491
-75,"P85",212.571361477417
-65,"P85",224.570619784911
-55,"P85",206.948871276656
-45,"P85",165.971168800099
-35,"P85",229.776231239014
-25,"P85",200.813878761788
-15,"P85",337.733588276512
-5,"P85",173.695697992427
5,"P85",264.875637088606
15,"P85",263.028485348111
25,"P85",399.156980059499
35,"P85",387.713027878002
45,"P85",155.701398319528
55,"P85",68.7744785613557
65,"P85",378.01607203772
75,"P85",130.078704435859
85,"P85",246.224898555581
95,"P85",172.724239230548
105,"P85",144.397677617883
115,"P85",487.087359615343
125,"P85",258.317083022432
135,"P85",106.598909303112
145,"P85",51.819167712352
155,"P85",46.8216624661269
165,"P85",227.889981148731
175,"P85",79.5286060619951
185,"P85",59.7430423793326
195,"P85",188.242779088443
-195,"Median",59.0018143598506
-185,"Median",51.9709450937117
-175,"Median",55.6771811703801
-165,"Median",60.4413104336066
-155,"Median",39.6454582492792
-145,"Median",86.9833728551209
-135,"Median",40.6079689841037
-125,"Median",60.367832441726
-115,"Median",60.6011321250452
-105,"Median",59.3187544177725
-95,"Median",62.6200820315749
-85,"Median",321.642910247416
-75,"Median",116.753141372411
-65,"Median",59.8742998687655
-55,"Median",49.9500412072443
-45,"Median",60.1252697746
-35,"Median",46.9152376506633
-25,"Median",60.2910300193881
-15,"Median",113.723886868044
-5,"Median",52.2538581233346
5,"Median",61.4106763619573
15,"Median",70.5015905676213
25,"Median",111.886236092381
35,"Median",295.220636344006
45,"Median",60.0745818522296
55,"Median",60.2009724544964
65,"Median",179.839595236681
75,"Median",60.2798048980735
85,"Median",61.1112909666914
95,"Median",52.2487266012782
105,"Median",59.3436377672294
115,"Median",449.188184809655
125,"Median",40.4718190696436
135,"Median",60.4526705458806
145,"Median",41.1284404067311
155,"Median",39.8403698657497
165,"Median",59.5997377578106
175,"Median",59.2836700337739
185,"Median",41.1457866898136
195,"Median",52.4330328685549
-195,"Avg",71.8559532154704
-185,"Avg",51.8997419133226
-175,"Avg",77.501086135076
-165,"Avg",55.1699366109284
-155,"Avg",57.615200181946
-145,"Avg",116.753034232872
-135,"Avg",114.18476128236
-125,"Avg",72.1177161866743
-115,"Avg",65.6456153661552
-105,"Avg",121.12481572063
-95,"Avg",76.8917678392178
-85,"Avg",253.025702342871
-75,"Avg",135.190286914003
-65,"Avg",127.359634837843
-55,"Avg",120.752424685661
-45,"Avg",98.5116500548361
-35,"Avg",126.078301043154
-25,"Avg",118.427193733158
-15,"Avg",184.452475644334
-5,"Avg",105.148172657907
5,"Avg",149.426435737259
15,"Avg",151.038647815743
25,"Avg",202.429752420194
35,"Avg",253.603630193023
45,"Avg",93.2161358348148
55,"Avg",58.5932677975595
65,"Avg",205.968254284139
75,"Avg",84.24199659445
85,"Avg",134.95999990681
95,"Avg",97.7196889892752
105,"Avg",92.7527032586683
115,"Avg",298.665053084206
125,"Avg",132.211996765491
135,"Avg",75.5047811356571
145,"Avg",42.6140435633027
155,"Avg",40.8922825794408
165,"Avg",131.942386118436
175,"Avg",60.3119294435404
185,"Avg",47.9484235062036
195,"Avg",105.181950899983
-195,"Min",40.3640686414015
-185,"Min",39.8000611950808
-175,"Min",38.8146112757494
-165,"Min",38.2428986567631
-155,"Min",29.0931324862397
-145,"Min",56.236674919429
-135,"Min",32.8811591519035
-125,"Min",57.7103434254683
-115,"Min",25.574445798906
-105,"Min",52.9044963205566
-95,"Min",41.5345319869464
-85,"Min",39.2862572844531
-75,"Min",60.1245171727876
-65,"Min",51.8497563404473
-55,"Min",22.385842216234
-45,"Min",23.7967158330479
-35,"Min",29.6043854975884
-25,"Min",11.861321778762
-15,"Min",60.4836320297818
-5,"Min",27.1397178429649
5,"Min",56.5250216846356
15,"Min",59.877818720425
25,"Min",38.1469197898977
35,"Min",66.4664468108244
45,"Min",20.8381902022978
55,"Min",45.9345902823808
65,"Min",32.3434088904404
75,"Min",38.5108623964392
85,"Min",24.7663722772018
95,"Min",40.2931889533309
105,"Min",39.3748169630519
115,"Min",19.5792054504891
125,"Min",26.8694152984378
135,"Min",40.0013968994479
145,"Min",30.8163541670194
155,"Min",30.7285283445415
165,"Min",34.4804686205813
175,"Min",33.6224233780355
185,"Min",38.6503291479132
195,"Min",40.8339033095679
