"position.disgap","Type","LongitudinalAccRate"
-195,"Max",67.4647091975351
-185,"Max",160.182389798809
-175,"Max",85.2280106426439
-165,"Max",116.652907431315
-155,"Max",83.537169308949
-145,"Max",68.3182487791472
-135,"Max",304.630932716762
-125,"Max",119.788336445739
-115,"Max",551.446242657655
-105,"Max",337.740219054343
-95,"Max",166.059959960396
-85,"Max",213.593194197807
-75,"Max",280.791303404169
-65,"Max",212.151362462509
-55,"Max",204.806348099086
-45,"Max",55.6987286206229
-35,"Max",336.859826462801
-25,"Max",292.299343768415
-15,"Max",378.987929375175
-5,"Max",112.213401928866
5,"Max",243.290889309186
15,"Max",133.889390979322
25,"Max",366.319862246414
35,"Max",119.95730095263
45,"Max",283.444571633822
55,"Max",334.226845254801
65,"Max",216.76709291415
75,"Max",552.601960529426
85,"Max",334.014433219754
95,"Max",321.951119624319
105,"Max",329.625451086772
115,"Max",334.806419199748
125,"Max",67.5879101778184
135,"Max",62.6015132124997
145,"Max",111.561096506553
155,"Max",334.511923310788
165,"Max",497.784577943634
175,"Max",439.929565973939
185,"Max",323.007622450878
195,"Max",336.523586977998
-195,"P85",45.9264453413204
-185,"P85",114.743221556105
-175,"P85",76.9593350143347
-165,"P85",86.0579317952221
-155,"P85",72.8522392646703
-145,"P85",64.6835909993307
-135,"P85",158.652781848642
-125,"P85",98.4624297632839
-115,"P85",321.860467941409
-105,"P85",264.766997297328
-95,"P85",109.067671155154
-85,"P85",127.262274674751
-75,"P85",149.201833792998
-65,"P85",135.422480790506
-55,"P85",148.216351569863
-45,"P85",51.288240888923
-35,"P85",210.990147708184
-25,"P85",184.382851048953
-15,"P85",199.698426736136
-5,"P85",79.334346650059
5,"P85",222.683400435043
15,"P85",114.834057936717
25,"P85",352.50102201744
35,"P85",115.049956222891
45,"P85",177.15612722498
55,"P85",198.209335503554
65,"P85",151.622875211324
75,"P85",459.619168954557
85,"P85",203.568953921312
95,"P85",194.438695682699
105,"P85",256.484555039198
115,"P85",180.054708385025
125,"P85",67.0431176297463
135,"P85",61.9488629872944
145,"P85",111.093121702839
155,"P85",170.175548915301
165,"P85",370.349224336598
175,"P85",232.869792941992
185,"P85",227.805478968124
195,"P85",203.835483713622
-195,"Median",28.1429143269719
-185,"Median",75.0898293250128
-175,"Median",56.3988316563839
-165,"Median",56.3316425348342
-155,"Median",60.0927356553035
-145,"Median",50.9811073979688
-135,"Median",55.4044026705569
-125,"Median",61.3493906866082
-115,"Median",120.684419478116
-105,"Median",212.804752583327
-95,"Median",56.3443142356547
-85,"Median",52.1304761722474
-75,"Median",60.9014567842163
-65,"Median",67.7555582815022
-55,"Median",64.7940425044045
-45,"Median",47.0360402592073
-35,"Median",106.494766773381
-25,"Median",112.413369887905
-15,"Median",46.3859878672891
-5,"Median",46.0208593002902
5,"Median",77.9343975588727
15,"Median",98.1288094635255
25,"Median",338.188392896686
35,"Median",65.9254953241733
45,"Median",62.3878123099579
55,"Median",73.1398281493421
65,"Median",73.4394892322709
75,"Median",125.201444077041
