"position.disgap","Type","LateralAcc"
-195,"Max",3.77754863897152
-185,"Max",7.48344766744734
-175,"Max",7.49907710913389
-165,"Max",8.07352636652486
-155,"Max",12.045836020938
-145,"Max",8.83547558839795
-135,"Max",15.1160022794192
-125,"Max",11.9907083880306
-115,"Max",8.54345666321747
-105,"Max",7.4187440371727
-95,"Max",8.60782654270159
-85,"Max",8.55925788326922
-75,"Max",34.1713726622117
-65,"Max",31.1576466581873
-55,"Max",11.4204414297593
-45,"Max",8.57894016787819
-35,"Max",9.61144421292993
-25,"Max",7.03171858429116
-15,"Max",9.67798463914029
-5,"Max",5.56590916690876
5,"Max",53.8097950448839
15,"Max",2.16707960786132
25,"Max",4.58218409880066
35,"Max",6.24931897540531
45,"Max",6.0655137313252
55,"Max",3.07737538175673
65,"Max",4.46711934918751
75,"Max",2.79819440459649
85,"Max",2.96484702335531
95,"Max",4.67786466974294
105,"Max",4.06282529925209
115,"Max",4.78313469215602
125,"Max",8.91295396744995
135,"Max",5.84943930007914
145,"Max",2.20785805386666
155,"Max",3.48840028812551
165,"Max",8.6667992576223
175,"Max",3.38072215923029
185,"Max",3.49224356941515
195,"Max",3.45894422504687
-195,"P85",0.952783711837419
-185,"P85",1.87798377984605
-175,"P85",5.97421361103277
-165,"P85",6.90024145073904
-155,"P85",7.9736888974413
-145,"P85",7.42729717056914
-135,"P85",8.79690421246717
-125,"P85",7.65404976584772
-115,"P85",7.53257658324395
-105,"P85",6.36696706847188
-95,"P85",7.73966628136091
-85,"P85",7.50632277887936
-75,"P85",22.0034485919292
-65,"P85",13.0819398902638
-55,"P85",7.00820008327203
-45,"P85",7.62982685975635
-35,"P85",7.32808415676933
-25,"P85",5.36541790390936
-15,"P85",7.36926838360753
-5,"P85",4.05320343277048
5,"P85",17.2452878442955
15,"P85",1.60278829135842
25,"P85",4.51257935963493
35,"P85",5.37992370610228
45,"P85",5.43618916539067
55,"P85",2.91148963222618
65,"P85",4.36404349054523
75,"P85",2.50039501796425
85,"P85",2.82222277503163
95,"P85",3.24684188079921
105,"P85",3.92433581791949
115,"P85",2.42882733132543
125,"P85",5.14738163342829
135,"P85",1.46559404147203
145,"P85",1.39111063713833
155,"P85",3.28165573976287
165,"P85",5.67590948846968
175,"P85",3.2789402152459
185,"P85",3.30459886436912
195,"P85",3.39887557775808
-195,"Median",0.00316755425839365
-185,"Median",0
-175,"Median",0.000430479122171425
-165,"Median",4.32256182921549
-155,"Median",2.90786965749653
-145,"Median",5.62639449562717
-135,"Median",2.67238909749311
-125,"Median",5.54862145572306
-115,"Median",6.09452348872929
-105,"Median",5.38724821419563
-95,"Median",5.35378193103481
-85,"Median",4.4739267629667
-75,"Median",9.86996186558872
-65,"Median",5.8413008604787
-55,"Median",3.12901610477876
-45,"Median",4.05419199750509
-35,"Median",6.18887878695417
-25,"Median",3.36903181936547
-15,"Median",3.33537041491633
-5,"Median",2.51799460426807
5,"Median",4.39557791934834
15,"Median",1.03029874823916
25,"Median",3.76815875369027
35,"Median",4.27782328343643
45,"Median",4.12296640439811
55,"Median",2.12360587083899
65,"Median",2.33994932559078
75,"Median",1.9677829332902
85,"Median",1.70050725728201
95,"Median",1.51674845829355
105,"Median",2.8040992911223
115,"Median",1.29747985141875
125,"Median",3.5441397811713
135,"Median",2.55089622437479e-05
145,"Median",0.623103838234219
155,"Median",1.18291528551337
165,"Median",3.13415339075282
175,"Median",2.72146083035968
185,"Median",3.09562548483302
195,"Median",3.02542861614503
-195,"Avg",0.632513191713505
-185,"Avg",1.24812809365993
-175,"Avg",2.16015980471737
-165,"Avg",3.87141670901087
-155,"Avg",4.07994002247974
-145,"Avg",4.50773188276221
-135,"Avg",4.52563438527586
-125,"Avg",4.88378103745547
-115,"Avg",4.6557448922272
-105,"Avg",4.52240397968485
-95,"Avg",4.84459053442487
-85,"Avg",4.34287863685285
-75,"Avg",12.8904604345385
-65,"Avg",8.74971133062143
-55,"Avg",4.2949260874841
