"position.disgap","Type","LateralAcc"
-195,"Max",12.2628066214802
-185,"Max",4.43876327775788
-175,"Max",14.7231158852737
-165,"Max",10.2866527174107
-155,"Max",14.1803939417472
-145,"Max",5.84585189850378
-135,"Max",5.47597869682335
-125,"Max",11.033659134668
-115,"Max",0.720471364675788
-105,"Max",4.17895194653358
-95,"Max",5.37626251895991
-85,"Max",9.26409344151235
-75,"Max",4.12204721360193
-65,"Max",21.1165419923934
-55,"Max",16.249743997055
-45,"Max",8.0966575880338
-35,"Max",21.5905954402834
-25,"Max",5.84097156368412
-15,"Max",9.47998519178734
-5,"Max",9.05140093278538
5,"Max",10.4543661289407
15,"Max",10.4470942311301
25,"Max",7.72886108108548
35,"Max",9.50167151840644
45,"Max",9.5420393830478
55,"Max",9.47603313115018
65,"Max",7.57518503226552
75,"Max",7.52638081995808
85,"Max",5.71875685640487
95,"Max",10.7923626641798
105,"Max",5.20357337608879
115,"Max",11.3937931537666
125,"Max",6.0741921174757
135,"Max",9.11857011894928
145,"Max",7.63518666447921
155,"Max",7.56475793162157
165,"Max",12.3861666298011
175,"Max",9.32788276000093
185,"Max",12.6744903301086
195,"Max",44.1515170668434
-195,"P85",8.08444375495532
-185,"P85",2.22434516546226
-175,"P85",9.18531690849288
-165,"P85",4.16362837876176
-155,"P85",4.38267608032922
-145,"P85",1.46456479133255
-135,"P85",1.37364739474264
-125,"P85",2.76772021753898
-115,"P85",0.598133339610813
-105,"P85",1.04988932939735
-95,"P85",1.34940696206427
-85,"P85",5.43917743923733
-75,"P85",4.10906780485839
-65,"P85",7.79129634773013
-55,"P85",13.1951498197848
-45,"P85",6.81012541987724
-35,"P85",8.4111295707243
-25,"P85",4.45001211880437
-15,"P85",9.08536566662725
-5,"P85",3.24724187298277
5,"P85",8.83879273238684
15,"P85",9.87722808031825
25,"P85",6.14724828300612
35,"P85",8.12664262522031
45,"P85",9.24331601793407
55,"P85",6.10542125554568
65,"P85",7.10140656408053
75,"P85",2.87917032800197
85,"P85",4.82828399443995
95,"P85",6.37286664111999
105,"P85",4.86090330126722
115,"P85",4.07264067828862
125,"P85",5.27703080089043
135,"P85",6.21773385213963
145,"P85",6.55368427551446
155,"P85",7.26811874806124
165,"P85",8.72826971492506
175,"P85",9.05650876092451
185,"P85",3.17993915810359
195,"P85",16.8450214564218
-195,"Median",0.0030040376026901
-185,"Median",0.00263732463042969
-175,"Median",0.431391171344214
-165,"Median",0.0193783727516883
-155,"Median",0.00574271349448702
-145,"Median",0.00361689017736511
-135,"Median",0.00167674969246011
-125,"Median",0.00218797395475991
-115,"Median",0.00310181635972501
-105,"Median",0.00280143444530864
-95,"Median",0.00354453506537701
-85,"Median",0.242052596207684
-75,"Median",1.82984939970454
-65,"Median",3.17401476815593
-55,"Median",4.52357456110668
-45,"Median",4.01358892273937
-35,"Median",3.61857123139292
-25,"Median",1.73934810089087
-15,"Median",1.01449718231626
-5,"Median",0.941158132699684
5,"Median",6.61075204749805
15,"Median",4.70951414620176
25,"Median",2.77884107353257
35,"Median",4.51010932242091
45,"Median",4.02478290029695
55,"Median",0.80663765055589
65,"Median",0.0100637125625693
75,"Median",0.0142658483395434
85,"Median",0.0092705563168713
95,"Median",0.03984171632494
105,"Median",0.0659325064321655
115,"Median",0.0316876753426518
125,"Median",2.20553621592963
135,"Median",0.0313546168746524
145,"Median",0.838605587579063
155,"Median",0.000769876711388573
165,"Median",5.43328128344944
175,"Median",6.03827494150331
185,"Median",0.00492635694805238
195,"Median",0.00924521919569579
-195,"Avg",3.16011250135436
-185,"Avg",0.988373953619298
-175,"Avg",3.81933553112055
-165,"Avg",2.07468501572039
-155,"Avg",2.55219854325368
-145,"Avg",0.976554469936551
-135,"Avg",0.914279300630277
-125,"Avg",1.84174853647448
-115,"Avg",0.214004832552954
-105,"Avg",0.698570545407133
-95,"Avg",0.898461465049418
-85,"Avg",2.31849273219437
-75,"Avg",1.98187082759662
-65,"Avg",5.48021916851597
-55,"Avg",7.14974350268204
-45,"Avg",4.23800060869433
-35,"Avg",6.02444864201032
-25,"Avg",2.52310984677325
-15,"Avg",3.46515254886067
-5,"Avg",2.04613805301251
5,"Avg",5.49696756022714
15,"Avg",4.92883096095631
25,"Avg",3.19206872822355
35,"Avg",4.36615394845006
45,"Avg",4.89163004045426
55,"Avg",2.6785588396257
65,"Avg",2.42315485660594
75,"Avg",1.4808580048994
85,"Avg",1.71115311419068
95,"Avg",2.63272603159047
105,"Avg",1.68411569363643
115,"Avg",2.18433413059237
125,"Avg",2.58276892298986
135,"Avg",2.40546796336955
145,"Avg",2.58314164518031
155,"Avg",2.45496118092821
165,"Avg",5.12675333284553
175,"Avg",5.06174723403999
185,"Avg",2.11489547634217
195,"Avg",8.65214395969712
-195,"Min",0
-185,"Min",0
-175,"Min",-0.00935516403192301
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",-0.00355305971724892
-75,"Min",0.0015788624271218
-65,"Min",0.00421165612096536
-55,"Min",1.61119692434107
-45,"Min",1.07381421220308
-35,"Min",1.36639699003351
-25,"Min",0.54560184213799
-15,"Min",0
-5,"Min",0.00164493417365597
5,"Min",-0.0232863108031712
15,"Min",0
25,"Min",0.00783618533345564
35,"Min",0.000203672516194707
45,"Min",0
55,"Min",7.92173280379464e-05
65,"Min",4.92285298636167e-07
75,"Min",0
85,"Min",-0.00523999323580088
95,"Min",0.0095352711403769
105,"Min",-8.18657152563759e-05
115,"Min",-0.00345145991408082
125,"Min",-0.0100598672325202
135,"Min",0
145,"Min",-0.00673144774835619
155,"Min",-0.0057696196828705
165,"Min",-0.00117994292654463
175,"Min",0
185,"Min",-0.0100589533869173
195,"Min",0
