"position.disgap","Type","LateralAcc"
-195,"Max",5.33823932653271
-185,"Max",17.4881182721594
-175,"Max",6.39839538541908
-165,"Max",11.4626398539526
-155,"Max",14.2067398055092
-145,"Max",7.65041368230963
-135,"Max",6.48679241240166
-125,"Max",1.87249009260043
-115,"Max",1.87250252729155
-105,"Max",5.50463422610351
-95,"Max",5.62549565655555
-85,"Max",5.55064986314958
-75,"Max",2.7006506681601
-65,"Max",5.63550474057817
-55,"Max",5.5347484410322
-45,"Max",5.58854085484451
-35,"Max",1.88222049901005
-25,"Max",1.88129258646603
-15,"Max",5.49123832458995
-5,"Max",5.56775238569238
5,"Max",5.63109008230081
15,"Max",5.5063759505509
25,"Max",5.63877885682524
35,"Max",5.50917908312229
45,"Max",5.66996398611253
55,"Max",5.59810976516246
65,"Max",1.89178829309977
75,"Max",1.88478748839987
85,"Max",5.61106774045295
95,"Max",5.54427768110505
105,"Max",5.62530900181744
115,"Max",5.55241615532624
125,"Max",1.89232800699805
135,"Max",5.54531839388413
145,"Max",5.56435503854312
155,"Max",5.66343752936306
165,"Max",3.78468976846661
175,"Max",5.62795043362273
185,"Max",5.54728425378346
195,"Max",7.50366270065288
-195,"P85",3.25441118748982
-185,"P85",10.2361410098802
-175,"P85",5.80454587744351
-165,"P85",7.86873989618368
-155,"P85",8.90121544962351
-145,"P85",3.88211717396315
-135,"P85",3.67066587356153
-125,"P85",1.84873949052645
-115,"P85",1.85076589318528
-105,"P85",3.32766152711828
-95,"P85",5.5562032362109
-85,"P85",3.32378524563252
-75,"P85",2.2105125234098
-65,"P85",3.36852175924721
-55,"P85",3.90573963744542
-45,"P85",5.56235051311623
-35,"P85",1.86239010043697
-25,"P85",1.87284265201714
-15,"P85",3.3274242871595
-5,"P85",3.35841551453491
5,"P85",3.38450296988625
15,"P85",3.32924413054768
25,"P85",5.60626809533928
35,"P85",3.33730071733907
45,"P85",5.62523533341345
55,"P85",3.37466912687538
65,"P85",1.88653483642307
75,"P85",1.87556062502764
85,"P85",3.37984474941888
95,"P85",3.35185277279338
105,"P85",5.57505979840454
115,"P85",5.54550086982473
125,"P85",1.8899259610453
135,"P85",3.91759652593939
145,"P85",3.36101178824923
155,"P85",5.60557953991324
165,"P85",3.21577585715653
175,"P85",3.38558231978373
185,"P85",3.90721275497072
195,"P85",6.39352231756082
-195,"Median",1.36727166701672
-185,"Median",2.73052393586529
-175,"Median",5.34996377333898
-165,"Median",0.00319775195114238
-155,"Median",1.80571005741034
-145,"Median",0.00102718303004661
-135,"Median",0.000460283621018569
-125,"Median",1.79520841706583
-115,"Median",1.81607882057788
-105,"Median",1.84058623441048
