"position.disgap","Type","LateralAcc"
-195,"Max",11.8775279591343
-185,"Max",5.80298602719534
-175,"Max",11.5928800547735
-165,"Max",11.5866593713324
-155,"Max",15.6280329535307
-145,"Max",9.64564679720852
-135,"Max",11.8812892117863
-125,"Max",5.8377981353403
-115,"Max",5.95296078517464
-105,"Max",22.0959425664309
-95,"Max",15.5804113174523
-85,"Max",20.2455322784595
-75,"Max",18.0475700295446
-65,"Max",7.96288000538167
-55,"Max",7.60889613557603
-45,"Max",11.9546199705794
-35,"Max",5.81904138051991
-25,"Max",5.78899098483902
-15,"Max",5.9810952806671
-5,"Max",11.5788064451333
5,"Max",13.5278327838474
15,"Max",7.41691546368107
25,"Max",19.0900437121007
35,"Max",11.9733340137391
45,"Max",12.4256764645863
55,"Max",12.9666411144629
65,"Max",11.4292937983377
75,"Max",11.9045056043384
85,"Max",15.1864777077223
95,"Max",11.5618489248015
105,"Max",10.9642147188489
115,"Max",5.59413959639228
125,"Max",11.5388160148528
135,"Max",18.8104654431025
145,"Max",14.7394467130357
155,"Max",5.57729229285499
165,"Max",5.88439741746195
175,"Max",8.8142044707762
185,"Max",11.4888714675934
195,"Max",5.8614963578608
-195,"P85",8.23289449737269
-185,"P85",5.79198266548436
-175,"P85",8.18854547897566
-165,"P85",10.6268170698594
-155,"P85",10.5098049881856
-145,"P85",9.5147585167909
-135,"P85",8.25301462458973
-125,"P85",5.80650257227095
-115,"P85",5.88446265396476
-105,"P85",12.4137952603713
-95,"P85",13.3913396775293
-85,"P85",15.5958493555412
-75,"P85",14.3850772388836
-65,"P85",7.85389695535956
-55,"P85",6.62838830084389
-45,"P85",9.44202494097569
-35,"P85",5.80017346510673
-25,"P85",5.71033472671892
-15,"P85",5.86687000431672
-5,"P85",9.13125552933699
5,"P85",12.1597087066474
15,"P85",6.5585432464837
25,"P85",14.3128247819641
35,"P85",11.7379446572664
45,"P85",8.41296768693458
55,"P85",11.0300083314592
65,"P85",8.14677375526657
75,"P85",8.18573329059057
85,"P85",13.2045846222302
95,"P85",11.4520220172976
105,"P85",7.94269680723348
115,"P85",5.52534498893659
125,"P85",8.00917111288876
135,"P85",10.8702786806823
145,"P85",14.3310160689502
155,"P85",5.49096719397828
165,"P85",5.72568436288011
175,"P85",6.97383109150671
185,"P85",11.311674431312
195,"P85",5.70204263236905
-195,"Median",5.77794745481712
-185,"Median",4.43546528826164
-175,"Median",5.79610721274368
-165,"Median",7.25502048104566
-155,"Median",5.81099151482394
