"position.disgap","Type","LateralAcc"
-195,"Max",1.77327355606167
-185,"Max",15.5604388985476
-175,"Max",11.2097887573511
-165,"Max",5.30382502634315
-155,"Max",16.1101525669376
-145,"Max",12.7741206243729
-135,"Max",1.77160818738563
-125,"Max",5.71494199487794
-115,"Max",0.0294002533595395
-105,"Max",0.954448550008276
-95,"Max",7.10118058734583
-85,"Max",23.4861182642989
-75,"Max",12.0078470309614
-65,"Max",0.0113108102376627
-55,"Max",5.74914580191399
-45,"Max",5.73991316396809
-35,"Max",2.77839907552519
-25,"Max",10.5408159243857
-15,"Max",11.0639126946886
-5,"Max",11.5049746555034
5,"Max",16.2516968390306
15,"Max",14.7244312169936
25,"Max",12.748949087689
35,"Max",14.7324279049295
45,"Max",11.5263555109717
55,"Max",16.2813899858556
65,"Max",7.8066097254838
75,"Max",10.4049159322151
85,"Max",5.4599413817749
95,"Max",10.6600229207627
105,"Max",5.58553957186999
115,"Max",11.1617584822172
125,"Max",5.48233160285518
135,"Max",5.36251855083967
145,"Max",10.3588381078669
155,"Max",12.0801943364019
165,"Max",11.0046023074503
175,"Max",11.181716846557
185,"Max",11.1887003321604
195,"Max",11.1786964598598
-195,"P85",0.710366736160193
-185,"P85",6.23005717070396
-175,"P85",5.62425256867099
-165,"P85",3.26216909117141
-155,"P85",7.54830018442814
-145,"P85",8.42576087177832
-135,"P85",1.73532822823729
-125,"P85",3.34983166089084
-115,"P85",0.0134732527670923
-105,"P85",0.778691911365109
-95,"P85",6.27526993346087
-85,"P85",16.1739109949838
-75,"P85",7.91952214337105
-65,"P85",0.00703853326665137
-55,"P85",5.42759468981365
-45,"P85",5.42593558703056
-35,"P85",2.19013518422623
-25,"P85",7.5504052603845
-15,"P85",5.57968983237434
-5,"P85",11.2764188664
5,"P85",13.406223750473
15,"P85",12.5705116240495
25,"P85",12.2026666958666
35,"P85",11.6801913296057
45,"P85",11.5174857010286
55,"P85",13.1999204820343
65,"P85",6.62803323162654
75,"P85",7.5079706101283
85,"P85",5.38033674752106
95,"P85",7.71481684816324
105,"P85",5.51672889624398
115,"P85",11.034140787928
125,"P85",5.40541363972732
135,"P85",5.25497504173596
145,"P85",8.33529666435384
155,"P85",9.30088856652471
165,"P85",7.7563658162667
175,"P85",7.77777554157933
185,"P85",10.9488862065442
195,"P85",7.78285141409398
-195,"Median",0.00132292110265312
-185,"Median",0.00300463954171951
-175,"Median",1.70295384715849
-165,"Median",1.83891560995729
-155,"Median",1.77006896600154
-145,"Median",5.30576120144418
-135,"Median",1.42606852586413
-125,"Median",1.7670762596126
-115,"Median",0.00264499292268285
-105,"Median",0.00529208001003793
-95,"Median",5.17789251374575
-85,"Median",1.90999301097405
-75,"Median",1.78210824540819
-65,"Median",0.00377471832402355
-55,"Median",1.85042429088994
-45,"Median",1.85310471083753
-35,"Median",0.0060343786169832
-25,"Median",5.23402447759029
-15,"Median",1.85467340737478
-5,"Median",1.80296950245174
5,"Median",8.34857561930934
15,"Median",5.757423429787
25,"Median",10.8535705600289
35,"Median",7.68344010639986
45,"Median",10.4287973301182
55,"Median",5.44427040388557
65,"Median",5.76167594929582
75,"Median",5.31500047881226
85,"Median",5.19860511738537
95,"Median",5.57918630532475
105,"Median",5.34130034720711
115,"Median",5.74763904853938
125,"Median",3.83033904288567
135,"Median",4.11316665705574
145,"Median",5.49220562190793
155,"Median",5.73896374109337
165,"Median",5.38443485532197
175,"Median",5.17284129313054
185,"Median",7.34688584836145
195,"Median",5.40726686683698
-195,"Avg",0.355271733344706
-185,"Avg",3.11529495845989
-175,"Avg",3.22871811779253
-165,"Avg",2.14997266623767
-155,"Avg",4.63944506231699
-145,"Avg",5.45577927653123
-135,"Avg",1.2470439557851
-125,"Avg",2.19488784158683
-115,"Avg",0.00733202130535451
-105,"Avg",0.324974730424269
-95,"Avg",4.23094918516431
-85,"Avg",7.94988594539704
-75,"Avg",4.37030216541658
-65,"Avg",0.00465710101287565
-55,"Avg",3.27284366248267
-45,"Avg",3.27175359110378
-35,"Avg",0.91732035850858
-25,"Avg",4.88970788962483
-15,"Avg",3.67840588701524
-5,"Avg",5.51387555420372
5,"Avg",9.93312426079529
15,"Avg",8.45327643926201
25,"Avg",10.3517970424155
35,"Avg",8.84800322932404
45,"Avg",9.94540363825436
55,"Avg",8.21125480557253
65,"Avg",5.80765243712792
75,"Avg",5.75443794048888
85,"Avg",4.7078047222351
95,"Avg",6.18389372871978
105,"Avg",4.83417687675311
115,"Avg",7.67936793225398
125,"Avg",4.36927704095855
135,"Avg",4.44239265843445
145,"Avg",6.40612782931835
155,"Avg",7.22734144869549
165,"Avg",6.19562066171221
175,"Avg",6.09505767291872
185,"Avg",8.04553297546408
195,"Avg",6.2186175433168
-195,"Min",0
-185,"Min",0.00123713054905995
-175,"Min",0.00132316081601241
-165,"Min",0.000848148263280389
-155,"Min",1.7081001174028
-145,"Min",1.77104457513525
-135,"Min",0
-125,"Min",0.00379318729275891
-115,"Min",0
-105,"Min",0
-95,"Min",1.39028842770172
-85,"Min",1.29526660493679
-75,"Min",1.10991132774462
-65,"Min",0.00112487763860683
-55,"Min",1.75995412154921
-45,"Min",1.7532180073407
-35,"Min",0
-25,"Min",1.31625977145818
-15,"Min",1.74749481227717
-5,"Min",1.3906691919476
5,"Min",6.53647788807055
15,"Min",5.22708899350524
25,"Min",5.76034624028016
35,"Min",5.57061670105109
45,"Min",7.42894509772341
55,"Min",2.88139042933569
65,"Min",4.17797595157346
75,"Min",3.63775372517119
85,"Min",3.71750199974175
95,"Min",3.46243302843099
105,"Min",3.46170003120464
115,"Min",5.18981847384201
125,"Min",3.45698401447888
135,"Min",3.72331490265916
145,"Min",3.82747349258578
155,"Min",5.37419306712134
165,"Min",3.82443306049793
175,"Min",4.30284899324754
