"position.disgap","Type","MaxLateralSpeed"
-195,"Max",0.197858310133629
-185,"Max",0.179458550030199
-175,"Max",0.10641341683403
-165,"Max",0.0987726322134475
-155,"Max",0.241608273988989
-145,"Max",0.241008386401199
-135,"Max",0.0506478436796841
-125,"Max",0.0761772973955533
-115,"Max",0.126994610574992
-105,"Max",0.146620248958308
-95,"Max",0.179899888272275
-85,"Max",0.148278601479079
-75,"Max",0.186117454414625
-65,"Max",0.224951525656125
-55,"Max",0.220383184214857
-45,"Max",0.363376561396561
-35,"Max",0.404885858776624
-25,"Max",0.175427141833988
-15,"Max",0.178390386363957
-5,"Max",0.0239688244364254
5,"Max",-0.0390005769317011
15,"Max",0.139598795912335
25,"Max",0.259406531968335
35,"Max",0.353884765649764
45,"Max",-0.697932174691615
55,"Max",-0.516361473796563
65,"Max",-0.235321000694489
75,"Max",-0.179731496384005
85,"Max",0.0430295722403871
95,"Max",0.0860413051323108
105,"Max",0.130447293000843
115,"Max",0.197860019928396
125,"Max",0.223186941763246
135,"Max",0.337151416942886
145,"Max",0.392234263774303
155,"Max",0.420853015589554
165,"Max",0.24412669541304
175,"Max",0.230404993332112
185,"Max",0.285801699858214
195,"Max",0.287105964400479
-195,"P85",0.104645896046948
-185,"P85",0.055405788468049
-175,"P85",0.104271828409545
-165,"P85",0.0905849633035588
-155,"P85",0.161796412383416
-145,"P85",0.220569064125348
-135,"P85",0.0346694697391677
-125,"P85",0.072061916562895
-115,"P85",0.126409049018191
-105,"P85",0.144524884711328
-95,"P85",0.111804442876884
-85,"P85",0.0971901151453713
-75,"P85",0.149504043380044
-65,"P85",0.189242363597725
-55,"P85",0.114463592850151
-45,"P85",0.213324302597651
-35,"P85",0.230963653660562
-25,"P85",0.16777474635108
-15,"P85",0.176138149205182
-5,"P85",0.00857529413072309
5,"P85",-0.0531898277185987
15,"P85",0.128004006611816
25,"P85",-0.778012595663473
35,"P85",-0.463594401367699
45,"P85",-0.708284476564127
55,"P85",-0.558881641210146
65,"P85",-0.295366113438058
75,"P85",-0.233674475854943
85,"P85",-0.162459357967909
95,"P85",-0.118997725845294
105,"P85",-0.0751138087156055
115,"P85",-0.0321042711424886
125,"P85",0.100244308341357
135,"P85",0.268893281826092
145,"P85",0.186011621134782
155,"P85",-0.00384373438644747
165,"P85",-0.151768420722156
175,"P85",-0.122381183003993
185,"P85",0.0850449844477275
195,"P85",0.266880386085971
-195,"Median",0.0485593897771253
-185,"Median",0.013667551538556
-175,"Median",-0.0461770006964874
-165,"Median",-0.0476756430922743
-155,"Median",0.101804641767523
-145,"Median",0.0651161675365757
-135,"Median",0.00851897040767802
-125,"Median",0.0653598745929181
-115,"Median",0.103319046250932
-105,"Median",0.0794554575552968
-95,"Median",0.0548298239323631
-85,"Median",-0.127096218835071
-75,"Median",-0.0845993462194728
-65,"Median",-0.0612164366660041
-55,"Median",0.0107485937737404
-45,"Median",0.116699908916691
-35,"Median",0.150623007892665
-25,"Median",0.161415493769017
-15,"Median",0.0947328997195438
-5,"Median",-0.0257768343282717
5,"Median",-0.223681624005031
15,"Median",-0.554346751452775
25,"Median",-1.18329870752722
35,"Median",-0.965845087897437
45,"Median",-1.05466333192759
55,"Median",-0.72408614755688
65,"Median",-0.445039653622109
75,"Median",-0.391852536746005
85,"Median",-0.361026537533756
95,"Median",-0.326616006147049
105,"Median",-0.314874981104322
115,"Median",-0.377161292197322
125,"Median",-0.336012771818095
135,"Median",-0.48386250498059
145,"Median",-0.520899041557067
155,"Median",-0.488336823445212
165,"Median",-0.533288059467696
175,"Median",-0.412597044485845
185,"Median",-0.194689031779234
195,"Median",-0.00964351074242023
-195,"Avg",-0.0038773539407449
-185,"Avg",-0.0211187667205446
-175,"Avg",-0.00887386868902142
-165,"Avg",-0.0465938252300343
-155,"Avg",0.0546738584043963
-145,"Avg",0.0804658165137158
-135,"Avg",0.0049773062404533
-125,"Avg",0.0628381110452152
-115,"Avg",0.0678445197283022
-105,"Avg",0.0661871161371878
-95,"Avg",-0.0122621400792004
-85,"Avg",-0.130363379774544
-75,"Avg",-0.112487276711967
-65,"Avg",-0.0805718897058861
-55,"Avg",-0.0345343143063701
-45,"Avg",0.0521429181976396
-35,"Avg",0.074988924073655
-25,"Avg",-0.0111140874947218
-15,"Avg",-0.0669462729347418
-5,"Avg",-0.184320424667557
5,"Avg",-0.375595054281138
15,"Avg",-0.595083591497763
25,"Avg",-0.963937462784253
35,"Avg",-0.823584488492842
45,"Avg",-1.0384443221394
