"position.disgap","Type","MaxLateralSpeed"
-195,"Max",0.344049953381125
-185,"Max",0.29021260788137
-175,"Max",0.244501750628941
-165,"Max",0.188645325281516
-155,"Max",0.132668587466586
-145,"Max",0.0766794427196281
-135,"Max",0.0206155589468297
-125,"Max",0.3077378368822
-115,"Max",0.363505679213043
-105,"Max",0.447140110464021
-95,"Max",0.503385641221469
-85,"Max",0.503517561587731
-75,"Max",0.326179025937174
-65,"Max",0.149396289927207
-55,"Max",-0.125652278477824
-45,"Max",-0.0691665137396758
-35,"Max",-0.0419467826239947
-25,"Max",0.0128572639194807
-15,"Max",0.0963521768009728
-5,"Max",0.152153642501826
5,"Max",0.204892185380657
15,"Max",0.204946593201376
25,"Max",0.0607976918215139
35,"Max",0.117540646852475
45,"Max",0.17430880860527
55,"Max",0.202713972649627
65,"Max",0.0538129544544761
75,"Max",0.0822177991140946
85,"Max",0.0595069150558021
95,"Max",0.116296119043067
105,"Max",0.116296119043067
115,"Max",-0.031951544434869
125,"Max",0.0240368500824009
135,"Max",0.0808097022630367
145,"Max",0.164458241927343
155,"Max",0.192621651519543
165,"Max",0.0189741777316758
175,"Max",0.0756547489542687
185,"Max",0.132298101626863
195,"Max",0.238767067591858
-195,"P85",0.194000963671568
-185,"P85",0.27954604439218
-175,"P85",0.23958213169347
-165,"P85",0.18486596981511
-155,"P85",0.130013677247431
-145,"P85",0.0756560329841368
-135,"P85",0.0203535334055391
-125,"P85",0.152316773847553
-115,"P85",0.190518480920053
-105,"P85",0.119869819401898
-95,"P85",0.190544142053649
-85,"P85",0.224363659500228
-75,"P85",0.170330853047254
-65,"P85",-0.0631124904219933
-55,"P85",-0.140662693548198
-45,"P85",-0.0864818645131368
-35,"P85",-0.0423638301182525
-25,"P85",0.0127303304662582
-15,"P85",0.0789871952763622
-5,"P85",0.150724689914224
5,"P85",0.190031448660461
15,"P85",0.08444699241765
25,"P85",0.0602742470628291
35,"P85",0.116552752297337
45,"P85",0.171385674432262
55,"P85",0.0793687386056081
65,"P85",0.0529767148393099
75,"P85",0.0345222199399047
85,"P85",0.0422564811857027
95,"P85",-0.0391034802460883
105,"P85",0.0106757790222859
115,"P85",-0.0319914214266312
125,"P85",0.0238921861842408
135,"P85",0.080352697430236
145,"P85",0.148314275783036
155,"P85",0.176598592877897
165,"P85",0.0189498234178172
175,"P85",0.0755649439192421
185,"P85",0.132153722308033
195,"P85",0.225578099076618
-195,"Median",0.0916632300140708
-185,"Median",0.0363088531721686
-175,"Median",-0.0171328572279342
-165,"Median",-0.0707012717700994
-155,"Median",0.102300274650242
-145,"Median",0.0749433047093677
-135,"Median",0.0201647667245155
-125,"Median",0.0476723836918569
-115,"Median",-0.152139084960232
-105,"Median",-0.0990559607026602
-95,"Median",-0.0713533980640366
-85,"Median",-0.312688445850773
-75,"Median",-0.258786906181248
-65,"Median",-0.208448713526377
-55,"Median",-0.15456945486317
-45,"Median",-0.098946380735916
-35,"Median",-0.270137939523845
-25,"Median",-0.215504950003576
-15,"Median",-0.160850965238808
-5,"Median",-0.105976338187384
5,"Median",-0.0802917606273189
15,"Median",0.0040535265376764
25,"Median",0.0590568750123208
35,"Median",0.114215584726711
45,"Median",-0.0868138992154177
55,"Median",-0.0308978540612678
65,"Median",-0.00292690023723901
75,"Median",0.00270314639960424
85,"Median",0.0303530596066062
95,"Median",-0.142830826024186
105,"Median",-0.0873402034684105
115,"Median",-0.0324034160020747
125,"Median",0.0234740121128968
135,"Median",0.0789406486332203
145,"Median",0.134414233824
155,"Median",-0.0369204894800922
165,"Median",0.018826674350467
175,"Median",0.0751200544748999
185,"Median",0.130202251634795
195,"Median",0.212692752081471
-195,"Avg",0.0718289020405424
-185,"Avg",-0.00615055586929455
-175,"Avg",0.00436972017253252
-165,"Avg",0.0257075106559872
-155,"Avg",0.0223549129045861
-145,"Avg",0.0245000034710745
-135,"Avg",-0.0302747134277347
-125,"Avg",0.0436613696925078
-115,"Avg",-0.00503627786174419
-105,"Avg",0.00945692441830476
-95,"Avg",0.0345416767926727
-85,"Avg",-0.080771632244043
-75,"Avg",-0.0780133994067584
-65,"Avg",-0.147319698081849
-55,"Avg",-0.198655044410405
-45,"Avg",-0.149220004315236
-35,"Avg",-0.18742119879971
-25,"Avg",-0.132051188454408
-15,"Avg",-0.0766667047855465
-5,"Avg",-0.00429996611671574
5,"Avg",0.0235806443882452
15,"Avg",-0.0588077253946118
25,"Avg",-0.0432606981156425
35,"Avg",0.00707089319117144
45,"Avg",-0.00423554176451715
55,"Avg",0.00599019548563124
65,"Avg",-0.00605498011898194
75,"Avg",0.0130651855317909
85,"Avg",-0.0670963575788384
95,"Avg",-0.091945056438133
105,"Avg",-0.0936778311079456
115,"Avg",-0.084335551108633
125,"Avg",-0.0620535737767894
135,"Avg",-0.0458196429579051
145,"Avg",0.027166643891825
155,"Avg",0.0209967870157724
165,"Avg",0.0132388835207363
175,"Avg",0.0749408241326314
185,"Avg",0.119837982077393
195,"Avg",0.197400058823318
-195,"Min",-0.26016334190479
-185,"Min",-0.314916606628916
-175,"Min",-0.369650261595765
-165,"Min",-0.0995590909935136
-155,"Min",-0.127014148688627
-145,"Min",-0.178233781584774
-135,"Min",-0.232266539569503
-125,"Min",-0.205752550357123
-115,"Min",-0.158433433987013
-105,"Min",-0.102308292610966
-95,"Min",-0.169437624038077
-85,"Min",-0.318421010661324
-75,"Min",-0.263491331699192
-65,"Min",-0.260399856211167
-55,"Min",-0.406255464122863
-45,"Min",-0.351965059890083
-35,"Min",-0.304043046415247
-25,"Min",-0.248302077558691
-15,"Min",-0.193784516144233
-5,"Min",-0.109060865715202
5,"Min",-0.106026522148394
15,"Min",-0.256433396016798
25,"Min",-0.200283133190269
35,"Min",-0.168306619451308
45,"Min",-0.19053450598351
55,"Min",-0.107841700766584
65,"Min",-0.0802379220461782
75,"Min",-0.0249876703816313
85,"Min",-0.230542310999996
95,"Min",-0.145826677831504
105,"Min",-0.349023630078474
115,"Min",-0.292571311895653
125,"Min",-0.349548873494502
135,"Min",-0.292908317538918
145,"Min",-0.207915659794302
155,"Min",-0.179572629904245
165,"Min",-0.00917974094574618
175,"Min",0.074034882287178
185,"Min",0.0751063885435483
195,"Min",0.15813425182377
