"position.disgap","Type","MaxLateralSpeed"
-195,"Max",0.672348288267847
-185,"Max",0.640493383017642
-175,"Max",0.579928800313027
-165,"Max",0.519456764887008
-155,"Max",0.45336950584362
-145,"Max",0.171276803477779
-135,"Max",0.193656903324463
-125,"Max",0.309970402266039
-115,"Max",0.257596842854503
-105,"Max",0.198337646006916
-95,"Max",0.138849323125287
-85,"Max",0.106802659343615
-75,"Max",0.109138492482639
-65,"Max",0.422948837329339
-55,"Max",0.333464656162688
-45,"Max",0.273885914121039
-35,"Max",0.273924728440177
-25,"Max",0.184280563062253
-15,"Max",0.380101525029141
-5,"Max",0.912396058392642
5,"Max",0.709478566634924
15,"Max",0.679040804206567
25,"Max",0.59777834873076
35,"Max",0.569963800868503
45,"Max",0.486416349005032
55,"Max",0.419413222348368
65,"Max",0.419285881579113
75,"Max",0.361454111439642
85,"Max",0.2818565524319
95,"Max",0.233426252054906
105,"Max",0.411161999024709
115,"Max",0.354157188702755
125,"Max",0.353265438577109
135,"Max",0.579928901729638
145,"Max",0.579941167061161
155,"Max",0.181020232061055
165,"Max",0.129211794257765
175,"Max",0.0428664737967579
185,"Max",0.211933854484863
195,"Max",0.301671180714177
-195,"P85",0.526391501671846
-185,"P85",0.479909860336098
-175,"P85",0.420744180027805
-165,"P85",0.379307199097536
-155,"P85",0.302070799755828
-145,"P85",0.170769497315862
-135,"P85",0.146176907523309
-125,"P85",0.278482946230246
-115,"P85",0.236286433468408
-105,"P85",0.194839566818805
-95,"P85",0.137109575440778
-85,"P85",0.10567681161676
-75,"P85",0.0726918089608452
-65,"P85",0.197626460580068
-55,"P85",0.319408031555741
-45,"P85",0.262273522384049
-35,"P85",0.24566779107912
-25,"P85",0.163874318708765
-15,"P85",0.244685735133186
-5,"P85",0.583129051749228
5,"P85",0.502026045285345
15,"P85",0.630280922150473
25,"P85",0.421803997594357
35,"P85",0.333462341160443
45,"P85",0.282005192504207
55,"P85",0.409095919734362
65,"P85",0.4089013008327
75,"P85",0.349723309578383
85,"P85",0.277328171736242
95,"P85",0.226642624512031
105,"P85",0.262005851060813
115,"P85",0.340620724702366
125,"P85",0.340234025106846
135,"P85",0.392715101179828
145,"P85",0.361465118462151
155,"P85",0.167268811895994
165,"P85",0.110105905999685
175,"P85",0.0422439647064374
185,"P85",0.0762655287154489
195,"P85",0.0941460730052155
-195,"Median",0.41590000903225
-185,"Median",0.359319999009314
-175,"Median",0.314547587432534
-165,"Median",0.256609448641029
-155,"Median",0.199229357157715
-145,"Median",0.169529653597737
-135,"Median",0.112436632453138
-125,"Median",0.0833602294947133
-115,"Median",-0.00413815008579469
-105,"Median",-0.0909187304770906
-95,"Median",0.10546832396442
-85,"Median",0.0792969167899991
-75,"Median",0.0188174728218306
-65,"Median",0.019167860646149
-55,"Median",-0.038344242257969
-45,"Median",0.203481618012581
-35,"Median",0.208440681963178
-25,"Median",0.146275053202002
-15,"Median",0.117667091867834
-5,"Median",0.124550011592957
5,"Median",0.117084339840824
15,"Median",0.2336694622825
25,"Median",0.204749555137438
35,"Median",0.174734906824409
45,"Median",0.121807470895934
55,"Median",0.196775660073383
65,"Median",0.0306676009832196
75,"Median",-0.025836708202683
85,"Median",0.233615395554882
95,"Median",0.216433335724503
105,"Median",0.158454143461744
115,"Median",0.132705633089407
125,"Median",0.292542380639163
135,"Median",0.244812054860143
145,"Median",0.176578372528482
155,"Median",0.149184236696398
165,"Median",0.0948844796396924
175,"Median",0.0415906327149708
185,"Median",-0.0146068315891482
195,"Median",-0.068238840383169
-195,"Avg",0.385563854297328
-185,"Avg",0.322490240061464
-175,"Avg",0.292227690058826
