"position.disgap","Type","MaxLateralSpeed"
-195,"Max",0.109955967086338
-185,"Max",0.0863824865609058
-175,"Max",0.109873942161189
-165,"Max",0.114026255899338
-155,"Max",0.11796089104729
-145,"Max",0.118059017170734
-135,"Max",0.118011510075687
-125,"Max",0.118122773883565
-115,"Max",0.0896420618502072
-105,"Max",0.118256629124914
-95,"Max",0.118403207302819
-85,"Max",0.118456046452465
-75,"Max",0.330053178887032
-65,"Max",0.330145270112384
-55,"Max",0.358995773780968
-45,"Max",0.359168928365841
-35,"Max",0.330712485809891
-25,"Max",0.489217019327663
-15,"Max",0.489217019327663
-5,"Max",0.561268346319344
5,"Max",0.12984362159267
15,"Max",0.101095637057269
25,"Max",0.125618761976575
35,"Max",0.145692318961931
45,"Max",0.146027579309972
55,"Max",0.0978739640326339
65,"Max",0.265891495932484
75,"Max",0.239662041725079
85,"Max",0.266499801955845
95,"Max",0.260031428215879
105,"Max",0.267168352151973
115,"Max",0.168976644841747
125,"Max",0.0962650403179243
135,"Max",0.147693648683593
145,"Max",0.121137949334054
155,"Max",0.116768917944749
165,"Max",0.151637944180252
175,"Max",0.0967344514096578
185,"Max",0.124304226251513
195,"Max",0.152067436983174
-195,"P85",0.0937092512043879
-185,"P85",0.0845772663395501
-175,"P85",0.107265251106183
-165,"P85",0.10905179691919
-155,"P85",0.115676227738161
-145,"P85",0.115757374252727
-135,"P85",0.112978480082077
-125,"P85",0.113007317609404
-115,"P85",0.085641393916855
-105,"P85",0.0958773096060698
-95,"P85",-0.0199487398085303
-85,"P85",0.113602918441534
-75,"P85",0.200815586963093
-65,"P85",0.184253926874195
-55,"P85",0.212463129890056
-45,"P85",0.21254575883321
-35,"P85",0.201197442999875
-25,"P85",0.264599256406984
-15,"P85",0.264660280736231
-5,"P85",0.30548064178965
5,"P85",-0.00912678993611198
15,"P85",0.0801751281505842
25,"P85",0.121727550430396
35,"P85",0.13367771735225
45,"P85",0.100404760744618
55,"P85",0.0940041518245223
65,"P85",0.215820336835244
75,"P85",0.236543302948899
85,"P85",0.262768114289821
95,"P85",0.248140202662463
105,"P85",0.262853168591354
115,"P85",0.155966523889904
125,"P85",0.0949145497435119
135,"P85",0.133305177255024
145,"P85",0.11856096559467
155,"P85",0.104605735989409
165,"P85",0.13069386348099
175,"P85",0.0931922928546552
185,"P85",0.119693316643772
195,"P85",0.130753257910289
-195,"Median",0.0797630853504749
-185,"Median",0.0829575029469042
-175,"Median",0.086459317317394
-165,"Median",0.0832419617858957
-155,"Median",0.109757258997577
-145,"Median",0.109687767501769
-135,"Median",0.10610332939115
-125,"Median",0.106375835450295
-115,"Median",0.0808783716131523
-105,"Median",-0.114720348784378
-95,"Median",-0.115634796838696
-85,"Median",0.0868872674449901
-75,"Median",0.11050378262652
-65,"Median",0.0840558353787284
-55,"Median",0.11108408266591
-45,"Median",0.111290187544174
-35,"Median",0.111486661590244
-25,"Median",0.111543742389104
-15,"Median",0.111797333576411
-5,"Median",0.114975586911989
5,"Median",-0.10471108118342
15,"Median",-0.10762197976494
25,"Median",0.101146738876408
35,"Median",-0.100862242998878
45,"Median",-0.111423442212666
55,"Median",0.0666088997939444
65,"Median",0.0699905264426518
75,"Median",-0.135648198825273
85,"Median",-0.105506737547845
95,"Median",-0.132901417102072
105,"Median",-0.105758217759988
115,"Median",0.0961691313920991
125,"Median",0.0910524117759976
135,"Median",0.0910331557866884
145,"Median",0.0964675929278837
155,"Median",-0.110952885807989
165,"Median",-0.0771325662728634
175,"Median",-0.104196606975
185,"Median",-0.0801065852855418
195,"Median",-0.104445145145125
-195,"Avg",-0.0355458918300658
-185,"Avg",0.00581690108305297
-175,"Avg",0.0219141188167062
-165,"Avg",-0.0175033229936632
-155,"Avg",0.0665521113783735
-145,"Avg",0.0665860491777284
-135,"Avg",-0.0140811346466746
-125,"Avg",-0.0140706349801946
-115,"Avg",-0.0650353676666754
-105,"Avg",-0.0989504791063035
-95,"Avg",-0.126486554004508
-85,"Avg",-0.0378952312431085
-75,"Avg",0.00994425518535982
-65,"Avg",-0.0113264599205571
-55,"Avg",0.0157990635294075
-45,"Avg",0.0158465999517932
-35,"Avg",-0.000260797368111412
-25,"Avg",0.0418464083164267
-15,"Avg",0.0698008775423369
-5,"Avg",0.134034716633555
5,"Avg",-0.134455190805435
15,"Avg",-0.117385831844638
25,"Avg",-0.0729705387567564
35,"Avg",-0.0606485095679128
