"position.disgap","Type","LongitudinalAcc"
-195,"Max",0.672781414042964
-185,"Max",0.666589105328771
-175,"Max",0.399999136172875
-165,"Max",0.495898934942492
-155,"Max",0.378670427060002
-145,"Max",0.401564878172503
-135,"Max",0.503069416644411
-125,"Max",0.999987890910447
-115,"Max",0.675439435857942
-105,"Max",0.681234054871689
-95,"Max",0.515141954558088
-85,"Max",0.666621423353926
-75,"Max",0.518343844441854
-65,"Max",0.399995429518407
-55,"Max",1.99998992433774
-45,"Max",0.666247958518454
-35,"Max",0.39999996071594
-25,"Max",0.522011957763388
-15,"Max",0.561075137839295
-5,"Max",0.649583396775098
5,"Max",0.517328466755744
15,"Max",0.214302672225107
25,"Max",0.203240325916017
35,"Max",0.0404450898355803
45,"Max",0.193592934710452
55,"Max",0.0330931260746877
65,"Max",0.677944524322788
75,"Max",0.802490312500501
85,"Max",0.680282550663263
95,"Max",0.999433716688557
105,"Max",0.805379922938042
115,"Max",1.85896849586156
125,"Max",1.06283441680731
135,"Max",0.829047260226712
145,"Max",0.973112083773661
155,"Max",1.94712813836765
165,"Max",0.666396596251963
175,"Max",1.03195584310663
185,"Max",2.05761256504121
195,"Max",0.80660367443334
-195,"P85",0.541715143007904
-185,"P85",0.33293401136213
-175,"P85",0.399964896012941
-165,"P85",0.373973682260272
-155,"P85",0.344665876286396
-145,"P85",0.350344097888251
-135,"P85",0.425764285619948
-125,"P85",0.62496372376776
-115,"P85",0.548944841161003
-105,"P85",0.680963482045305
-95,"P85",0.513366650162495
-85,"P85",0.553950987880618
-75,"P85",0.429565654522053
-65,"P85",0.349606326320271
-55,"P85",0.87445687805769
-45,"P85",0.465909225439925
-35,"P85",0.349820572280491
-25,"P85",0.459582182603864
-15,"P85",0.39025305268936
-5,"P85",0.537391030840059
5,"P85",0.43649723673043
15,"P85",0.091031460134722
25,"P85",0.10713841645996
35,"P85",0.0301345962600682
45,"P85",0.0886873356722746
55,"P85",0.0294756143053181
65,"P85",0.283586141554622
75,"P85",0.231651249566444
85,"P85",0.338120160734849
95,"P85",0.347505731899787
