"position.disgap","Type","LongitudinalAcc"
-195,"Max",1.29273613674574
-185,"Max",0.725582101006188
-175,"Max",0.859453571153613
-165,"Max",0.703846949927752
-155,"Max",0.234320117364675
-145,"Max",0.375606733632367
-135,"Max",1.87952172888999
-125,"Max",0.66973993090461
-115,"Max",0.613856757226083
-105,"Max",0.6175933151123
-95,"Max",1.88031264745832
-85,"Max",0.466259206474964
-75,"Max",1.87945751834093
-65,"Max",1.86667061329714
-55,"Max",0.466266381428217
-45,"Max",1.86378774571266
-35,"Max",0.62001001819813
-25,"Max",0.619004682410059
-15,"Max",0.621543464867213
-5,"Max",0.469889861275051
5,"Max",1.85321906036106
15,"Max",0.465086300111818
25,"Max",0.651728226051833
35,"Max",1.85545973810575
45,"Max",1.85162059375967
55,"Max",0.617092528627782
65,"Max",1.85166425348866
75,"Max",0.617069481047226
85,"Max",1.8450389652858
95,"Max",0.622460671382515
105,"Max",1.8179574854083
115,"Max",0.609909306005425
125,"Max",0.614277185959688
135,"Max",0.623981159868804
145,"Max",1.83742801509961
155,"Max",1.83629171195772
165,"Max",0.611682276287304
175,"Max",0.614990298790105
185,"Max",0.626299783236174
195,"Max",1.82689678186303
-195,"P85",1.28955395895918
-185,"P85",0.428089021782191
-175,"P85",0.773878112459597
-165,"P85",0.49559830095556
-155,"P85",0.233182720584536
-145,"P85",0.287472630480642
-135,"P85",1.1547205695276
-125,"P85",0.308140601165117
-115,"P85",0.392038226461726
-105,"P85",0.528053003959132
-95,"P85",1.12586669766191
-85,"P85",0.420489559381876
-75,"P85",1.87577637880011
-65,"P85",0.925552124868244
-55,"P85",0.416354607650775
-45,"P85",1.86316262578159
-35,"P85",0.319937505501625
-25,"P85",0.618850983154567
-15,"P85",0.471307682364911
-5,"P85",0.201193910072813
5,"P85",1.11359978370773
15,"P85",0.446047717919577
25,"P85",0.63229872137051
35,"P85",1.85233029332137
45,"P85",1.11165134332269
55,"P85",0.59117273376237
65,"P85",1.84874466912686
75,"P85",0.463233331191565
85,"P85",1.0148283629378
95,"P85",0.375284632090838
105,"P85",1.09628330396646
115,"P85",0.520480004541378
125,"P85",0.521635890589802
135,"P85",0.525343249211454
145,"P85",1.10899454699636
155,"P85",1.01039046260556
165,"P85",0.611371905863684
175,"P85",0.612388364093389
185,"P85",0.621577527501427
195,"P85",1.09797791317931
-195,"Median",0.678303978457868
-185,"Median",0.178571157582559
-175,"Median",0.709526679405249
-165,"Median",0.174127817671968
-155,"Median",0.00764672808202945
-145,"Median",0.228365049047968
-135,"Median",0.170878800333951
-125,"Median",0.0518171521134526
-115,"Median",0.148988986107892
-105,"Median",0.327525394071358
-95,"Median",0.409198394450189
-85,"Median",0.302869536411441
-75,"Median",1.86369263463134
-65,"Median",0.207430649547566
-55,"Median",0.0328548738046962
-45,"Median",0.0223762407060439
-35,"Median",0.018922893683536
-25,"Median",0.360379529614691
-15,"Median",0.0412997945261771
-5,"Median",0.00723473859452587
5,"Median",0.0929462491376023
15,"Median",0.308794172781704
25,"Median",0.618683823155753
35,"Median",0.222338612694759
45,"Median",0.617705394165657
55,"Median",0.462844355780122
65,"Median",0.463012918925786
75,"Median",0.357526994211661
85,"Median",0.27127588942413
95,"Median",0.177371870744779
105,"Median",0.610984512396666
115,"Median",0.262177980981154
125,"Median",0.457219655113466
135,"Median",0.45728324422824
145,"Median",0.613044014809663
155,"Median",0.261056462011371
165,"Median",0.458912132891305
175,"Median",0.458525789784998
185,"Median",0.610844855139292
195,"Median",0.610629667496536
-195,"Avg",0.822628117371039
-185,"Avg",0.231835404317212
-175,"Avg",0.476440315917361
-165,"Avg",0.24694812718143
-155,"Avg",0.0962570393903589
-145,"Avg",0.209420797791601
-135,"Avg",0.54602325181254
-125,"Avg",0.157997611912049
-115,"Avg",0.203967053645351
-105,"Avg",0.341465715945537
-95,"Avg",0.646657373492235
-85,"Avg",0.282477656145392
-75,"Avg",1.25250283999233
-65,"Avg",0.521350418288343
-55,"Avg",0.182770277234544
-45,"Avg",0.749781973115915
-35,"Avg",0.15402484072723
-25,"Avg",0.369078791421064
-15,"Avg",0.207228250562526
-5,"Avg",0.0998375751615128
5,"Avg",0.515885638426396
15,"Avg",0.241447160536988
25,"Avg",0.491707975024733
35,"Avg",0.789624937928786
45,"Avg",0.671905020549527
55,"Avg",0.364173766790576
65,"Avg",0.978455192844655
75,"Avg",0.30292400726179
85,"Avg",0.560593199008847
95,"Avg",0.206638426348113
105,"Avg",0.7758439038373
115,"Avg",0.296865326969794
125,"Avg",0.332427283423093
135,"Avg",0.432742045343953
145,"Avg",0.65521577469587
155,"Avg",0.551947298812405
165,"Avg",0.392717279412886
175,"Avg",0.443834066061097
185,"Avg",0.479120614940761
195,"Avg",0.724775911457697
-195,"Min",0.230839574179926
-185,"Min",0.00153025811992456
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0.014588430580789
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0.00745511694002437
