"position.disgap","Type","LongitudinalAcc"
-195,"Max",0.679401148425293
-185,"Max",0.606788378977755
-175,"Max",0.705025121515986
-165,"Max",0.596160459431849
-155,"Max",0.594681873739211
-145,"Max",0.87669431509942
-135,"Max",1.75702416697321
-125,"Max",0.589654961083119
-115,"Max",0.613712536049818
-105,"Max",0.614257309042638
-95,"Max",0.747239541918501
-85,"Max",1.85607394357232
-75,"Max",0.607290130655946
-65,"Max",1.44238508836867
-55,"Max",0.599999155670594
-45,"Max",0.607184813856753
-35,"Max",1.77338716792993
-25,"Max",1.74221482898903
-15,"Max",1.80059441398889
-5,"Max",1.78084111390382
5,"Max",1.78493821190691
15,"Max",1.78674358002137
25,"Max",1.89343529395773
35,"Max",1.77958628506059
45,"Max",0.445647648762293
55,"Max",0.466537560821517
65,"Max",1.71619532525483
75,"Max",0.594655642124523
85,"Max",1.78551272323527
95,"Max",0.476809201423395
105,"Max",0.89500101350534
115,"Max",1.91887206232677
125,"Max",0.923432802420039
135,"Max",0.62964037125963
145,"Max",0.346612062972796
155,"Max",0.606265600598946
165,"Max",1.79831337724615
175,"Max",0.602217557218624
185,"Max",0.608091313417442
195,"Max",0.626424073905198
-195,"P85",0.635037882907728
-185,"P85",0.606253394870454
-175,"P85",0.631341550088152
-165,"P85",0.588188193892427
-155,"P85",0.594483979627376
-145,"P85",0.703912355067565
-135,"P85",1.05759213257405
-125,"P85",0.586883776752933
-115,"P85",0.596918706405135
-105,"P85",0.604517255635126
-95,"P85",0.662092188500881
-85,"P85",1.80176094773664
-75,"P85",0.604389904807738
-65,"P85",0.805296282144712
-55,"P85",0.513218044413409
-45,"P85",0.588551809479418
-35,"P85",1.08016207392658
-25,"P85",1.05046787063122
-15,"P85",1.10539710189649
-5,"P85",0.978527777497779
5,"P85",1.22562399048673
15,"P85",1.06922892008387
25,"P85",1.82348961938521
35,"P85",1.72529045947439
45,"P85",0.358591309858298
55,"P85",0.367090017032976
65,"P85",1.2252019698988
75,"P85",0.570152675099182
85,"P85",1.23564990106817
95,"P85",0.431120185298639
105,"P85",0.756024814556921
115,"P85",1.84964191073616
125,"P85",0.479342901909983
135,"P85",0.620543828069747
145,"P85",0.318344131550099
155,"P85",0.417299790878126
165,"P85",1.08344652559852
175,"P85",0.601572663574999
185,"P85",0.604862335435937
195,"P85",0.604661859819303
-195,"Median",0.594701454625812
-185,"Median",0.590174018537441
-175,"Median",0.476160696816775
-165,"Median",0.574189296375235
-155,"Median",0.382267519042654
-145,"Median",0.342410942331608
-135,"Median",0.324363263640954
-125,"Median",0.319003359696038
-115,"Median",0.316011169167029
-105,"Median",0.578973341251514
-95,"Median",0.594694542065096
-85,"Median",1.75299892003213
-75,"Median",0.589072545059799
-65,"Median",0.285435714135207
-55,"Median",0.449932858819681
-45,"Median",0.443566078546009
-35,"Median",0.464647209755768
-25,"Median",0.29594381297996
-15,"Median",0.585885281887559
-5,"Median",0.424888167599629
5,"Median",0.593291723065732
15,"Median",0.492487742311907
25,"Median",0.604778049445993
35,"Median",0.605709932420454
45,"Median",0.268685119832421
55,"Median",0.299895893355036
65,"Median",0.620813705491206
75,"Median",0.457559326042066
85,"Median",0.312896402288002
95,"Median",0.224707969867178
105,"Median",0.308019281950784
115,"Median",1.79744876837965
125,"Median",0.0979826023724154
135,"Median",0.294144982994253
145,"Median",0.295153399884672
155,"Median",0.0137630752673104
165,"Median",0.287752035389596
175,"Median",0.442764061998571
185,"Median",0.600871650139563
195,"Median",0.451211327929695
-195,"Avg",0.536440346971109
-185,"Avg",0.48613792752562
-175,"Avg",0.439147266538167
-165,"Avg",0.483657243281149
-155,"Avg",0.387605351813312
-145,"Avg",0.429422012008041
-135,"Avg",0.600991609534158
-125,"Avg",0.361843944022323
-115,"Avg",0.344891163066435
-105,"Avg",0.431241947172101
