"position.disgap","Type","LongitudinalAcc"
-195,"Max",0.562314143600455
-185,"Max",1.48341484540393
-175,"Max",0.920378061049721
-165,"Max",0.562861959185824
-155,"Max",0.920051483333806
-145,"Max",0.42256379159656
-135,"Max",1.09637362034533
-125,"Max",0.920219198479754
-115,"Max",1.69192869694411
-105,"Max",1.68870109527018
-95,"Max",0.691000877905441
-85,"Max",1.06796597100021
-75,"Max",0.563889385473749
-65,"Max",0.92052291134918
-55,"Max",1.0240317404945
-45,"Max",0.689149368679326
-35,"Max",1.68429913231247
-25,"Max",1.67025190924131
-15,"Max",0.563802363416751
-5,"Max",0.690312889503725
5,"Max",1.67164208521352
15,"Max",0.555886563215593
25,"Max",1.17182770599022
35,"Max",0.691904969255493
45,"Max",1.13608533367146
55,"Max",0.924758215577212
65,"Max",1.06477411366396
75,"Max",2.76300980264462
85,"Max",1.67007216611624
95,"Max",0.548520609247804
105,"Max",0.835236335615135
115,"Max",1.67188136558077
125,"Max",0.55770789972253
135,"Max",0.922706442556523
145,"Max",0.692002309540304
155,"Max",1.67255961655242
165,"Max",2.76803084932563
175,"Max",1.64671856531112
185,"Max",1.58111957811188
195,"Max",0.938173646877185
-195,"P85",0.47837187322847
-185,"P85",0.97464632392602
-175,"P85",0.718171072371509
-165,"P85",0.562831373583577
-155,"P85",0.709545395421864
-145,"P85",0.387611074845417
-135,"P85",0.990555579566691
-125,"P85",0.706314024557463
-115,"P85",1.18318133316891
-105,"P85",1.32383498648543
-95,"P85",0.690035312754829
-85,"P85",0.848891108044826
-75,"P85",0.563083346619813
-65,"P85",0.70683067070782
-55,"P85",0.748607202991251
-45,"P85",0.61280687732334
-35,"P85",1.22521793824004
-25,"P85",1.34262380127589
-15,"P85",0.562889389564218
-5,"P85",0.537156714852278
5,"P85",1.29549205764168
15,"P85",0.551589101306627
25,"P85",0.882397875453037
35,"P85",0.691837206394891
45,"P85",1.01592444425769
55,"P85",0.69249627323876
65,"P85",0.987254278450159
75,"P85",1.92444418470001
85,"P85",1.00167026555853
95,"P85",0.547699482863678
105,"P85",0.603143539255926
115,"P85",1.08381919513533
125,"P85",0.460310549201982
135,"P85",0.919680619347676
145,"P85",0.608629691107139
155,"P85",1.00471421506568
165,"P85",2.13524138455791
175,"P85",1.22471843168044
185,"P85",1.15564998820054
195,"P85",0.927974493090441
-195,"Median",0.422143714904195
-185,"Median",0.563173719937084
-175,"Median",0.422360504791436
-165,"Median",0.459722425563021
-155,"Median",0.563462826104002
-145,"Median",0.332928857838955
-135,"Median",0.563680855677297
-125,"Median",0.42201892540546
-115,"Median",0.563668882354583
-105,"Median",1.06402376291567
-95,"Median",0.563485914191414
-85,"Median",0.564040903888044
-75,"Median",0.552039840473341
