"position.disgap","Type","MaxLongitudinalSpeed"
-195,"Max",60.478079671323
-185,"Max",60.2321187758606
-175,"Max",59.9229705196197
-165,"Max",59.6012414426596
-155,"Max",59.2635466939916
-145,"Max",58.9617088359248
-135,"Max",58.6156346863064
-125,"Max",58.3251591909229
-115,"Max",58.0280680895077
-105,"Max",57.7064539434425
-95,"Max",57.3821570795387
-85,"Max",57.08346714415
-75,"Max",57.3261658931743
-65,"Max",58.4952200760786
-55,"Max",59.511111197848
-45,"Max",60.749376502352
-35,"Max",61.7923181964352
-25,"Max",62.7734197983159
-15,"Max",63.8049316830499
-5,"Max",64.7575561674849
5,"Max",65.6820941551243
15,"Max",66.5715497068273
25,"Max",67.5154844304
35,"Max",68.4213092094948
45,"Max",69.2814063320402
55,"Max",70.2054509679402
65,"Max",70.9819814870366
75,"Max",71.7999245096199
85,"Max",72.5784860746976
95,"Max",73.3664924428095
105,"Max",74.0926691682326
115,"Max",74.7818603918846
125,"Max",75.4490863918764
135,"Max",76.116189634467
145,"Max",76.7380955432606
155,"Max",77.447236263005
165,"Max",78.1335417201931
175,"Max",78.8311081893259
185,"Max",79.4901219601245
195,"Max",80.0990628863437
-195,"P85",57.3005363811747
-185,"P85",57.5403498547597
-175,"P85",57.7552755347585
-165,"P85",57.9196822364353
-155,"P85",57.8550408886753
-145,"P85",57.6400364703565
-135,"P85",57.3300970929764
-125,"P85",57.0415081642081
-115,"P85",56.7638756094071
-105,"P85",56.7383130456081
-95,"P85",56.7114038318229
-85,"P85",56.8880787689105
-75,"P85",57.2400302327284
-65,"P85",57.7936773632714
-55,"P85",58.3179660819462
-45,"P85",58.907452001723
-35,"P85",59.4193519549673
-25,"P85",59.9061015903967
-15,"P85",60.9610824150844
-5,"P85",61.9951715225146
5,"P85",63.0797165983446
15,"P85",64.0929764522794
25,"P85",65.0712140406905
35,"P85",65.94976995405
45,"P85",66.8493451559294
55,"P85",67.8466383589529
65,"P85",68.7498290883163
75,"P85",69.6323569928687
85,"P85",70.4552653356948
95,"P85",71.2904520944361
105,"P85",72.0993644008583
115,"P85",72.8797971851154
125,"P85",73.6254109697525
135,"P85",74.3469269563609
145,"P85",75.051091938707
155,"P85",75.784569150847
165,"P85",76.4999464315924
175,"P85",77.1963064337037
185,"P85",77.7991766488338
195,"P85",78.5317827245031
-195,"Median",51.744320675577
-185,"Median",51.5500538233406
-175,"Median",51.314537504969
-165,"Median",51.0256227354745
-155,"Median",50.7322734763825
-145,"Median",50.4266095226188
-135,"Median",50.1400579664766
-125,"Median",50.2515423611413
-115,"Median",50.6255014390899
-105,"Median",51.6511393123701
-95,"Median",52.6745247040021
-85,"Median",53.85117868552
-75,"Median",54.7962694790646
-65,"Median",55.3045616340001
-55,"Median",55.7558338254984
-45,"Median",56.2991629139961
-35,"Median",56.8180907557899
-25,"Median",57.7219795049881
-15,"Median",58.4593178923885
-5,"Median",59.1202768814599
5,"Median",59.8776139620635
15,"Median",60.5530458456797
25,"Median",61.3404140544402
35,"Median",62.1183347901852
45,"Median",62.8992632227385
55,"Median",63.7179170689554
65,"Median",64.5135437683862
75,"Median",65.2402563861237
85,"Median",65.9269350588429
95,"Median",66.5875395066511
105,"Median",67.2433010965705
115,"Median",67.8757251125026
125,"Median",68.5239122441185
135,"Median",69.1415046343291
145,"Median",69.7502513652953
155,"Median",70.3233216202896
165,"Median",70.8873398804932
175,"Median",71.4509936969747
185,"Median",72.1002612837675
195,"Median",72.8701605615117
-195,"Avg",53.2436725046331
-185,"Avg",53.1515885847334
-175,"Avg",53.0104892284206
-165,"Avg",52.822997406992
-155,"Avg",52.5703028439011
-145,"Avg",52.2949898135893
-135,"Avg",52.0060041404783
-125,"Avg",51.9192316060447
-115,"Avg",52.0433095872835
-105,"Avg",52.4737143990786
-95,"Avg",52.9331946051128
-85,"Avg",53.4503675455623
-75,"Avg",53.9607988518409
-65,"Avg",54.4756880703187
-55,"Avg",54.9611487025872
-45,"Avg",55.5031843911233
-35,"Avg",56.15508759904
-25,"Avg",56.804724559771
-15,"Avg",57.5114833543533
-5,"Avg",58.2462646725183
5,"Avg",59.018626468998
15,"Avg",59.7969273704767
25,"Avg",60.653850662372
35,"Avg",61.4872316158088
45,"Avg",62.3077680266315
55,"Avg",63.1878933889934
65,"Avg",64.0427155999945
75,"Avg",64.8765523796694
85,"Avg",65.6721276294185
95,"Avg",66.4587554400834
105,"Avg",67.2232561349274
115,"Avg",67.952577650971
125,"Avg",68.6893142984682
135,"Avg",69.407963189803
145,"Avg",70.0898331163328
155,"Avg",70.7911315629866
165,"Avg",71.4516101750663
175,"Avg",72.1511771365132
185,"Avg",72.773088577841
195,"Avg",73.4325324572049
-195,"Min",49.6041500208909
-185,"Min",49.4556931000479
-175,"Min",49.220925695528
-165,"Min",48.9510028913383
-155,"Min",48.6422867253089
-145,"Min",48.3701189308015
-135,"Min",48.1030653408551
-125,"Min",47.8486655381362
-115,"Min",47.8179001840311
-105,"Min",48.5214481162346
-95,"Min",48.1976287707445
-85,"Min",47.8588135550362
-75,"Min",47.5377724520033
-65,"Min",47.2288004725371
-55,"Min",46.9349989359495
-45,"Min",46.6264826550606
-35,"Min",47.2465580393998
-25,"Min",47.9174463483309
-15,"Min",48.6112003878634
-5,"Min",49.4995785138342
5,"Min",50.402113954742
15,"Min",51.4935653802837
25,"Min",52.8514983332988
35,"Min",54.0909417245043
45,"Min",55.3172474605311
55,"Min",56.5148139299967
65,"Min",57.6797929552212
75,"Min",58.7212465905476
85,"Min",59.8154402006098
95,"Min",60.7553491275931
105,"Min",61.4517157468435
115,"Min",62.1239389154512
125,"Min",62.8039317291394
135,"Min",63.513540220375
145,"Min",64.1878173148416
155,"Min",64.8829934287548
165,"Min",65.5025119736271
175,"Min",66.1681538042876
185,"Min",66.7965084423162
195,"Min",67.4520096432783
