"position.disgap","Type","MaxLongitudinalSpeed"
-195,"Max",86.1577262353139
-185,"Max",86.0938392211516
-175,"Max",86.0328234506646
-165,"Max",85.9478467780144
-155,"Max",85.8426391168256
-145,"Max",85.7775201675457
-135,"Max",85.6985756013388
-125,"Max",85.6025426168683
-115,"Max",85.5360303790642
-105,"Max",85.4400590487683
-95,"Max",85.3718753313423
-85,"Max",85.2965805738597
-75,"Max",85.2137350717785
-65,"Max",85.1404935663413
-55,"Max",85.0477346099908
-45,"Max",84.9952876862925
-35,"Max",84.9087416511008
-25,"Max",84.8424994575048
-15,"Max",84.7766032997915
-5,"Max",84.6955239390624
5,"Max",84.5956226261094
15,"Max",84.4934882829523
25,"Max",84.37614784604
35,"Max",84.2538341517698
45,"Max",84.1585730086755
55,"Max",84.0660091425028
65,"Max",83.9669968557877
75,"Max",83.8563519307565
85,"Max",83.8168614735393
95,"Max",83.7721711406228
105,"Max",83.7273656478653
115,"Max",83.6574411191571
125,"Max",83.6152908004592
135,"Max",83.5407644515671
145,"Max",83.4673190847525
155,"Max",83.4262842285951
165,"Max",83.3401482584232
175,"Max",83.2655084644349
185,"Max",83.1826618907808
195,"Max",83.1566368759795
-195,"P85",83.4822350229989
-185,"P85",83.4166167117334
-175,"P85",83.3446018447086
-165,"P85",83.2654255265872
-155,"P85",83.1839721736147
-145,"P85",83.1080649289454
-135,"P85",83.0323368555451
-125,"P85",82.9496395026093
-115,"P85",82.8844506868167
-105,"P85",82.8014174369467
-95,"P85",82.7293145208028
-85,"P85",82.6541830343413
-75,"P85",82.5758476535077
-65,"P85",82.5045215365296
-55,"P85",82.4340816091079
-45,"P85",82.3700556494908
-35,"P85",82.2984104568801
-25,"P85",82.2335607090844
-15,"P85",82.1624468782863
-5,"P85",82.0912781551831
5,"P85",82.0086851739256
15,"P85",81.9351895033643
25,"P85",81.8984833859012
35,"P85",81.8721507188407
45,"P85",81.8329091689815
55,"P85",81.7986351695817
65,"P85",81.7575774609204
75,"P85",81.7058623569539
85,"P85",81.6974467445184
95,"P85",81.6664038308204
105,"P85",81.6451466863534
115,"P85",81.5999734032656
125,"P85",81.5674493653667
135,"P85",81.5317128829023
145,"P85",81.4756687461561
155,"P85",81.4425242360542
165,"P85",81.3890708803619
175,"P85",81.3272478537291
185,"P85",81.2629687549643
195,"P85",81.2262100517942
-195,"Median",80.3741769731496
-185,"Median",80.2738914105331
-175,"Median",80.1725205734044
-165,"Median",80.0820151050873
-155,"Median",79.9847548312308
-145,"Median",79.9860264969396
-135,"Median",79.9928231587035
-125,"Median",80.0077276955462
-115,"Median",80.0055068771601
-105,"Median",80.0130476888353
-95,"Median",80.0247951442891
-85,"Median",80.020595812645
-75,"Median",80.0188125680185
-65,"Median",80.0389315117668
-55,"Median",80.037014116619
-45,"Median",80.0456823856808
-35,"Median",80.0541051871765
-25,"Median",80.1076281139072
-15,"Median",80.1352392508455
-5,"Median",80.1823069144059
5,"Median",80.2101651395334
15,"Median",80.2215599053106
25,"Median",80.1220692632038
35,"Median",80.045274412951
45,"Median",79.9732372466733
55,"Median",79.8855704500954
65,"Median",79.7807782743934
75,"Median",79.775864332799
85,"Median",79.7675565055487
95,"Median",79.7622269945787
105,"Median",79.7565945296034
115,"Median",79.7426735693807
125,"Median",79.7298885064228
135,"Median",79.7060283801891
145,"Median",79.6821965302228
155,"Median",79.6545982517558
165,"Median",79.6186402387278
175,"Median",79.5850684887387
185,"Median",79.5362945478635
195,"Median",79.492048073896
-195,"Avg",81.4327994290808
-185,"Avg",81.3919282173054
-175,"Avg",81.3457788690995
-165,"Avg",81.3061801276573
-155,"Avg",81.2525449890738
-145,"Avg",81.2196230036336
-135,"Avg",81.1850182830668
-125,"Avg",81.1410696110344
-115,"Avg",81.1102651529945
-105,"Avg",81.0669529163485
-95,"Avg",81.036129295756
-85,"Avg",81.0046802649346
-75,"Avg",80.9704018329268
-65,"Avg",80.9458488679819
