"position.disgap","Type","MaxLongitudinalSpeed"
-195,"Max",107.000452176713
-185,"Max",106.637279835191
-175,"Max",106.58536605052
-165,"Max",106.676914933407
-155,"Max",106.761855936407
-145,"Max",106.862618112307
-135,"Max",106.948849558771
-125,"Max",107.078095131577
-115,"Max",107.168368650174
-105,"Max",107.294122560382
-95,"Max",107.436714766581
-85,"Max",107.49439017165
-75,"Max",107.509375284183
-65,"Max",107.528855934542
-55,"Max",107.576372029608
-45,"Max",107.593139279712
-35,"Max",107.626553478665
-25,"Max",107.643223668611
-15,"Max",107.676879266132
-5,"Max",107.7114635446
5,"Max",107.742387197734
15,"Max",107.75615327057
25,"Max",107.782688072711
35,"Max",107.777376843728
45,"Max",107.693310320107
55,"Max",107.530169933039
65,"Max",107.362332601057
75,"Max",107.171123425585
85,"Max",107.014581638889
95,"Max",106.871027773716
105,"Max",106.710584645174
115,"Max",106.566413474568
125,"Max",106.437285787299
135,"Max",106.308091151221
145,"Max",106.178611102428
155,"Max",106.049173382668
165,"Max",105.920029838665
175,"Max",105.788557605518
185,"Max",105.677238738351
195,"Max",105.542761325789
-195,"P85",106.644067602385
-185,"P85",106.552909866579
-175,"P85",106.412865294006
-165,"P85",106.252002920084
-155,"P85",106.085833615159
-145,"P85",105.948208618521
-135,"P85",105.788589744426
-125,"P85",105.88340562577
-115,"P85",105.92640412327
-105,"P85",105.971311246567
-95,"P85",106.053500605468
-85,"P85",106.094225137435
-75,"P85",106.098810535293
-65,"P85",106.055605337322
-55,"P85",105.994211742184
-45,"P85",105.948888367502
-35,"P85",105.920723449372
-25,"P85",105.911697983059
-15,"P85",105.876067133689
-5,"P85",105.840693832238
5,"P85",105.674251474159
15,"P85",105.653387874794
25,"P85",105.651623400569
35,"P85",105.649133368556
45,"P85",105.614994176135
55,"P85",105.555535112163
65,"P85",105.48901552636
75,"P85",105.405480086721
85,"P85",105.314333544119
95,"P85",105.210791502937
105,"P85",105.100080865777
115,"P85",104.994805122066
125,"P85",104.89392320089
135,"P85",104.806384711994
145,"P85",104.697320872033
155,"P85",104.607941066895
165,"P85",104.509115684998
175,"P85",104.419875225544
185,"P85",104.328382904177
195,"P85",104.219975619333
-195,"Median",104.486286085819
-185,"Median",104.417938041747
-175,"Median",104.375182262314
-165,"Median",104.503295044912
-155,"Median",104.692564842003
-145,"Median",104.851566809879
-135,"Median",105.009443757004
-125,"Median",104.708648342973
-115,"Median",104.414921670427
-105,"Median",104.15360157977
-95,"Median",104.156981519668
-85,"Median",104.142208955671
-75,"Median",104.186157418349
-65,"Median",104.185877575611
-55,"Median",104.194946225371
-45,"Median",104.202103866304
-35,"Median",104.206174484842
-25,"Median",104.205278923714
-15,"Median",104.233461089688
-5,"Median",104.225973556498
5,"Median",104.224228457135
15,"Median",104.073241971592
25,"Median",103.837492083237
35,"Median",103.64878759897
45,"Median",103.441144206171
55,"Median",103.233117908337
65,"Median",103.040559127371
75,"Median",102.847652799567
85,"Median",102.651666095291
95,"Median",102.456146727355
105,"Median",102.253130019531
115,"Median",102.062506171495
125,"Median",101.858294489368
135,"Median",101.646171506384
145,"Median",101.467996122143
155,"Median",101.287192119504
165,"Median",101.158565086864
175,"Median",101.002393877582
185,"Median",100.835062439393
195,"Median",100.685533215142
-195,"Avg",104.555033558985
-185,"Avg",104.493854661574
-175,"Avg",104.442013202842
-165,"Avg",104.385373844277
-155,"Avg",104.349612813423
-145,"Avg",104.316697875549
-135,"Avg",104.278789937754
-125,"Avg",104.242692577009
-115,"Avg",104.187703827974
-105,"Avg",104.140184838803
-95,"Avg",104.1162350641
-85,"Avg",104.074860805422
-75,"Avg",104.021233293527
-65,"Avg",103.950316825542
-55,"Avg",103.892780472888
-45,"Avg",103.833936338876
-35,"Avg",103.787340437849
-25,"Avg",103.742152294025
-15,"Avg",103.698241209399
-5,"Avg",103.640524198771
5,"Avg",103.537688582126
15,"Avg",103.453373224231
25,"Avg",103.356376057762
35,"Avg",103.26831002061
45,"Avg",103.165707929241
55,"Avg",103.043963990344
65,"Avg",102.93009569416
75,"Avg",102.805887641708
85,"Avg",102.690565893355
95,"Avg",102.556868027486
105,"Avg",102.431679528487
115,"Avg",102.317704204394
125,"Avg",102.188136780209
135,"Avg",102.068121664027
145,"Avg",101.936077182899
155,"Avg",101.844077206302
165,"Avg",101.78052876614
175,"Avg",101.713683670232
185,"Avg",101.655381209216
195,"Avg",101.593640202153
-195,"Min",100.807159320485
-185,"Min",100.68048645659
-175,"Min",100.592770788798
-165,"Min",100.476778901381
-155,"Min",100.394229651053
-145,"Min",100.311282936621
-135,"Min",100.229769911664
-125,"Min",100.157827063873
-115,"Min",100.094755700827
-105,"Min",100.054369882609
-95,"Min",100.00702618657
-85,"Min",100.002938066262
-75,"Min",99.9533815045094
-65,"Min",99.939881448533
-55,"Min",99.9900294682916
-45,"Min",100.022070448111
-35,"Min",100.086985940272
-25,"Min",100.132656778436
-15,"Min",100.176269768065
-5,"Min",100.170499939529
5,"Min",100.18416021518
15,"Min",100.170577725466
25,"Min",100.174548880611
35,"Min",100.173219185217
45,"Min",100.178111418548
55,"Min",100.029006529334
65,"Min",99.8029499071336
75,"Min",99.5764451069919
85,"Min",99.350428726893
95,"Min",99.0920283126325
105,"Min",98.8531968376957
115,"Min",98.6468085945152
125,"Min",98.392210100323
135,"Min",98.1840316965127
145,"Min",97.9271119481964
155,"Min",97.8341325229463
165,"Min",97.8541196000531
175,"Min",97.8742619572763
185,"Min",97.9255133994528
195,"Min",97.9910488408048
