"position.disgap","Type","MaxLongitudinalSpeed"
-195,"Max",102.492160729449
-185,"Max",102.610618127816
-175,"Max",102.630848872737
-165,"Max",102.687423221043
-155,"Max",102.747437230204
-145,"Max",102.813237068032
-135,"Max",102.880069078196
-125,"Max",102.918860735688
-115,"Max",102.977115211768
-105,"Max",103.024632244943
-95,"Max",103.132852525756
-85,"Max",103.158995203614
-75,"Max",103.210283795232
-65,"Max",103.239081462129
-55,"Max",103.288899778821
-45,"Max",103.36765654909
-35,"Max",103.416454373095
-25,"Max",103.507178884055
-15,"Max",103.525591163857
-5,"Max",103.555671366982
5,"Max",103.64330010168
15,"Max",103.653795615
25,"Max",103.714948065136
35,"Max",103.737679249819
45,"Max",103.788618926326
55,"Max",103.750796569504
65,"Max",103.711791790652
75,"Max",103.672266007028
85,"Max",103.613878469683
95,"Max",103.564692277067
105,"Max",103.556126349225
115,"Max",103.478958202479
125,"Max",103.458568433299
135,"Max",103.401828245726
145,"Max",103.362343307265
155,"Max",103.342459427741
165,"Max",103.320411058899
175,"Max",103.269129632829
185,"Max",103.247291114759
195,"Max",103.236407783914
-195,"P85",100.512778043845
-185,"P85",100.589965351465
-175,"P85",100.644885035621
-165,"P85",100.685749850798
-155,"P85",100.776042015739
-145,"P85",100.815461366422
-135,"P85",100.878411561471
-125,"P85",100.934625220205
-115,"P85",101.003278787298
-105,"P85",101.058869657676
-95,"P85",101.136627834022
-85,"P85",101.169088173767
-75,"P85",101.216252912399
-65,"P85",101.256043336368
-55,"P85",101.29924706989
-45,"P85",101.360586690385
-35,"P85",101.398298510482
-25,"P85",101.446233250733
-15,"P85",101.476904563568
-5,"P85",101.505766011406
5,"P85",101.568122365284
15,"P85",101.588443029596
25,"P85",101.640871211202
35,"P85",101.657776120162
45,"P85",101.70173798166
55,"P85",101.699227857246
65,"P85",101.695599096574
75,"P85",101.703949961034
85,"P85",101.681260958782
95,"P85",101.692594179891
105,"P85",101.696460663262
115,"P85",101.691111426589
125,"P85",101.701138849023
135,"P85",101.690425564017
145,"P85",101.703322043401
155,"P85",101.700980000786
165,"P85",101.727604176485
175,"P85",101.700957822803
185,"P85",101.683555164175
195,"P85",101.661861188321
-195,"Median",95.7872429301524
-185,"Median",95.7763778423501
-175,"Median",95.6855052945284
-165,"Median",95.6249433843197
-155,"Median",95.5838898682496
-145,"Median",95.6368850579137
-135,"Median",95.7160066371901
-125,"Median",95.7961008316322
-115,"Median",95.8761956955141
-105,"Median",95.9562912271593
-95,"Median",96.0373289912862
-85,"Median",96.1346278788199
-75,"Median",96.3223557154722
-65,"Median",96.5598879070929
-55,"Median",96.7393757882416
-45,"Median",96.9188655656396
-35,"Median",97.0899681765562
-25,"Median",97.2500959737755
-15,"Median",97.3605219165282
-5,"Median",97.4709557178673
5,"Median",97.542092368257
15,"Median",97.643865425113
25,"Median",97.7229264789615
