"position.disgap","Type","MedianLateralSpeed"
-195,"Max",0.584434837393097
-185,"Max",0.471547964064978
-175,"Max",0.358871463321232
-165,"Max",0.562851838014244
-155,"Max",0.480291419344939
-145,"Max",0.577922215342612
-135,"Max",1.37129539635382
-125,"Max",2.05570671933181
-115,"Max",2.65171610378473
-105,"Max",3.21341753200081
-95,"Max",3.54244230967789
-85,"Max",3.18033082206399
-75,"Max",2.55088747123219
-65,"Max",1.75543008858652
-55,"Max",1.40756321077944
-45,"Max",1.31828241263577
-35,"Max",1.38021193963954
-25,"Max",1.4189037586529
-15,"Max",1.50604116268022
-5,"Max",0.753258243484783
5,"Max",0.725848073646668
15,"Max",0.328731097394572
25,"Max",0.0683048147605317
35,"Max",0.0131997058073112
45,"Max",0.0943841532568247
55,"Max",0.176399419994786
65,"Max",0.17594622803983
75,"Max",0.146196418261927
85,"Max",0.126498416022552
95,"Max",0.0546600125471418
105,"Max",0.00342164023831782
115,"Max",0.0760718430360817
125,"Max",0.309117223555417
135,"Max",0.316553916227943
145,"Max",0.305023138171017
155,"Max",0.322018243966022
165,"Max",0.227826978722407
175,"Max",0.237000667483419
185,"Max",0.0801364634634323
195,"Max",-0.0381797036929885
-195,"P85",0.428353052901884
-185,"P85",0.435999141021829
-175,"P85",0.345675834430822
-165,"P85",0.336104063963723
-155,"P85",0.239291776690358
-145,"P85",0.566878651672164
-135,"P85",0.819953889886347
-125,"P85",1.06252248045144
-115,"P85",1.23727463234834
-105,"P85",1.45695696467958
-95,"P85",1.54015413592137
-85,"P85",1.59019294353932
-75,"P85",1.57427823933233
-65,"P85",1.35322025490556
-55,"P85",1.2448082098152
-45,"P85",1.13482846086374
-35,"P85",0.989479279594946
-25,"P85",1.22555441175203
-15,"P85",0.744464178221893
-5,"P85",0.745502678397803
5,"P85",0.487363173011619
15,"P85",0.122998697318845
25,"P85",0.00257695430262965
35,"P85",-0.000669891939509884
45,"P85",0.0848505673602053
55,"P85",0.132085510739288
65,"P85",0.161766768829348
75,"P85",0.102846294909688
85,"P85",0.013586748162843
95,"P85",-0.0468796696336558
105,"P85",-0.0183619314439829
115,"P85",0.0759642428890129
125,"P85",0.27014256017073
135,"P85",0.30973043445546
145,"P85",0.298648402198822
155,"P85",0.194824528145186
165,"P85",0.159706270085381
175,"P85",0.0565199489560668
185,"P85",-0.0579704198075599
195,"P85",-0.063558620079698
-195,"Median",0.250119456099297
-185,"Median",0.179513632511425
-175,"Median",0.0667725496879431
-165,"Median",0.0274503684381098
-155,"Median",0.114735855087778
-145,"Median",0.114669685825594
-135,"Median",0.149476407197726
-125,"Median",0.286709623368295
-115,"Median",0.414598600477299
-105,"Median",0.387899687176312
-95,"Median",0.507340064386394
