"position.disgap","Type","MedianLateralSpeed"
-195,"Max",0.305516014663168
-185,"Max",0.2546454352028
-175,"Max",0.202129553319993
-165,"Max",0.145408806893891
-155,"Max",0.0887693278664293
-145,"Max",0.0322363876925109
-135,"Max",0.00400670322198233
-125,"Max",0.0603327824530041
-115,"Max",0.116610808818412
-105,"Max",0.18217294113429
-95,"Max",0.241254483920213
-85,"Max",0.300383744177877
-75,"Max",0.359160286200074
-65,"Max",0.39646437937027
-55,"Max",0.199827456369291
-45,"Max",0.288037548919831
-35,"Max",0.346713642689051
-25,"Max",0.376043254573276
-15,"Max",0.106897779656552
-5,"Max",0.143150995489288
5,"Max",0.191412852548201
15,"Max",0.272975735314374
25,"Max",0.0567992750359065
35,"Max",0.126005498303308
45,"Max",0.182632846828907
55,"Max",0.238414036754284
65,"Max",0.294145039489152
75,"Max",0.349821767382937
85,"Max",0.172694914419729
95,"Max",0.21372138825132
105,"Max",0.209048034347286
115,"Max",0.217970468060215
125,"Max",0.264667886112698
135,"Max",0.0943386983381641
145,"Max",0.146188976431206
155,"Max",0.201757649174393
165,"Max",0.252692060416802
175,"Max",0.306976922542511
185,"Max",0.1409018759087
195,"Max",0.0599350211329418
-195,"P85",0.291856791726388
-185,"P85",0.252307381889588
-175,"P85",0.200090122841786
-165,"P85",0.143895802769237
-155,"P85",0.0878480419511186
-145,"P85",0.031906831337645
-135,"P85",0.00396614510560134
-125,"P85",0.0597322536027761
-115,"P85",0.115440943842175
-105,"P85",0.176524308117915
-95,"P85",0.23378374210823
-85,"P85",0.291000318572418
-75,"P85",0.348063036244562
-65,"P85",0.260806616984387
-55,"P85",0.19363379028005
-45,"P85",0.278071181191805
-35,"P85",0.333468604803548
-25,"P85",0.336891128153068
-15,"P85",0.093425124679713
-5,"P85",0.138760636131721
5,"P85",0.190546746415856
15,"P85",0.118905910034054
25,"P85",0.048330182089514
35,"P85",0.125437429861047
45,"P85",0.180986008831344
55,"P85",0.236169956419271
65,"P85",0.291323466460574
75,"P85",0.346353534397016
85,"P85",0.166134371614286
95,"P85",0.207606963481588
105,"P85",0.206827256498392
115,"P85",0.212609711204015
125,"P85",0.126689347375034
135,"P85",0.0920799955883073
145,"P85",0.145674649612154
155,"P85",0.199734694433062
165,"P85",0.102401586169558
175,"P85",0.164901041589557
185,"P85",0.127002597687715
195,"P85",0.0583471637365366
-195,"Median",0.0528364980632982
-185,"Median",0.230590668766601
-175,"Median",0.195912504582604
-165,"Median",0.141113528651284
-155,"Median",0.0862362540604619
-145,"Median",0.0313564928711553
-135,"Median",0.00390080590383364
-125,"Median",0.0588220811992099
-115,"Median",-0.143753727172959
-105,"Median",0.16990925080012
-95,"Median",0.225053642071658
-85,"Median",0.281806349017511
-75,"Median",0.337333851610049
-65,"Median",0.160226497187095
-55,"Median",0.188048273417651
-45,"Median",0.269244165629207
-35,"Median",-0.00361237102963297
-25,"Median",0.024305161974166
-15,"Median",0.0801038127558976
-5,"Median",0.134606573874399
5,"Median",-0.0673258881526914
15,"Median",0.0151917721072019
25,"Median",-0.195948297571673
35,"Median",-0.144823835962844
45,"Median",0.0533754008438608
55,"Median",-0.0968106191920182
65,"Median",-0.0691349893106753
75,"Median",-0.0144476463286611
85,"Median",0.0437546091170041
95,"Median",0.101902067810436
105,"Median",0.174482026419085
115,"Median",-0.0204030674707427
125,"Median",0.0206137555293599
135,"Median",0.090040850094511
145,"Median",0.143814461762803
155,"Median",-0.0255314531145254
165,"Median",0.00212206449058017
175,"Median",0.0600194403598292
185,"Median",0.112575760832545
195,"Median",0.0158356925213034
-195,"Avg",0.148043864035853
-185,"Avg",0.144507631756569
-175,"Avg",0.0936200471570972
-165,"Avg",0.0371359249478
-155,"Avg",-0.0193160534028156
-145,"Avg",-0.0727031306413515
-135,"Avg",-0.103823800589949
-125,"Avg",-0.047468072798614
-115,"Avg",-0.0426377306030356
-105,"Avg",0.0664948151536659
-95,"Avg",0.0545131010502323
-85,"Avg",0.116448670075445
-75,"Avg",0.166973494025728
-65,"Avg",0.208979110465608
-55,"Avg",0.190086920385151
-45,"Avg",0.182688483924431
-35,"Avg",0.121005557812967
-25,"Avg",0.151856455070569
-15,"Avg",0.0347056912664106
-5,"Avg",0.0334882735482129
5,"Avg",0.0348151680009934
15,"Avg",0.00992791713584689
25,"Avg",-0.110555883926344
35,"Avg",-0.0592837039389634
45,"Avg",0.00918266221949511
55,"Avg",-0.027179108920351
65,"Avg",-0.0247445639215454
75,"Avg",0.0252268761709052
85,"Avg",-0.0100426293756658
95,"Avg",0.09153272300979
105,"Avg",0.1276168293597
115,"Avg",0.067549704642108
125,"Avg",0.0668684054122792
135,"Avg",0.0878853770599715
145,"Avg",0.115360512506463
155,"Avg",0.0532875047708957
165,"Avg",0.0522426523879865
175,"Avg",0.110451136794172
185,"Avg",0.113206410913647
195,"Avg",-0.0170552153955707
-195,"Min",0.0490273572246403
-185,"Min",-0.00697138436298675
-175,"Min",-0.0666795676437689
-165,"Min",-0.126220088400597
-155,"Min",-0.185735053554555
-145,"Min",-0.230234217169879
-135,"Min",-0.274590097906565
-125,"Min",-0.214923725835948
-115,"Min",-0.15535814049761
-105,"Min",-0.102568974820366
-95,"Min",-0.388287947606862
-85,"Min",-0.333488047853106
-75,"Min",-0.278679962245147
-65,"Min",0.158813945629481
-55,"Min",0.186455975931488
-45,"Min",-0.0875754185186249
-35,"Min",-0.0315929242757641
-25,"Min",0.0239539064791954
-15,"Min",-0.14993415514409
-5,"Min",-0.123757120230083
5,"Min",-0.0718457408819315
15,"Min",-0.242263025266817
25,"Min",-0.24193815130357
35,"Min",-0.236024185590817
45,"Min",-0.189717908063569
55,"Min",-0.381005091285204
65,"Min",-0.325275623164186
75,"Min",-0.283748044655886
85,"Min",-0.214486354039515
95,"Min",-0.158518149358187
105,"Min",-0.103190270542733
115,"Min",-0.0483333429024593
125,"Min",0.00698093732830154
135,"Min",0.0752529282248701
145,"Min",0.0181826870934308
155,"Min",-0.0556862310910347
165,"Min",0.00208135424834601
175,"Min",0.0573742565616926
185,"Min",0.0837647062663383
195,"Min",-0.220412356503772
