"position.disgap","Type","MedianLateralSpeed"
-195,"Max",0.440984764250259
-185,"Max",0.552097311978915
-175,"Max",0.158478988081432
-165,"Max",0.149202430604807
-155,"Max",0.200307825371743
-145,"Max",0.199374190033693
-135,"Max",0.145168185852757
-125,"Max",0.150399133779882
-115,"Max",0.149987530644719
-105,"Max",0.149033945697665
-95,"Max",0.146956532219564
-85,"Max",0.145018422047749
-75,"Max",0.305396976834753
-65,"Max",0.314897688767473
-55,"Max",0.759872587029392
-45,"Max",0.721212598378549
-35,"Max",0.581140052720788
-25,"Max",0.47386573753434
-15,"Max",0.217480676815449
-5,"Max",-0.229585334766855
5,"Max",0.109945312637728
15,"Max",0.22717567785483
25,"Max",0.229922396821852
35,"Max",0.232074310853707
45,"Max",0.231873437335737
55,"Max",0.149251179171799
65,"Max",-0.00309889917056927
75,"Max",-0.00479448278854836
85,"Max",-0.174586328186697
95,"Max",-0.0035296777744247
105,"Max",-0.179276553997534
115,"Max",-0.312221436319456
125,"Max",-0.311924886086911
135,"Max",-0.359106660631379
145,"Max",-0.363571332242372
155,"Max",-0.381780296183164
165,"Max",-0.432121572326856
175,"Max",-0.110728164609462
185,"Max",-0.00430974857196339
195,"Max",-0.00429139875142086
-195,"P85",0.35946619900913
-185,"P85",0.259952844155883
-175,"P85",0.147648725466759
-165,"P85",0.145710696710035
-155,"P85",0.158913343518796
-145,"P85",0.158936386041596
-135,"P85",0.0924356946814706
-125,"P85",0.145884210007741
-115,"P85",0.145110987634706
-105,"P85",0.144281028176278
-95,"P85",0.143125010602749
-85,"P85",0.0954648470471935
-75,"P85",0.0929686117183333
-65,"P85",0.240102400419695
-55,"P85",0.383891163971514
-45,"P85",0.483350887924388
-35,"P85",0.512954479564303
-25,"P85",0.267448087073993
-15,"P85",-0.0549009742735211
-5,"P85",-0.555493548621262
5,"P85",-0.446239898239254
15,"P85",-0.06289896601916
25,"P85",-0.0614014648811895
35,"P85",0.0556600420148347
45,"P85",0.170453110362497
55,"P85",0.0338437296060376
65,"P85",-0.00437821375814267
75,"P85",-0.145079172019726
85,"P85",-0.186827699843652
95,"P85",-0.355473504204493
105,"P85",-0.281066312063517
115,"P85",-0.348520063344883
125,"P85",-0.476287043801617
135,"P85",-0.504730859864356
145,"P85",-0.374869972018846
155,"P85",-0.50988143002857
165,"P85",-0.528277057204425
175,"P85",-0.171166957223609
185,"P85",-0.171846979769252
195,"P85",-0.337458377508591
-195,"Median",0.153122514426431
-185,"Median",0.0433697074154968
-175,"Median",-0.0635674410742785
-165,"Median",-0.0636254228922111
-155,"Median",-0.0549606294535792
-145,"Median",0.0198448807866439
-135,"Median",-0.0460853425602316
-125,"Median",0.100999236240524
-115,"Median",0.100790530212249
-105,"Median",0.0164965587342626
-95,"Median",-0.0731391460862819
-85,"Median",-0.0508087479604603
-75,"Median",-0.0655196429401806
-65,"Median",-0.0284474484338956
-55,"Median",0.252120601578289
-45,"Median",0.324005713486419
-35,"Median",0.410844812188625
-25,"Median",0.0276464975813418
-15,"Median",-0.334443109474582
-5,"Median",-0.798218554172679
5,"Median",-0.90654759704971
15,"Median",-0.725067002162588
25,"Median",-0.349770968531403
35,"Median",-0.159232352913125
45,"Median",0.0530519528997885
55,"Median",-0.245582583146762
