"position.disgap","Type","MedianLateralSpeed"
-195,"Max",0.0216165031418278
-185,"Max",0.0807416273063748
-175,"Max",0.140042337521864
-165,"Max",0.199311176337373
-155,"Max",-0.030762609863779
-145,"Max",0.271029356526258
-135,"Max",0.354319584604819
-125,"Max",0.409621286221711
-115,"Max",0.437386746529947
-105,"Max",0.492753788074738
-95,"Max",0.346143862806557
-85,"Max",0.59971964787307
-75,"Max",0.293522452458623
-65,"Max",0.351355797173349
-55,"Max",0.126544930642451
-45,"Max",0.184697019021914
-35,"Max",0.241476805065785
-25,"Max",0.299330675467199
-15,"Max",0.299382967821673
-5,"Max",-0.0336954186124817
5,"Max",0.0100527151275809
15,"Max",0.03742172004699
25,"Max",0.084902094108274
35,"Max",0.144725418397314
45,"Max",-0.0307822152379993
55,"Max",-0.00199021939875149
65,"Max",0.0551471449556976
75,"Max",0.112029704523772
85,"Max",0.164999241214258
95,"Max",0.468778257509918
105,"Max",0.49678695575168
115,"Max",0.276742576312576
125,"Max",0.0152280425794125
135,"Max",0.0741954580819084
145,"Max",0.0990895890980653
155,"Max",0.162429898231209
165,"Max",0.221125935934512
175,"Max",0.279417013584657
185,"Max",0.337694921442435
195,"Max",0.132126444168674
-195,"P85",-0.164542702052456
-185,"P85",-0.0724517736498179
-175,"P85",-0.0806643354320656
-165,"P85",-0.0350746698518893
-155,"P85",-0.0380205544929584
-145,"P85",0.0587878647968787
-135,"P85",0.126846752239895
-125,"P85",0.166353525403344
-115,"P85",0.212490628472471
-105,"P85",0.277692824095826
-95,"P85",0.328735542433181
-85,"P85",0.35889857945597
-75,"P85",0.253020157406996
-65,"P85",0.199034980392085
-55,"P85",0.126026813227439
-45,"P85",0.184027263631912
-35,"P85",0.0239074115310794
-25,"P85",0.0502404811705321
-15,"P85",0.0669512839973014
-5,"P85",-0.0343682673265319
5,"P85",0.00125743138291006
15,"P85",0.0299821896264227
25,"P85",-0.017519352248714
35,"P85",-0.0102556962696494
45,"P85",-0.0469084772581763
55,"P85",-0.00199454191787102
65,"P85",0.054251077616801
75,"P85",0.110395162831908
85,"P85",0.150315218450901
95,"P85",0.0969915642485378
105,"P85",0.138303141312302
115,"P85",0.0849844207297171
125,"P85",-0.00183869726108475
135,"P85",0.0299306644609935
145,"P85",0.0929870712339103
