"position.disgap","Type","MedianLateralSpeed"
-195,"Max",0.0833568637454374
-185,"Max",0.0833304866227625
-175,"Max",0.086399271065503
-165,"Max",0.0864857735158463
-155,"Max",0.105770401719128
-145,"Max",0.0894829018656426
-135,"Max",0.0895143012019868
-125,"Max",0.0895480639092008
-115,"Max",0.0896082468828129
-105,"Max",0.0896664782741739
-95,"Max",0.0897173436380046
-85,"Max",0.0897589462765065
-75,"Max",0.0898334577906062
-65,"Max",0.330082386711097
-55,"Max",0.330241689472579
-45,"Max",0.330493431010464
-35,"Max",0.330602855886007
-25,"Max",0.359506244671027
-15,"Max",0.359713894484926
-5,"Max",0.331157683804684
5,"Max",0.0435252454370709
15,"Max",0.0435213304534273
25,"Max",0.0435300999478409
35,"Max",0.0421008221927762
45,"Max",0.0421129160889688
55,"Max",0.0421255789313844
65,"Max",0.0666574692324411
75,"Max",0.186484115321289
85,"Max",0.186785052596175
95,"Max",0.187068315045132
105,"Max",0.182030972987504
115,"Max",0.0537725438870102
125,"Max",0.0671910137173892
135,"Max",0.0414705159269592
145,"Max",0.0674117755680327
155,"Max",0.0650078160992396
165,"Max",0.0649593244374835
175,"Max",0.0416311826424763
185,"Max",0.0692028874014242
195,"Max",0.0692650651102067
-195,"P85",0.0830537348147957
-185,"P85",0.0830749361132573
-175,"P85",0.0845365171538956
-165,"P85",0.0845338515355018
-155,"P85",0.0942573275596952
-145,"P85",0.0856852868352767
-135,"P85",0.0856567260916919
-125,"P85",0.0856383458012082
-115,"P85",0.0843385755193391
-105,"P85",0.0844094905175911
-95,"P85",-0.0469484848502397
-85,"P85",0.0860948094273244
-75,"P85",0.0880901689077063
-65,"P85",0.184208530527867
-55,"P85",0.18428678428987
-45,"P85",0.184423591771776
-35,"P85",0.184483196577186
-25,"P85",0.196044552091194
-15,"P85",0.19616372757894
-5,"P85",0.184755875909351
5,"P85",-0.0909678492645129
15,"P85",-0.0911030593601088
25,"P85",0.0413587489618879
35,"P85",0.0408071870255039
45,"P85",0.0408524854095676
55,"P85",0.0408997483919477
65,"P85",0.0502698103023018
75,"P85",0.184045380955455
85,"P85",0.184095487159975
95,"P85",0.18413934491156
105,"P85",0.169064909877167
115,"P85",0.0450452082616523
125,"P85",0.0517439511963968
135,"P85",0.0409022576486319
145,"P85",0.0600982367179325
155,"P85",0.0509409029667372
165,"P85",0.0509419482548459
175,"P85",0.0401089477716416
185,"P85",0.066625198927192
195,"P85",0.0588900885118387
-195,"Median",0.0797198203240017
-185,"Median",0.0798412023863709
-175,"Median",0.0799721889637444
-165,"Median",0.08011765833854
-155,"Median",0.0832062245075776
-145,"Median",0.0803929607403993
-135,"Median",0.0805226986993638
-125,"Median",0.0806860475085117
-115,"Median",-0.141181181541845
-105,"Median",-0.141079048201239
-95,"Median",-0.142306551697491
-85,"Median",-0.147945373441733
-75,"Median",0.0838238269009814
-65,"Median",0.0839524365581431
-55,"Median",0.0841423893435508
-45,"Median",0.084325049083347
-35,"Median",0.0844380178047559
-25,"Median",0.0846038189463411
-15,"Median",0.0847095239365406
-5,"Median",0.0848224900348185
5,"Median",-0.185982476035894
15,"Median",-0.191059382235489
25,"Median",-0.163326781720367
35,"Median",-0.169035064264023
45,"Median",-0.179000149353548
55,"Median",-0.152795421973231
65,"Median",-0.187075745248115
75,"Median",-0.187318784010679
85,"Median",-0.187411549057162
95,"Median",-0.173960114953357
105,"Median",-0.187802386706909
115,"Median",0.0140188811210926
125,"Median",0.0392060495912638
135,"Median",0.0391811806786838
145,"Median",0.0391563485058865
155,"Median",-0.184427112221657
165,"Median",-0.163987191506167
175,"Median",-0.158146813956306
185,"Median",-0.158326553424941
195,"Median",-0.158573321851307
-195,"Avg",-0.0409057270817915
-185,"Avg",-0.0409249374899076
-175,"Avg",-0.0338065425890962
-165,"Avg",-0.0391301381459222
-155,"Avg",0.00737149220705177
-145,"Avg",-0.00169793012659353
-135,"Avg",-0.0355445059285873
-125,"Avg",-0.0355902167819669
-115,"Avg",-0.109935588033041
-105,"Avg",-0.109986926338776
-95,"Avg",-0.153529073579766
-85,"Avg",-0.10646594145895
-75,"Avg",-0.0594688089650454
-65,"Avg",-0.0114262755671841
-55,"Avg",-0.0113616646225343
-45,"Avg",-0.011305699484997
-35,"Avg",-0.0113126423596274
-25,"Avg",-0.00553953991654269
-15,"Avg",-0.00546043620995685
-5,"Avg",0.0220175890733802
5,"Avg",-0.205755182269901
15,"Avg",-0.216355873181061
25,"Avg",-0.225175448577521
35,"Avg",-0.170670071970571
45,"Avg",-0.101752442009914
55,"Avg",-0.0910720871335366
65,"Avg",-0.0940329534014357
75,"Avg",-0.0414904788428759
85,"Avg",-0.0414587785118162
95,"Avg",-0.038739886701978
105,"Avg",-0.0468624355441757
115,"Avg",-0.0563746877435067
125,"Avg",-0.0482222609169998
135,"Avg",-0.0535484777213332
145,"Avg",-0.0454180295674122
155,"Avg",-0.0933390545739375
165,"Avg",-0.0820982326756466
175,"Avg",-0.0819336069919651
185,"Avg",-0.0740710821594944
195,"Avg",-0.0738899634107999
-195,"Min",-0.303518262552908
-185,"Min",-0.30368862088379
-175,"Min",-0.303835667412481
-165,"Min",-0.304039577143743
-155,"Min",-0.123691397456554
-145,"Min",-0.141729604073318
-135,"Min",-0.283357414673926
-125,"Min",-0.283594651174783
-115,"Min",-0.295098577128336
-105,"Min",-0.29535776367082
-95,"Min",-0.295380953524522
-85,"Min",-0.281388880257299
-75,"Min",-0.28101507800519
-65,"Min",-0.280800103036831
-55,"Min",-0.280472431142049
-45,"Min",-0.28026914177817
-35,"Min",-0.279975392137563
-25,"Min",-0.279738012351748
-15,"Min",-0.279455386651448
-5,"Min",-0.279217802560135
5,"Min",-0.514646240616683
