"position.disgap","Type","MedianLongitudinalSpeed"
-195,"Max",83.4437571256535
-185,"Max",84.1107493361207
-175,"Max",84.8514619960396
-165,"Max",85.5380955022894
-155,"Max",86.0404419264432
-145,"Max",86.3747639489064
-135,"Max",86.3718615462369
-125,"Max",85.8948606311876
-115,"Max",85.3991298970112
-105,"Max",83.9957897042264
-95,"Max",81.7128736586894
-85,"Max",81.8408609691869
-75,"Max",81.9816335959975
-65,"Max",82.0953039439401
-55,"Max",82.1381495545201
-45,"Max",81.8148289521977
-35,"Max",81.4604253959116
-25,"Max",81.1244077326878
-15,"Max",80.7643168658135
-5,"Max",80.3790974939829
5,"Max",80.1014721651251
15,"Max",79.7327599395635
25,"Max",77.9446837038894
35,"Max",73.4259014113941
45,"Max",68.3530926902061
55,"Max",63.5104321296336
65,"Max",60.4909602371569
75,"Max",59.8785964407125
85,"Max",59.5595505292618
95,"Max",58.4364458729233
105,"Max",57.2655039563575
115,"Max",52.783658517024
125,"Max",50.7284067667501
135,"Max",50.3565915243093
145,"Max",50.0308296470599
155,"Max",49.6753733606598
165,"Max",49.3802425095735
175,"Max",49.1216327396713
185,"Max",48.8994265278325
195,"Max",48.7396580831818
-195,"P85",82.3788761111696
-185,"P85",83.0254944137051
-175,"P85",83.2149990220585
-165,"P85",83.2718329750751
-155,"P85",83.2440904638083
-145,"P85",83.0716639133124
-135,"P85",82.7906463067098
-125,"P85",82.4223708750914
-115,"P85",82.4135948313879
-105,"P85",82.1711526611205
-95,"P85",80.9183481448503
-85,"P85",80.269566776818
-75,"P85",80.0024520389372
-65,"P85",79.7933229745127
-55,"P85",79.536521031166
-45,"P85",79.2103532964255
-35,"P85",78.852153622244
-25,"P85",78.5114211202119
-15,"P85",78.1623471435338
-5,"P85",77.8660340683925
5,"P85",77.5492901122257
15,"P85",76.0122870816283
25,"P85",72.3283003447775
35,"P85",67.1802385107451
45,"P85",62.1809012073678
55,"P85",60.7107592823715
65,"P85",59.7142170913963
75,"P85",59.3060732943331
85,"P85",58.9833834491903
95,"P85",57.9315450124949
105,"P85",55.232912249829
115,"P85",51.6389286629443
125,"P85",49.6080998536553
135,"P85",49.2711294062446
145,"P85",48.92997716152
155,"P85",48.6023313503336
165,"P85",48.3290782496285
175,"P85",48.0876717241188
185,"P85",47.950090994113
195,"P85",47.8949803660473
-195,"Median",80.1407350001365
-185,"Median",80.1971762302736
-175,"Median",80.1523830800621
-165,"Median",80.2149216813566
-155,"Median",80.3609297332168
-145,"Median",80.5064179314174
-135,"Median",80.6692508419015
-125,"Median",80.8050103305738
-115,"Median",80.7002647089919
-105,"Median",80.4871741845205
-95,"Median",80.1751508913053
-85,"Median",78.391597785573
-75,"Median",77.4285468380684
-65,"Median",77.0760585478892
-55,"Median",76.7505708771332
-45,"Median",76.0994749829837
-35,"Median",74.1441407188757
-25,"Median",70.9853906217129
-15,"Median",67.1269027991689
-5,"Median",64.8636619748832
5,"Median",62.4409753897619
15,"Median",59.9756183869996
25,"Median",57.4679458111717
35,"Median",55.4937505715193
45,"Median",54.5384264654516
55,"Median",51.3300720953679
65,"Median",49.6760558368778
75,"Median",49.7336278470524
85,"Median",49.7983133424233
95,"Median",49.8533510557725
105,"Median",49.8821120530208
115,"Median",49.8064416126747
125,"Median",48.1169035959073
135,"Median",48.0244115073415
145,"Median",47.7601247642914
155,"Median",47.4964998800306
165,"Median",47.2776518278807
175,"Median",47.1069749676286
185,"Median",46.9866810389559
195,"Median",47.068567846243
-195,"Avg",80.6167379862646
-185,"Avg",80.9710277588558
-175,"Avg",81.1102211544966
-165,"Avg",81.2087663243939
-155,"Avg",81.2813703979658
-145,"Avg",81.2912495809803
-135,"Avg",81.2200467355486
-125,"Avg",81.0534054608022
-115,"Avg",80.8819685387032
-105,"Avg",80.5185796401537
-95,"Avg",79.7840041810654
-85,"Avg",78.6569854560566
-75,"Avg",77.2113661292085
-65,"Avg",75.613348548821
-55,"Avg",74.0741741103197
-45,"Avg",72.7479448118762
-35,"Avg",71.2309477351523
-25,"Avg",69.2305030484897
-15,"Avg",67.0231136357496
-5,"Avg",65.1301229710964
5,"Avg",63.002505036796
15,"Avg",61.4189608371382
25,"Avg",59.6789486766711
35,"Avg",57.5032055321349
45,"Avg",55.5689253993802
55,"Avg",53.6901899386812
65,"Avg",52.1165160027101
75,"Avg",50.9651900772497
85,"Avg",50.852224254856
95,"Avg",50.6164542566343
105,"Avg",50.0623352441056
115,"Avg",48.8201311944321
125,"Avg",47.4254957396222
135,"Avg",46.9731165424168
145,"Avg",46.1209411418685
155,"Avg",45.3824571156709
165,"Avg",45.266897829552
175,"Avg",45.3484020794988
185,"Avg",45.4937852439757
195,"Avg",45.7201435073535
-195,"Min",78.4830335168053
-185,"Min",78.9993764348736
-175,"Min",79.3498821579659
-165,"Min",78.9877787650778
-155,"Min",78.6828650497066
-145,"Min",78.3128718458754
-135,"Min",77.9655474859317
-125,"Min",77.6320811449246
-115,"Min",77.2758750390914
-105,"Min",76.9378321567229
-95,"Min",76.5748449209468
-85,"Min",76.2470409698821
-75,"Min",73.1464549171622
-65,"Min",68.5546830501779
-55,"Min",64.8250787092225
-45,"Min",61.042039776032
-35,"Min",56.8705514025482
-25,"Min",52.2568290226773
-15,"Min",47.7224458799542
-5,"Min",47.2518254394866
5,"Min",47.0031674141681
15,"Min",47.0203116224805
25,"Min",47.2898936430354
35,"Min",47.714912582769
45,"Min",47.6987255805333
55,"Min",47.5565983319448
65,"Min",45.9718849887254
75,"Min",39.9812926417172
85,"Min",39.7152275804885
95,"Min",40.3221058101586
105,"Min",41.0958679511399
115,"Min",41.421251426146
125,"Min",41.0687564971585
135,"Min",40.7096563868505
145,"Min",40.3649181395631
155,"Min",39.2901641122439
165,"Min",39.0583391713292
175,"Min",39.6105316217299
185,"Min",40.3138606573566
195,"Min",41.0394434137958
