"position.disgap","Type","MedianLongitudinalSpeed"
-195,"Max",86.1308322842583
-185,"Max",86.0668353135544
-175,"Max",85.9853025130359
-165,"Max",85.9040082942341
-155,"Max",85.8151905406733
-145,"Max",85.7299756740299
-135,"Max",85.640934525837
-125,"Max",85.5724677554093
-115,"Max",85.4965612762429
-105,"Max",85.4193295472933
-95,"Max",85.307230225445
-85,"Max",85.2416795270957
-75,"Max",85.168600327709
-65,"Max",85.1023169178737
-55,"Max",85.0300584087835
-45,"Max",84.9504857619747
-35,"Max",84.870541106408
-25,"Max",84.8011177238154
-15,"Max",84.7410021839936
-5,"Max",84.660925233339
5,"Max",84.5524672563106
15,"Max",84.4373088577061
25,"Max",84.3056421380906
35,"Max",84.196136265595
45,"Max",84.10675756516
55,"Max",84.0163102882988
65,"Max",83.9085603631126
75,"Max",83.8421326444774
85,"Max",83.7891458724629
95,"Max",83.7501285734258
105,"Max",83.6816920431455
115,"Max",83.6347544134609
125,"Max",83.5732553570754
135,"Max",83.5136593023163
145,"Max",83.4442328478958
155,"Max",83.3700009801355
165,"Max",83.3045434473135
175,"Max",83.2241120112949
185,"Max",83.1823644011489
195,"Max",83.1334091243723
-195,"P85",83.4432994520478
-185,"P85",83.3756377291707
-175,"P85",83.2978625878061
-165,"P85",83.2201016131112
-155,"P85",83.1451381976028
-145,"P85",83.0669953196572
-135,"P85",82.9871528787406
-125,"P85",82.9212785555202
-115,"P85",82.8463638105355
-105,"P85",82.7707339758922
-95,"P85",82.6809726711512
-85,"P85",82.6096469403168
-75,"P85",82.5358011092666
-65,"P85",82.4678173782087
-55,"P85",82.4005836474053
-45,"P85",82.3286223996978
-35,"P85",82.2608715569466
-25,"P85",82.1946534311444
-15,"P85",82.1319657639055
-5,"P85",82.0611013167196
5,"P85",81.9658861403896
15,"P85",81.9022539056348
25,"P85",81.8637722966759
35,"P85",81.8314150699482
45,"P85",81.8027812946559
55,"P85",81.7718824307938
65,"P85",81.7282982606108
75,"P85",81.6980426423781
85,"P85",81.6762515721477
95,"P85",81.6512425199569
105,"P85",81.6124742314264
115,"P85",81.5811402511007
125,"P85",81.5440113702586
135,"P85",81.5076127237078
145,"P85",81.4547875821632
155,"P85",81.405907843676
