"position.disgap","Type","MedianLongitudinalSpeed"
-195,"Max",102.420023183221
-185,"Max",101.881244522324
-175,"Max",101.372464738831
-165,"Max",100.872312682438
-155,"Max",100.332411265801
-145,"Max",99.8242640165085
-135,"Max",99.32420993395
-125,"Max",98.8368247465854
-115,"Max",98.2966223856878
-105,"Max",97.7928128234718
-95,"Max",97.2724243323518
-85,"Max",96.7680247786075
-75,"Max",96.2608957188882
-65,"Max",96.235082063507
-55,"Max",96.379577546652
-45,"Max",96.5150118355805
-35,"Max",96.6186438514798
-25,"Max",96.7165224866827
-15,"Max",96.8589416093827
-5,"Max",96.9560917056431
5,"Max",97.0396550372418
15,"Max",97.1683127367576
25,"Max",97.2560324948586
35,"Max",97.1776414164377
45,"Max",96.7921167569461
55,"Max",96.3775945698829
65,"Max",96.0164409641003
75,"Max",95.6778243086147
85,"Max",95.2978795372516
95,"Max",94.8953893135897
105,"Max",94.5406227871429
115,"Max",94.1867860407403
125,"Max",93.7864720640402
135,"Max",93.4409590173593
145,"Max",93.1077013414455
155,"Max",92.7189751547128
165,"Max",92.2759543996715
175,"Max",91.9224185368586
185,"Max",91.5103929199415
195,"Max",91.1311778486578
-195,"P85",96.5746609665283
-185,"P85",96.5749660118168
-175,"P85",96.6506258738701
-165,"P85",96.6056833045046
-155,"P85",96.5259754518311
-145,"P85",96.4256346272513
-135,"P85",96.3523678222989
-125,"P85",96.3134541354296
-115,"P85",96.2864412883944
-105,"P85",96.2394034333945
-95,"P85",96.193530734895
-85,"P85",96.1735942160287
-75,"P85",96.1424247144278
-65,"P85",95.8520178040901
-55,"P85",95.5103063257617
-45,"P85",95.1659362058837
-35,"P85",94.8137059244948
-25,"P85",94.4576349551051
-15,"P85",94.1434649467092
-5,"P85",93.7623856303763
5,"P85",93.7826054406688
15,"P85",93.9822966766611
25,"P85",93.7663838757729
35,"P85",93.4517219042134
45,"P85",93.0836329353767
55,"P85",92.6673427005169
65,"P85",92.2796775678161
75,"P85",91.8939396885417
85,"P85",91.4938999649658
95,"P85",91.1217145472004
105,"P85",90.7749648641158
115,"P85",90.4395783487443
125,"P85",89.9385078426325
135,"P85",89.6107907379808
145,"P85",89.2498530537977
155,"P85",88.8559840892555
165,"P85",88.4577324608483
175,"P85",88.078632229672
185,"P85",87.7470901261921
195,"P85",87.7723333404623
-195,"Median",91.1254331807543
-185,"Median",90.9001453870848
-175,"Median",90.6752664165342
-165,"Median",90.6285974245487
-155,"Median",90.531235990707
-145,"Median",90.4503728696902
-135,"Median",90.4775936465614
-125,"Median",90.6561765540975
-115,"Median",90.858859845596
-105,"Median",91.0961686217303
-95,"Median",91.3349766683909
-85,"Median",91.5843279193026
-75,"Median",91.7054809179519
-65,"Median",91.684048592317
-55,"Median",91.6205320682941
-45,"Median",91.535943088741
-35,"Median",91.4612117101611
-25,"Median",91.3748653396902
-15,"Median",91.2829845031502
-5,"Median",91.2217204639655
5,"Median",90.8096969746527
15,"Median",90.3438727100261
25,"Median",89.8564024788092
35,"Median",89.2895746396109
45,"Median",88.536272114606
55,"Median",87.8392035894254
65,"Median",86.8728606392908
75,"Median",85.9177046301162
85,"Median",85.4109651272919
95,"Median",84.9455847000998
105,"Median",84.4529095838072
115,"Median",83.9887465217499
125,"Median",83.5421259485032
135,"Median",83.1870105082432
145,"Median",83.1763931216339
155,"Median",83.2303006714374
165,"Median",83.4934165929698
175,"Median",84.0850456422602
185,"Median",84.7120380626547
195,"Median",85.3563500687516
-195,"Avg",90.6902763830251
-185,"Avg",90.5309323109524
-175,"Avg",90.3806447151913
-165,"Avg",90.2272737028276
-155,"Avg",90.0455296137487
-145,"Avg",89.8617798921672
-135,"Avg",89.725945023052
-125,"Avg",89.6451004130677
-115,"Avg",89.5692231235793
-105,"Avg",89.5158400628606
-95,"Avg",89.4459702992454
-85,"Avg",89.3874194972484
-75,"Avg",89.2984092233353
-65,"Avg",89.1557312398938
-55,"Avg",89.011777496219
-45,"Avg",88.8827491601727
-35,"Avg",88.7404102226422
-25,"Avg",88.5982860059988
-15,"Avg",88.4684500355473
-5,"Avg",88.3202572887502
5,"Avg",88.1454106678046
15,"Avg",87.9914897352358
25,"Avg",87.7120629884909
35,"Avg",87.3650069452936
45,"Avg",86.9059991090538
55,"Avg",86.4746440973622
65,"Avg",86.0341104677812
75,"Avg",85.7243227300581
85,"Avg",85.5612970575102
95,"Avg",85.4247755400499
105,"Avg",85.2837639231417
115,"Avg",85.2037491177703
125,"Avg",85.167146175706
135,"Avg",85.1510711244281
145,"Avg",85.1196765768802
155,"Avg",85.1080228702576
165,"Avg",85.0521789045279
175,"Avg",84.9871744201962
185,"Avg",84.9395006774651
195,"Avg",84.9819979132421
-195,"Min",78.0119591846444
-185,"Min",77.7575855416009
-175,"Min",77.4720067574349
-165,"Min",77.1821855626476
-155,"Min",76.9323852143982
-145,"Min",76.64400686497
-135,"Min",76.3899319734204
-125,"Min",76.1403048031067
-115,"Min",75.8160069744789
-105,"Min",75.600019860518
-95,"Min",75.3451184139841
-85,"Min",75.0595458334464
-75,"Min",74.8426060912328
-65,"Min",74.5745068257508
-55,"Min",74.4134452408783
-45,"Min",74.3212587116649
-35,"Min",74.197059771011
-25,"Min",74.1063002882673
-15,"Min",73.9971079584704
-5,"Min",73.9080028508737
5,"Min",73.779867690458
15,"Min",73.6898874525052
25,"Min",73.4790189868327
35,"Min",73.248485529699
45,"Min",73.0036578782792
55,"Min",72.8229798906114
65,"Min",73.0520806849074
75,"Min",74.0941713557947
85,"Min",75.1000705930713
95,"Min",76.1431425036475
105,"Min",77.1817310225927
115,"Min",78.1154907752891
125,"Min",79.0493898635939
135,"Min",79.9123374353735
145,"Min",80.7531330143823
155,"Min",81.6412361923247
165,"Min",81.9305439060262
175,"Min",81.3828680939937
185,"Min",80.8655666508274
195,"Min",80.3604644180016
