"position.disgap","Type","MedianLongitudinalSpeed"
-195,"Max",106.830329778631
-185,"Max",106.481411332417
-175,"Max",106.521692294587
-165,"Max",106.610617074822
-155,"Max",106.706669232478
-145,"Max",106.791259804178
-135,"Max",106.904047843998
-125,"Max",107.021133578979
-115,"Max",107.121955056128
-105,"Max",107.246592181007
-95,"Max",107.355531649484
-85,"Max",107.451434116738
-75,"Max",107.489798207804
-65,"Max",107.512571829417
-55,"Max",107.535890683454
-45,"Max",107.57647384216
-35,"Max",107.608387068042
-25,"Max",107.626159133066
-15,"Max",107.66019012301
-5,"Max",107.680163678062
5,"Max",107.712106840067
15,"Max",107.739056541487
25,"Max",107.765692033371
35,"Max",107.746816343898
45,"Max",107.644500966557
55,"Max",107.457298746259
65,"Max",107.265267591416
75,"Max",107.077617989228
85,"Max",106.948960010765
95,"Max",106.790799507492
105,"Max",106.630514068628
115,"Max",106.501844926988
125,"Max",106.372683716229
135,"Max",106.243184406516
145,"Max",106.129191201065
155,"Max",105.983671828903
165,"Max",105.86905211973
175,"Max",105.722933075701
185,"Max",105.598195471513
195,"Max",105.481796766408
-195,"P85",106.557022844908
-185,"P85",106.463526363114
-175,"P85",106.290271269724
-165,"P85",106.12981366936
-155,"P85",105.980132577578
-145,"P85",105.814978142916
-135,"P85",105.729124456386
-125,"P85",105.841664126799
-115,"P85",105.89910013616
-105,"P85",105.943596935631
-95,"P85",106.00394196875
-85,"P85",106.068167309871
-75,"P85",106.070557543546
-65,"P85",106.009523238644
-55,"P85",105.947590484453
-45,"P85",105.912678649702
-35,"P85",105.888881366029
-25,"P85",105.871291935126
-15,"P85",105.850397826166
-5,"P85",105.759706795253
5,"P85",105.609387533213
15,"P85",105.624783738949
25,"P85",105.63435232116
35,"P85",105.626710432603
45,"P85",105.594963366521
55,"P85",105.515228712697
65,"P85",105.435771056364
75,"P85",105.357028921058
85,"P85",105.260544514447
95,"P85",105.159770295879
105,"P85",105.057637846681
115,"P85",104.949828618047
125,"P85",104.856822642613
135,"P85",104.751598871304
145,"P85",104.668206427119
155,"P85",104.552924984253
165,"P85",104.47011759734
175,"P85",104.375409797234
185,"P85",104.268983431737
195,"P85",104.166093229584
-195,"Median",104.44661131752
-185,"Median",104.38016903745
-175,"Median",104.328508902517
-165,"Median",104.439668674818
-155,"Median",104.598372730806
-145,"Median",104.756732741635
-135,"Median",104.847539561889
-125,"Median",104.54572661867
-115,"Median",104.277163056302
-105,"Median",104.139006794734
-95,"Median",104.138557513508
-85,"Median",104.126002853849
-75,"Median",104.163271363853
-65,"Median",104.168322175966
-55,"Median",104.175977161644
-45,"Median",104.182518965653
-35,"Median",104.191251306556
-25,"Median",104.18976312795
-15,"Median",104.198862123405
-5,"Median",104.201082108166
5,"Median",104.179227447679
15,"Median",103.938778392264
25,"Median",103.744491351222
35,"Median",103.537341885564
45,"Median",103.344917484597
55,"Median",103.136804828417
65,"Median",102.960469433417
75,"Median",102.734464547705
85,"Median",102.554060663639
95,"Median",102.345615535364
105,"Median",102.135308457481
115,"Median",101.938280207221
125,"Median",101.751665904536
135,"Median",101.564098738771
145,"Median",101.368306209425
155,"Median",101.237763494866
165,"Median",101.077100107889
175,"Median",100.926027972429
185,"Median",100.759536706999
195,"Median",100.599488494633
-195,"Avg",104.476234071836
-185,"Avg",104.421956940697
-175,"Avg",104.361106248635
-165,"Avg",104.314994279571
-155,"Avg",104.273713140193
-145,"Avg",104.23492874619
-135,"Avg",104.21196010256
-125,"Avg",104.179244860394
-115,"Avg",104.138846001626
-105,"Avg",104.097832643604
-95,"Avg",104.060738787743
-85,"Avg",104.021583092799
-75,"Avg",103.972140211666
-65,"Avg",103.903273162426
-55,"Avg",103.841524408135
-45,"Avg",103.789902664766
-35,"Avg",103.743319748807
-25,"Avg",103.696948895926
-15,"Avg",103.659243915819
-5,"Avg",103.580150055263
5,"Avg",103.476123742849
15,"Avg",103.382859004752
25,"Avg",103.299985255104
35,"Avg",103.21026413539
45,"Avg",103.10389595254
55,"Avg",102.980533557036
65,"Avg",102.860725978867
75,"Avg",102.728436783331
85,"Avg",102.614529017925
95,"Avg",102.491564339473
105,"Avg",102.360477107196
115,"Avg",102.243938462596
125,"Avg",102.127064075918
135,"Avg",102.000549305124
145,"Avg",101.883931921177
155,"Avg",101.805030698545
165,"Avg",101.740835706164
175,"Avg",101.672375880203
185,"Avg",101.60184621244
195,"Avg",101.541497271582
-195,"Min",100.735135417672
-185,"Min",100.623957598295
-175,"Min",100.52424155367
-165,"Min",100.434357202755
-155,"Min",100.345631047131
-145,"Min",100.261095058947
-135,"Min",100.186176233972
-125,"Min",100.123853101028
-115,"Min",100.066805344484
-105,"Min",100.017672229161
-95,"Min",99.9865915083634
-85,"Min",99.9565113583533
-75,"Min",99.9305187351185
-65,"Min",99.9188135814006
-55,"Min",99.9595159638968
-45,"Min",100.020637315611
-35,"Min",100.054576678617
-25,"Min",100.108451189268
-15,"Min",100.145908341438
-5,"Min",100.152887442774
5,"Min",100.152968637783
15,"Min",100.151496528811
25,"Min",100.150392865697
35,"Min",100.154912140966
45,"Min",100.141924062021
55,"Min",99.9159578381763
65,"Min",99.6736213360558
75,"Min",99.431319551668
85,"Min",99.2129939759075
95,"Min",99.0034991717748
105,"Min",98.749870838065
115,"Min",98.5353523979562
125,"Min",98.2959576917112
135,"Min",98.063627295576
145,"Min",97.8481850857506
155,"Min",97.8169752497686
165,"Min",97.8361621512604
175,"Min",97.8556236507788
185,"Min",97.8911581585912
195,"Min",97.9421856605213
