"position.disgap","Type","MedianLongitudinalSpeed"
-195,"Max",102.472997816836
-185,"Max",102.530513726165
-175,"Max",102.580159169199
-165,"Max",102.656987050972
-155,"Max",102.70842273971
-145,"Max",102.774955829868
-135,"Max",102.830349031698
-125,"Max",102.869134241664
-115,"Max",102.938269967455
-105,"Max",102.995434023129
-95,"Max",103.063221320363
-85,"Max",103.111387235247
-75,"Max",103.178572651442
-65,"Max",103.219417316748
-55,"Max",103.267992067107
-45,"Max",103.337477818768
-35,"Max",103.382172214096
-25,"Max",103.435836104776
-15,"Max",103.495514738767
-5,"Max",103.554427421688
5,"Max",103.602625792374
15,"Max",103.63397765397
25,"Max",103.675325440997
35,"Max",103.716262033684
45,"Max",103.749579317806
55,"Max",103.730072743791
65,"Max",103.68097224133
75,"Max",103.62109157312
85,"Max",103.56441440104
95,"Max",103.544035701805
105,"Max",103.497342662111
115,"Max",103.458568433299
125,"Max",103.437774181377
135,"Max",103.381126776097
145,"Max",103.342459427741
155,"Max",103.306523290823
165,"Max",103.260714819817
175,"Max",103.255775467428
185,"Max",103.233985362394
195,"Max",103.194251070361
-195,"P85",100.475309283548
-185,"P85",100.533898002405
-175,"P85",100.583221954906
-165,"P85",100.67357538277
-155,"P85",100.721398393139
-145,"P85",100.781610583648
-135,"P85",100.840269415587
-125,"P85",100.896471060248
-115,"P85",100.953528108848
-105,"P85",101.028897238047
-95,"P85",101.083720581741
-85,"P85",101.130814980376
-75,"P85",101.18036547316
-65,"P85",101.224923368362
-55,"P85",101.261047787859
-45,"P85",101.324501526748
-35,"P85",101.366174878264
-25,"P85",101.387858512659
-15,"P85",101.441567592618
-5,"P85",101.493592444623
5,"P85",101.531395172049
15,"P85",101.568162392406
25,"P85",101.607860651997
35,"P85",101.637424404847
45,"P85",101.667999851765
55,"P85",101.678258610523
65,"P85",101.663503055461
75,"P85",101.670402297349
85,"P85",101.655737574774
95,"P85",101.672629557474
105,"P85",101.666452835268
115,"P85",101.658426947093
125,"P85",101.680783659492
135,"P85",101.670485866649
145,"P85",101.666516165288
155,"P85",101.663644364971
165,"P85",101.673264894921
175,"P85",101.682256870631
185,"P85",101.658269435509
195,"P85",101.631861027032
-195,"Median",95.7569380314927
-185,"Median",95.7266370774028
-175,"Median",95.6855052945284
-165,"Median",95.6141547341017
-155,"Median",95.5532817551486
-145,"Median",95.6100184815182
-135,"Median",95.6663480181987
-125,"Median",95.7474162179862
-115,"Median",95.8265389512794
-105,"Median",95.9066354184734
-95,"Median",96.0084563414214
-85,"Median",96.0960376199363
-75,"Median",96.2340120832598
-65,"Median",96.441107593026
-55,"Median",96.6593175433997
-45,"Median",96.8388084957042
-35,"Median",96.9989233654997
-25,"Median",97.1700317164724
-15,"Median",97.3108184472998
-5,"Median",97.4405892566419
5,"Median",97.5090304634949
15,"Median",97.6113034292454
25,"Median",97.6882575102781
35,"Median",97.7778965117182
45,"Median",97.9033915077021
55,"Median",97.9884227943015
65,"Median",98.0737027723276
75,"Median",98.1905193216755
85,"Median",98.2604527281286
95,"Median",98.3569155211701
105,"Median",98.4650566531648
115,"Median",98.583428965054
